measureDate,id ,name,deathDate,nestName,nestNameYear,deathAge,species,hatchDate,year,hatchYear,billNT,rank,billWidth,remarks,billDepth,tec,head,mouthColor,skull,futureBreeder,tarsus,wingChord,bloodTube ,manus,bloodSpotsBelly,7thPrim,broodSize,exp7thPrim,Band match,p7Ratio,initialBandDateJuly,tailLength,initialBandDate,weight,weakHungerBars,age,strongHungerBars,sexSummary,modHungerBars,DNASex,extremeHungerBars,behaviorSex,alias,bandNumber,nestlingData,colorBands,p7Squared,radioFrequency,WtTarsusIndex,jDay,ageCategory,markDate,vetReference,location
2/21/2001,G5 NET101,G5,,NET,NET101,,Corvus brachyrhynchos,,2001,,33.7,,14.1,,17.4,46.7,87.7,,41,,57.8,293,,,,231,,,,,,168,,430,,0,,M,,,,,,835-99575,,,53361,,7.439446367,,,,,
2/21/2001,A0 NET101,A0,,NET,NET101,,Corvus ossifragus,,2001,,30,,12,,14.1,42,76.2,,34.2,,46.1,285,,,,228,,,,,,163,,302,,0,,M,,,,,,734-77620,,,51984,,6.550976139,,,,,
2/21/2001,H6 NET101,H6,,NET,NET101,,Corvus brachyrhynchos,,2001,,33,,14.5,RADIO  ,17.5,45.4,86.8,,41.4,,55.8,298,,,,231,,,,,,165,,500,,0,,F,,,,,,835-99576,,,53361,,8.960573477,,,,,
2/21/2001,I7 NET101,I7,,NET,NET101,,Corvus brachyrhynchos,,2001,,36.6,,14.2,,16.8,49,92.9,,43.9,,62,294,,,,225,,,,,,167,,525,,0,,F,,,,,,835-99577,,,50625,,8.467741935,,,,,
2/21/2001,J8 NET101,J8,,NET,NET101,,Corvus brachyrhynchos,,2001,,39.1,,14.8,,19.4,52.7,98.2,,45.5,,58.1,308,,,,238,,,,,,175,,525,,0,,M,,,,,,835-99578,,,56644,,9.036144578,,,,,
2/21/2001,B1 NET101,B1,,NET,NET101,,Corvus brachyrhynchos,,2001,,38.1,,12.2,RADIO  ,18.4,51.4,95.2,,43.8,,57.3,320,,,,259,,,,,,181,,490,,0,,M,,,,,,835-99579,,,67081,,8.551483421,,,,,
2/21/2001,K9 NET101,K9,,NET,NET101,,Corvus brachyrhynchos,,2001,,35.1,,14,,17.7,48.1,91.7,,43.6,,58.4,299,,,,236,,,,,,161,,500,,0,,M,,,,,,835-99580,,,55696,,8.561643836,,,,,
2/21/2001,C2 NET101,C2,,NET,NET101,,Corvus brachyrhynchos,,2001,,33.2,,13.1,,16.9,45.2,88.1,,42.9,,54.8,290,,,,234,,,,,,166,,410,,0,,F,,,,,,835-99581,,,54756,,7.481751825,,,,,
2/21/2001,D3 NET101,D3,,NET,NET101,,Corvus ossifragus,,2001,,29.4,,11.2,,14.2,39.8,74.7,,34.9,,42.7,273,,,,222,,,,,,155,,266,,0,,F,,,,,,734-77621,,,49284,,6.229508197,,,,,
2/23/2001,E4 NET201,E4,,NET,NET201,,Corvus brachyrhynchos,,2001,,33.7,,14,mix of ahy and juv feathers,17.4,44.3,89.9,,45.6,,56.9,296,,,,238,,,,,,168,,472,,?,,F,,,,,,835-99582,,,56644,,8.295254833,,,,,
2/23/2001,F5 NET201,F5,,NET,NET201,,Corvus brachyrhynchos,,2001,,36.4,,14,,18.2,48.2,93.4,,45.2,,59.1,312,,,,245,,,,,,182,,520,,0,,M,,,,,,835-99583,,,60025,,8.798646362,,,,,
2/23/2001,G6 NET201,G6,,NET,NET201,,Corvus brachyrhynchos,,2001,,36.1,,14.1,,17.9,48.2,96.6,,48.4,,61.2,320,,,,270,,,,,,188,,590,,0,,M,,,,,,835-99584,,,72900,,9.640522876,,,,,
2/23/2001,L0 NET201,L0,,NET,NET201,,Corvus brachyrhynchos,,2001,,37.7,,13.7,rt outer tail feather broken at base,17.6,49.2,95.3,,46.1,,56.3,306,,,,245,,,,,,172,,520,,0,,F,,,,,,835-99585,,,60025,,9.236234458,,,,,
2/28/2001,M1 NET301,M1,,NET,NET301,,Corvus brachyrhynchos,,2001,,35,,13.6,broken tail feathers,17.8,46.1,91,,44.9,,58.4,304,,,,244,,,,,,175,,535,,0,,F,,,,,,835-99586,,,59536,,9.160958904,,,,,
2/28/2001,H7 NET301,H7,,NET,NET301,,Corvus brachyrhynchos,,2001,,35.3,,14.3,,17.8,47.5,91.1,,43.6,,57.5,300,,,,242,,,,,,170,,445,,0,,F,,,,,,835-99587,,,58564,,7.739130435,,,,,
2/28/2001,I8 NET301,I8,,NET,NET301,,Corvus brachyrhynchos,,2001,,35.5,,14,,18,47.3,93.4,,46.1,,57.4,305,,,,242,,,,,,177,,520,,0,,F,,,,,,835-99588,,,58564,,9.059233449,,,,,
2/28/2001,N2 NET301,N2,,NET,NET301,,Corvus brachyrhynchos,,2001,,34.1,,15,,18,46.9,90,,43.1,,56.3,288,,,,228,,,,,,164,,450,,0,,F,,,,,,835-99589,,,51984,,7.992895204,,,,,
2/28/2001,O3 NET301,O3,,NET,NET301,,Corvus brachyrhynchos,,2001,,35.5,,14.4,""" tail ?",17.6,46.8,91.8,,45,,59.3,312,,,,244,,,,,,177,,547,,0,,F,,,,,,835-99590,,,59536,,9.224283305,,,,,
2/28/2001,P4 NET301,P4,,NET,NET301,,Corvus brachyrhynchos,,2001,,35.5,,13.2,,17.3,46.3,92.9,,46.6,,60.3,308,,,,248,,,,,,190,,455,,0,,M,,,,,,835-99591,,,61504,,7.545605307,,,,,
