"","Year","Name","NestName","ID","FieldAge","CalcAge","HatchDateJul","HatchDateJulYear","AllSex","BNT","BW","BD","TEC","Head","UB","UBS","TBS","Skull","Tarsus","Weight","Date","MaxTempMean1_11","MaxTempMean12_22","MeanMaxTempIncubation","MinTempMean1_11","MinTempMean12_22","MeanMinTempIncubation","PrecipSum1_11","PrecipSum12_22","PrecipSumIncubation","GDDSum1_11","GDDSum12_22","GDDSumIncubation","CDDSum1_11","CDDSum12_22","CDDSumIncubation","HDDSum1_11","HDDSum12_22","HDDSumIncubation"
"1",1989,"WSWG","ALEX89","WSWG ALEX89",26,26.1,112,1989112,"",23.6,12.6,13.9,38.1,80.3,14.5,201.55,252.4125,42.2,60.2,410,"4/22/1989",13.0808080808081,11.8181818181818,10.5263157894737,0.303030303030303,4.94949494949495,-0.292397660818713,3.048,9.0932,2.2606,10,14,9,0,0,0,227,194,448
"2",1989,"YSWG","ALEX89","YSWG ALEX89",26,25.3,112,1989112,"",22,12.9,13.2,34,76.2,12,158.4,221.85,42.2,59,330,"4/22/1989",13.0808080808081,11.8181818181818,10.5263157894737,0.303030303030303,4.94949494949495,-0.292397660818713,3.048,9.0932,2.2606,10,14,9,0,0,0,227,194,448
"3",1989,"BSWG","ALEX89","BSWG ALEX89",26,25.7,112,1989112,"",23.2,12.9,13.8,39,80.7,15.8,218.04,260.325,41.7,61,400,"4/22/1989",13.0808080808081,11.8181818181818,10.5263157894737,0.303030303030303,4.94949494949495,-0.292397660818713,3.048,9.0932,2.2606,10,14,9,0,0,0,227,194,448
"4",1989,"GSWG","ALEX89","GSWG ALEX89",26,25.5,112,1989112,"",22.2,12.2,13.2,34,75.5,11.8,155.76,215.9,41.5,59.6,350,"4/22/1989",13.0808080808081,11.8181818181818,10.5263157894737,0.303030303030303,4.94949494949495,-0.292397660818713,3.048,9.0932,2.2606,10,14,9,0,0,0,227,194,448
"5",1989,"WSGY","WSAP89","WSGY WSAP89",26,26,125,1989125,"",23.4,13.8,13.8,37.7,75,14.3,197.34,260.13,37.3,61,403,"5/5/1989",13.2323232323232,23.4343434343434,13.0701754385965,5.50505050505051,10.1515151515152,0.935672514619883,9.0678,3.8862,3.6322,19,137,19,0,17,0,175,45,382
"6",1989,"YSGY","WSAP89","YSGY WSAP89",26,26.4,125,1989125,"",25.7,15.3,14.5,40,82.8,14.3,207.35,298,42.8,64.8,453,"5/5/1989",13.2323232323232,23.4343434343434,13.0701754385965,5.50505050505051,10.1515151515152,0.935672514619883,9.0678,3.8862,3.6322,19,137,19,0,17,0,175,45,382
"7",1989,"BSGY","WSAP89","BSGY WSAP89",26,25.9,125,1989125,"",23.5,12.8,14.9,36.4,81.5,12.9,192.21,252.07,45.1,63.9,448,"5/5/1989",13.2323232323232,23.4343434343434,13.0701754385965,5.50505050505051,10.1515151515152,0.935672514619883,9.0678,3.8862,3.6322,19,137,19,0,17,0,175,45,382
"8",1989,"GSGY","WSAP89","GSGY WSAP89",26,26.1,125,1989125,"",22.2,13.1,13.8,37.8,78.2,15.6,215.28,254.205,40.4,61.8,438,"5/5/1989",13.2323232323232,23.4343434343434,13.0701754385965,5.50505050505051,10.1515151515152,0.935672514619883,9.0678,3.8862,3.6322,19,137,19,0,17,0,175,45,382
"9",1989,"BSBW","UTIC89","BSBW UTIC89",25,25.2,153,1989153,"",22.6,14.3,13.8,34.7,77.8,12.1,166.98,243.7675,43.1,60.8,330,"6/2/1989",23.030303030303,22.979797979798,23.2748538011696,12.5757575757576,15.2020202020202,10.1754385964912,4.5974,6.2484,6.5786,160,182,236,18,37,38,23,20,88
"10",1990,"AZ","SSAP90","AZ SSAP90",25,24.9,103,1990103,"",21.4,12.9,12.6,33.5,73,12.1,152.46,213.5625,39.5,59,365,"4/13/1990",11.9191919191919,23.2828282828283,6.66666666666667,1.21212121212121,8.48484848484849,-1.78362573099415,1.3208,0.7112,7.7978,5,126,0,0,23,0,230,69,537
