row,id,family,year,age,sex,tongY1,palY1,meanY1,tongM1,palM1,meanM1,sat1 ,hue1,tongY2,palY2,meanY2,tongM2,palM2,meanM2,sat2,hue2,bodTemp1,bodTemp2,diffBodTemp,ambTemp1,ambTemp2,ambFinal,broodSize,bandTime1,bandTime2,handleTime,bandOrder,time1,time2,obtainTime,date,julDate,mass,tailLength,tarsus,wingChord,sevenPrim,expSevenPrim,billNT,billWidth,billDepth,TEC,head,skull,timeOut1,timeOut2,obt1Max,obt1Min,obt1Max,obt1Min,t1MaxMinusHour,t1MinMinusHour,t1MeanMinusHour,t1MaxAtBand,t1MinAtBand,t1MeanAtBand,futureBreeder,broodSize,familyProducedBreeder,comments
5,4Q HAWA03,HAWA03,2003,25,M,50,,50,70,,70,120,0.583,,,,,,,,,38.2,,,15.6,,15.6,6,15:37:00,15:49:00,12,1,15:55:00,,,5/12/2003,132,430,59,64.2,169,110,62,23.2,12.7,14,35.4,78.3,42.9,,,,,,,51.9,50.7,51.1,52.2,51.7,51.9,2,6,2, 
3,9V HAWA03,HAWA03,2003,25,M,40,,40,80,,80,120,0.667,,,,,,,,,40.6,,,15.6,,15.6,6,,17:08:00,,6,15:46:00,,,5/12/2003,132,305,34,58.8,132,77,37,19.7,13.2,12.1,30.9,71.1,40.2,,,,,,,51.9,50.7,51.1,52.2,51.7,51.9,2,6,2, 
4,8U HAWA03,HAWA03,2003,25,M,40,,40,80,,80,120,0.667,,,,,,,,,38.9,,,15.6,,15.6,6,16:40:00,,,5,15:51:00,,,5/12/2003,132,442,52,61.2,166,102,59,22.4,13.2,12.8,34.2,78.9,44.7,,,,,,,51.9,50.7,51.1,52.2,51.7,51.9,2,6,2, 
1,7T HAWA03,HAWA03,2003,25,F,30,,30,50,,50,80,0.625,,,,,,,,,,,,15.6,,15.6,6,16:23:00,16:39:00,16,4,15:41:00,,,5/12/2003,132,409,62,60.2,169,110,68,21.9,11.7,12.5,34.9,76.3,41.4,,,,,,,51.9,50.7,51.1,52.2,51.7,51.9,2,6,2, 
2,5R HAWA03,HAWA03,2003,25,M,30,,30,80,,80,110,0.727,,,,,,,,,40,,,15.6,,15.6,6,15:50:00,16:05:00,15,2,15:44:00,,,5/12/2003,132,430,59,62.8,170,112,64,22,13.6,13,31,76.6,45.6,,,,,,,51.9,50.7,51.1,52.2,51.7,51.9,2,6,2, 
6,6S HAWA03,HAWA03,2003,25,M,30,,30,80,,80,110,0.727,,,,,,,,,37.8,,,15.6,,15.6,6,16:07:00,16:22:00,15,3,15:58:00,,,5/12/2003,132,392,50,59.9,158,97,50,21.3,13.9,12,32.6,76.1,43.5,,,,,,,51.9,50.7,51.1,52.2,51.7,51.9,2,6,2, 
45,1B SWEG03,SWEG03,2003,25,F,60,50,55,80,80,80,135,0.593,,,,,,,,,40.2,,,22.8,,22.8,5,,,,5,11:18:00,,10:28:00,5/19/2003,139,310,48,56.2,164,113,66,20.2,13.4,11.8,31.8,71.3,39.5,50,,65.4,59.9,68,65.1,68,65.1,66.7,70.5,68,69.4,2,5,2, 
113,08 HAWA04,08 HAWA04,2004,23,M,60,50,55,80,80,80,135,0.593,60,40,50,80,99,89.5,139.5,0.642,40,38.9,1.1,23,19.9,23,5,,,,,13:52:00,14:13:00,13:38:00,5/19/2004,140,385,41,60.8,152,92,47,22.1,13.8,13.3,33.5,76.3,42.8,14,35,,,,,,,,,,18.44,2,5,2,
114,19 HAWA04,19 HAWA04,2004,23,F,60,50,55,80,80,80,135,0.593,40,30,35,90,80,85,120,0.708,40.5,39.4,1.1,22.3,19.8,22.3,5,,,,,13:56:00,14:28:00,13:38:00,5/19/2004,140,380,45,59.2,150,91,46,20.6,12.8,12.9,30.2,73,42.8,18,50,,,,,,,,,,18.44,2,5,2,
115,20 HAWA04,20 HAWA04,2004,23,F,60,70,65,90,90,90,155,0.581,50,40,45,80,80,80,125,0.64,41.6,39.1,2.5,21.2,19.6,21.2,5,,,,,13:59:00,14:36:00,13:38:00,5/19/2004,140,325,33,55.8,141,82,40,20.3,12.6,12.8,32.6,71.3,38.7,21,58,,,,,,,,,,18.44,2,5,2,
116,31 HAWA04,31 HAWA04,2004,23,F,60,60,60,90,90,90,150,0.6,60,40,50,90,90,90,140,0.643,40.6,38.8,1.8,20.9,19.9,20.9,5,,,,,14:03:00,14:48:00,13:38:00,5/19/2004,140,318,30,55.2,134,78,39,19.7,11.4,12.2,30.7,71.3,40.6,25,70,,,,,,,,,,18.44,2,5,2,
