,row,id,family,year,age,sex,tongY1,palY1,meanY1,tongM1,palM1,meanM1,sat1,hue1,tongY2,palY2,meanY2,tongM2,palM2,meanM2,sat2,hue2,bodTemp1,bodTemp2,diffBodTemp,ambTemp1,ambTemp2,ambFinal,broodSize,bandTime1,bandTime2,handleTime,bandOrder,time1,time2,obtainTime,date,julDate,mass,tailLength,tarsus,wingChord,sevenPrim,expSevenPrim,billNT,billWidth,billDepth,TEC,head,skull,timeOut1,timeOut2,obt1Max,obt1Min,obt1Max.1,obt1Min.1,t1MaxMinusHour,t1MinMinusHour,t1MeanMinusHour,t1MaxAtBand,t1MinAtBand,t1MeanAtBand,futureBreeder,broodSize.1,familyProducedBreeder,comments,residuals,tempDiff
1,19,4F BROT03,BROT03,2003,24,F,50,50,50,90,80,85,135,0.63,NA,NA,NA,NA,NA,NA,NA,NA,40.6,NA,NA,NA,NA,13,5,,,NA,1,10:59:00,,,5/16/2003,136,447,55,60.5,155,100,55,21.7,13.4,12.7,32.7,72.8,40.1,NA,NA,NA,NA,NA,NA,56.2,53.7,54.7,56.2,55,13,2,5,2, ,54.66387858,-0.4
2,20,5G BROT03,BROT03,2003,25,M,50,40,45,70,60,65,110,0.591,NA,NA,NA,NA,NA,NA,NA,NA,39.2,NA,NA,NA,NA,13.3,5,,,NA,2,11:06:00,,,5/16/2003,136,370,60,63.2,171,111,62,23.6,13.3,13.1,37,78,41,NA,NA,NA,NA,NA,NA,56.2,55,55.4,57.1,55.3,13.33,2,5,2, ,-62.27262509,-1.8
3,23,6H BROT03,BROT03,2003,25,F,40,40,40,70,60,65,105,0.619,NA,NA,NA,NA,NA,NA,NA,NA,40.4,NA,NA,NA,NA,13.3,5,,,NA,3,11:27:00,,,5/16/2003,136,370,61,61.1,168,108,64,23.8,12.4,12.4,35.4,77.4,42,NA,NA,NA,NA,NA,NA,56.2,55,55.4,57.1,55.3,13.33,2,5,2, ,-30.19546984,-0.6
4,21,7I BROT03,BROT03,2003,25,F,50,50,50,70,60,65,115,0.565,NA,NA,NA,NA,NA,NA,NA,NA,38.7,NA,NA,NA,NA,13.3,5,11:44:00,11:59:00,15,4,11:11:00,,,5/16/2003,136,368,63,60.4,166,108,61,23.7,13.6,13,36.6,77.4,40.8,NA,NA,NA,NA,NA,NA,56.2,55,55.4,57.1,55.3,13.33,2,5,2, ,-23.02623001,-2.3
5,22,8J BROT03,BROT03,2003,25,M,50,50,50,70,70,70,120,0.583,NA,NA,NA,NA,NA,NA,NA,NA,38.9,NA,NA,NA,NA,13.3,5,12:00:00,12:15:00,15,5,11:23:00,,,5/16/2003,136,387,57,62.4,165,106,66,22.1,12.3,12.5,34,77.4,43.4,NA,NA,NA,NA,NA,NA,56.2,55,55.4,57.1,55.3,13.33,2,5,2, ,-35.14620092,-2.1
6,32,5Q BRTN03,BRTN03,2003,24,F,50,50,50,70,70,70,120,0.583,30,30,30,40,50,45,75,0.6,39.6,39.8,-0.2,NA,NA,14.4,4,11:23:00,11:34:00,11,2,11:22:00,11:58:00,10:34:00,5/17/2003,137,387,53,59.5,152,97,50,21.4,13.6,14.2,33.5,72.6,39.1,48,84,54,49.6,56.1,53.8,56.1,53.8,55.1,60.3,55.6,14.39,2,4,2, ,7.762792616,-1.4
7,31,6R BRTN03,BRTN03,2003,24,F,50,50,50,70,70,70,120,0.583,40,40,40,50,60,55,95,0.579,39.8,39.2,0.6,NA,NA,14.4,4,11:34:00,11:45:00,11,3,11:13:00,12:06:00,10:34:00,5/17/2003,137,354,51,55.9,154,95,51,21.6,12.7,13.7,34.5,71.8,37.3,39,92,54,49.6,56.1,53.8,56.1,53.8,55.1,60.3,55.6,14.39,2,4,2, ,21.91888313,-1.2
8,30,7S BRTN03,BRTN03,2003,24,M,60,60,60,80,80,80,140,0.571,NA,NA,NA,NA,NA,NA,NA,NA,39.8,NA,39.8,NA,NA,14.4,4,11:45:00,11:55:00,10,4,11:09:00,,10:34:00,5/17/2003,137,407,52,60.4,153,95,47,21.7,12.9,12.7,34.4,76.2,41.8,35,NA,54,49.6,56.1,53.8,56.1,53.8,55.1,60.3,55.6,14.39,2,4,2, ,10.1698595,-1.2
9,68,11 BURP03,BURP03,2003,26,M,30,40,35,50,60,55,90,0.611,NA,NA,NA,NA,NA,NA,NA,NA,41.4,NA,NA,18.3,NA,18.3,2,,,NA,1,9:41:00,,9:18:00,5/27/2003,147,312,55,58.6,169,115,58,22.9,13.2,12.8,35.6,78.7,43.1,23,NA,58.6,51.8,62,58.5,58.6,51.8,54.8,62,58.5,60,2,2,2, ,-62.04568613,0.4
10,69,SWB-W BURP03,BURP03,2003,26,M,30,30,30,70,50,60,90,0.667,NA,NA,NA,NA,NA,NA,NA,NA,36.9,NA,NA,18.3,NA,18.3,2,9:38:00,,NA,2,9:50:00,,9:18:00,5/27/2003,147,130,12,45,95,50,30,17.6,12.8,10.5,27.7,62.9,35.2,32,NA,58.6,51.8,62,58.5,58.6,51.8,54.8,62,58.5,60,2,2,2, ,-71.89647529,-4.1
