"HatchDateJulYear","ID","FieldAge","CalcAge","AllSex","BNT","BW","BD","TEC","UB","UBS","TBS","Skull","Tarsus","Weight"
1989112,"BSWG ALEX89",26,25.7,"",23.2,12.9,13.8,39,15.8,218.04,260.325,41.7,61,400
1989112,"GSWG ALEX89",26,25.5,"",22.2,12.2,13.2,34,11.8,155.76,215.9,41.5,59.6,350
1989112,"WSWG ALEX89",26,26.1,"",23.6,12.6,13.9,38.1,14.5,201.55,252.4125,42.2,60.2,410
1989112,"YSWG ALEX89",26,25.3,"",22,12.9,13.2,34,12,158.4,221.85,42.2,59,330
1989125,"BSGY WSAP89",26,25.9,"",23.5,12.8,14.9,36.4,12.9,192.21,252.07,45.1,63.9,448
1989125,"GSGY WSAP89",26,26.1,"",22.2,13.1,13.8,37.8,15.6,215.28,254.205,40.4,61.8,438
1989125,"WSGY WSAP89",26,26,"",23.4,13.8,13.8,37.7,14.3,197.34,260.13,37.3,61,403
1989125,"YSGY WSAP89",26,26.4,"",25.7,15.3,14.5,40,14.3,207.35,298,42.8,64.8,453
1989153,"BSBW UTIC89",25,25.2,"",22.6,14.3,13.8,34.7,12.1,166.98,243.7675,43.1,60.8,330
1990103,"AZ SSAP90",25,24.9,"",21.4,12.9,12.6,33.5,12.1,152.46,213.5625,39.5,59,365
1990103,"BY SSAP90",25,24.8,"",21.2,14.1,13.2,34.7,13.5,178.2,236.8275,39.5,62,368
1990103,"CX SSAP90",25,24.5,"",19.5,13.1,12.7,30.8,11.3,143.51,198.66,40.4,57.7,300
1990103,"DW SSAP90",25,24.3,"",20.5,14.7,12.7,32.4,11.9,151.13,221.94,39.9,58.7,340
1990107,"EV WAIT90",24,24.7,"",20.6,11.9,13.5,34.2,13.6,183.6,217.17,35.9,53.7,348
1990107,"FU WAIT90",24,24.2,"",19,13,12,31.9,12.9,154.8,199.375,36.2,47.8,263
1990107,"GT WAIT90",24,24.5,"",21.5,13.1,13.3,33,11.5,152.95,217.8,40.6,51.4,328
1990107,"KP STAT90",28,28,"",25.2,14.5,14.7,38.1,12.9,189.63,278.13,44.3,61.7,460
1990107,"LO STAT90",28,28,"",25.1,14.2,14.4,37.3,12.2,175.68,266.695,43.9,59,415
1990107,"MN STAT90",28,28,"",23.9,13.8,13.5,36.4,12.5,168.75,248.43,41.7,58.9,385
1990107,"NM STAT90",28,28,"",23.7,16.7,13.9,37.6,13.9,193.21,287.64,41.4,59.4,430
1990107,"OL HART90",28,28,"M",23.5,12.1,14.4,37.8,14.3,205.92,250.425,41.8,58.9,423
1990107,"PK HART90",28,28,"M",23.3,13.7,13.3,36.2,12.9,171.57,244.35,43.2,62.8,430
1990107,"QJ HART90",28,28,"",24.4,13.1,13.3,37.4,13,172.9,246.84,41.7,59.6,400
1990107,"RI HART90",28,28,"M",22.1,13,12.7,35.1,13,165.1,225.5175,41.7,58.6,388
1990108,"HS ALEX90",26,25.2,"",21.4,13.7,13.2,32.5,11.1,146.52,218.5625,39.6,58.6,300
1990108,"IR ALEX90",26,24.7,"",22.4,13.8,13.5,34.6,12.2,164.7,236.145,39.2,57.1,353
1990108,"JQ ALEX90",26,25.4,"",21.2,13.3,13.1,32.5,11.3,148.03,214.5,41.8,55.8,315
1990111,"SH KNOL90",26,26,"M",23.9,13.4,13.9,36.1,12.2,169.58,246.3825,42.4,61.5,390
1990111,"TG KNOL90",26,26,"",23.1,13.1,13.1,34,10.9,142.79,222.7,41.2,60.8,360
1990111,"UF KNOL90",26,26,"",24.2,14.7,13.5,36.6,12.4,167.4,258.03,42.4,60.7,420
1990111,"VE KNOL90",26,26,"",23.8,13.4,12.7,35.8,12,152.4,233.595,41.2,60.6,372
1990111,"WD PWAY90",27,26.5,"",24.9,14.1,13.2,36.4,11.5,151.8,248.43,43,57,333
1990116,"CW NWOD90",27,27,"",22,12.8,13.7,33,11,150.7,218.625,43.3,59.3,425
1990116,"DV NWOD90",27,27,"",22.1,14.1,13.4,34.2,12.1,162.14,235.125,43.8,60,470
1990116,"EU NWOD90",27,27,"",21,13,13.2,31.9,10.9,143.88,208.945,42.9,57.6,380
1990116,"FT NWOD90",27,27,"",22.3,12.5,12.9,33.4,11.1,143.19,212.09,43.4,59.9,405
1990116,"GS NWOD90",27,27,"",19.9,14.1,13.2,30.6,10.7,141.24,208.845,43,59.7,408
1990117,"AY WEGO90",25,25,"",23,14.9,14,35.2,12.2,170.8,254.32,42.5,61,447
1990117,"BX WEGO90",25,25,"",21.8,13.5,13.2,33.4,11.6,153.12,222.945,42.4,58.2,380
1990117,"YB WEGO90",25,25,"",23.3,14.3,13.8,36,12.7,175.26,252.9,42.6,60.8,440
1990117,"ZA WEGO90",25,25,"F",21.9,14,13.4,33.1,11.2,150.08,226.735,39.9,54.8,380
1990118,"IQ WPAR90",27,27.7,"",23.9,12.2,12.5,36.7,12.8,160,226.6225,41.6,57,365
1990118,"JP WPAR90",27,25.5,"",23.3,13.7,13.6,36.2,12.9,175.44,247.065,40.7,59.1,325
1990118,"XC UPPA90",24,24,"F",17.9,12.6,11.7,31.3,13.4,156.78,190.1475,37.4,53.9,292
1990120,"HR HOGS90",24,24,"M",22,13.4,13,34.6,12.6,163.8,228.36,40.2,59.1,415
1990125,"OK CEME90",24,24,"",20.3,12.4,12.2,31.6,11.3,137.86,194.34,38.3,52.2,215
1990125,"PJ CEME90",24,24,"",20.4,12,11,30.7,10.3,113.3,176.525,38.6,53.5,237
1991101,"AV FALC91",28,26,"",19.7,13.9,12.1,31.4,11.7,141.57,204.1,41.6,59.2,371
1991101,"BU FALC91",28,26.2,"",21.9,15.7,13.4,33.6,11.7,156.78,244.44,42.4,59.5,378
1991105,"GR FRNO91",28,26.5,"",20.8,13.9,13.4,33.2,12.4,166.16,226.59,40.2,57.9,343
1991105,"IP FRNO91",28,26.6,"",23.3,14.3,14.4,36,12.7,182.88,258.3,41.5,59.4,390
1991105,"JO FRNO91",28,25.4,"",21.6,14.7,12.8,33.5,11.9,152.32,230.3125,37.6,57.4,390
1991105,"KN FRNO91",28,25.2,"",21.1,13.2,12.1,31.8,10.7,129.47,201.135,39.1,52.4,295
1991106,"CV HART91",27,27.1,"",23,13.7,14.4,35.3,12.3,177.12,247.9825,41.4,59.5,400
1991106,"DU HART91",27,26.3,"M",21.1,12.2,12.5,33,11.9,148.75,203.775,42.1,56,335
1991106,"ET HART91",27,26.3,"M",20.9,14.4,14.7,35.1,14.2,208.74,255.3525,39.9,57.8,385
1991106,"FS HART91",27,25.8,"M",21.9,14.3,13,35.6,13.7,178.1,242.97,40.3,58,325
1991108,"OJ ELWO91",28,27.4,"",22,14,13.7,35.5,13.5,184.95,245.8375,41.4,60.3,367
1991108,"QH ELWO91",28,26.7,"",22.2,13.2,13.8,35,12.8,176.64,236.25,41.4,58.6,330
1991108,"doa ELWO91",28,26.4,"",23.8,11.7,12.7,36.7,12.9,163.83,223.87,41.8,56.4,365
1991109,"RG WHIT91",28,26.5,"",22.4,14,13.4,33.9,11.5,154.1,232.215,41.6,52.9,320
1991109,"SF WHIT91",28,28,"",26.2,14.1,14.5,39.1,12.9,187.05,279.565,45.3,60.4,450
1991109,"TE WHIT91",28,28,"M",24.8,16.1,14.8,37.7,12.9,190.92,291.2325,43.6,59.1,435
1991111,"LM LOWL91",24,25.7,"",23.2,14.8,13.5,35.3,12.1,163.35,249.7475,41.3,61.9,410
1991111,"ML LOWL91",24,25.5,"F",22.3,14.6,15.4,35.6,13.3,204.82,267,39.2,60.5,367
1991111,"NK LOWL91",24,25.4,"",23.5,14.9,15.1,36.6,13.1,197.81,274.5,41.3,61.8,390
1991111,"YZ TRIQ91",29,29,"",26,15.3,14.5,38.5,12.5,181.25,286.825,45.3,60.8,417
1991111,"ZY TRIQ91",29,29,"",24.7,13,13.8,35.4,10.7,147.66,237.18,44.3,57.6,372
1991111,"doa TRIQ91",29,29,"",24.4,14.5,13.7,36.4,12,164.4,256.62,43.8,59.9,387
1991112,"AW BROT91",28,28,"",22.7,14.1,13.1,35.4,12.7,166.37,240.72,42,60.1,365
1991112,"BV BROT91",28,28,"",24,15,12.9,37,13,167.7,258.075,42.2,60.4,360
1991112,"CU BROT91",28,28,"",23.3,15.6,14.2,36.5,13.2,187.44,271.925,43.2,62.4,395
1991112,"XA OVRL91",28,26.5,"",21.6,16.1,13,34.8,13.2,171.6,253.17,38.4,55.5,295
1991113,"HP FOOT91",28,28,"",21.5,13.1,12.8,33.9,12.4,158.72,219.5025,41,52.7,305
1991113,"VC HIHI91",27,28.7,"M",26.3,13.5,14.3,39.9,13.6,194.48,277.305,46.7,63,440
1991113,"WB HIHI91",27,28.4,"M",25.8,13.8,14.6,38.7,12.9,188.34,274.77,43.3,59,387
1991113,"doa FOOT91",28,28,"",23.1,14.8,13.7,35.1,12,164.4,250.0875,41.6,51.3,335
1991114,"IO NWOD91",27,26.7,"",23.2,13.7,13.5,34.8,11.6,156.6,236.64,43.3,61.4,390
1991114,"JN NWOD91",27,26.3,"",22.3,15.3,14.1,33.8,11.5,162.15,248.43,42.8,61.2,392
1991114,"KM NWOD91",27,27.7,"",23.5,13.9,13.9,36.7,13.2,183.48,255.065,43.7,60.8,445
1991114,"LL NWOD91",27,27.5,"",23.4,15.6,14.5,36.6,13.2,191.4,275.415,44.5,63.5,435
1991115,"MK PINW91",27,27,"",22.9,15,13,35.8,12.9,167.7,250.6,42.6,61.6,390
1991115,"NJ PINW91",27,27,"",20.9,14.6,12.2,32.9,12,146.4,220.43,38.8,55.9,335
1991115,"OI PINW91",27,27,"",22.6,15.2,13.6,33.9,11.3,153.68,244.08,42.3,59.4,365
