Species,Population,LifeStage,Year,ID,Name,NestName,Sex,Age,CalcAge,BandDate,BandJul,HatchJul,BandedBroodSize,WithinBroodSizeRank,Mass,Tarsus,BillDepth,BillWidth,BillNT,TEC,Skull,Primary7,ExposedPrimary7,WingChord,TailLength
Corvus brachyrhynchos,Ithaca,nestling,2004,16 MNDY04,16,MNDY04,M,28,27,5/8/2004,129,102,3,1,460,62.1,13.4,13.5,25.5,39.8,42.2,127,72,185,72
Corvus brachyrhynchos,Ithaca,nestling,2004,27 MNDY04,27,MNDY04,F,28,27,5/8/2004,129,102,3,4,400,59.3,13.1,13.3,24,38,39.9,118,74,178,73
Corvus brachyrhynchos,Ithaca,nestling,2004,38 MNDY04,38,MNDY04,F,28,26,5/8/2004,129,103,3,3,420,60,12.9,13.7,22.8,35.1,40.2,114,62,170,67
Corvus brachyrhynchos,Ithaca,nestling,2004,49 YATI04,49,YATI04,F,28,27,5/8/2004,129,102,1,,260,60.6,12,12.6,23,36.1,40.4,125,69,187,78
Corvus brachyrhynchos,Ithaca,nestling,2004,50 CCLI04,50,CCLI04,M,24,25,5/8/2004,129,104,4,1,452,60.9,12.6,12.9,20.3,33.3,42.3,95,43,155,48
Corvus brachyrhynchos,Ithaca,nestling,2004,61 CCLI04,61,CCLI04,M,24,25,5/8/2004,129,104,4,2,453,59.6,13.4,13.5,21.9,34.2,42.2,101,49,158,48
Corvus brachyrhynchos,Ithaca,nestling,2004,72 CCLI04,72,CCLI04,F,24,25,5/8/2004,129,104,4,3,373,58.6,12.6,12.6,19.6,32.3,37.8,89,34,143,40
Corvus brachyrhynchos,Ithaca,nestling,2004,83 CCLI04,83,CCLI04,F,24,24,5/8/2004,129,105,4,4,325,52.9,12.3,11.3,16.7,29.3,35.4,64,23,129,20
Corvus brachyrhynchos,Ithaca,nestling,2004,94 TRUP04,94,TRUP04,M,29,28,5/12/2004,133,105,3,1,417,59.1,14.5,12.5,25.6,37.3,56.7,131,94,196,88
Corvus brachyrhynchos,Ithaca,nestling,2004,17 TRUP04,17,TRUP04,F,29,28,5/12/2004,133,105,3,2,386,56,13.4,11.2,24.6,37.7,39.8,134,85,195,87
Corvus brachyrhynchos,Ithaca,nestling,2004,28 TRUP04,28,TRUP04,F,29,28,5/12/2004,133,105,3,3,351,56,13.8,11.4,23.6,36.9,40.7,132,92,186,81
Corvus brachyrhynchos,Ithaca,nestling,2004,39 FOWA04,39,FOWA04,F,24,26,5/14/2004,135,109,3,1,385,60.5,11.9,12,22.9,33.7,42.1,104,57,165,50
Corvus brachyrhynchos,Ithaca,nestling,2004,40 FOWA04,40,FOWA04,M,24,25,5/14/2004,135,110,3,3,354,56.7,12.6,12.7,21.8,33.6,42.4,88,48,142,43
Corvus brachyrhynchos,Ithaca,nestling,2004,51 FOWA04,51,FOWA04,M,24,25,5/14/2004,135,110,3,2,367,59.8,12.6,12.7,23.6,35.6,42.6,89,54,151,42
Corvus brachyrhynchos,Ithaca,nestling,2004,62 WARC04,62,WARC04,F,26,26,5/16/2004,137,111,4,2,400,54.9,13.5,12.8,25.1,36.9,42,113,65,169,62
Corvus brachyrhynchos,Ithaca,nestling,2004,73 WARC04,73,WARC04,M,26,26,5/16/2004,137,111,4,3,423,53.1,15.1,14,23,36,41.6,111,71,168,62
Corvus brachyrhynchos,Ithaca,nestling,2004,84 WARC04,84,WARC04,M,26,26,5/16/2004,137,111,4,1,440,56.7,13.3,12.4,25,36.3,42.2,113,75,176,63
Corvus brachyrhynchos,Ithaca,nestling,2004,95 WARC04,95,WARC04,F,26,26,5/16/2004,137,111,4,4,350,52.3,13.8,13,24.2,33.1,43.5,108,58,159,55
Corvus brachyrhynchos,Ithaca,nestling,2004,29 LOCO04,29,LOCO04,F,23,23,5/17/2004,138,115,4,3,300,54.7,12,13.2,20.8,32.4,37.5,82,39,138,41
Corvus brachyrhynchos,Ithaca,nestling,2004,30 LOCO04,30,LOCO04,M,23,23,5/17/2004,138,115,4,1,347,57.3,12.8,12.9,20.4,33.4,38.9,82,30,140,42
Corvus brachyrhynchos,Ithaca,nestling,2004,41 LOCO04,41,LOCO04,F,23,23,5/17/2004,138,115,4,4,330,53.5,12.3,11.8,19.9,30.9,40.1,84,35,141,43
Corvus brachyrhynchos,Ithaca,nestling,2004,52 LOCO04,52,LOCO04,F,23,23,5/17/2004,138,115,4,2,305,55.6,11.7,12.6,19.4,30.8,37.4,73,30,125,32
Corvus brachyrhynchos,Ithaca,nestling,2004,63 MINE04,63,MINE04,F,27,26,5/19/2004,140,114,4,2,385,59.2,12.3,13,23,35.1,43.6,115,64,172,67
Corvus brachyrhynchos,Ithaca,nestling,2004,74 MINE04,74,MINE04,M,27,26,5/19/2004,140,114,4,1,417,60.7,14.4,14.1,24.6,36.2,43.7,109,57,169,56
Corvus brachyrhynchos,Ithaca,nestling,2004,85 MINE04,85,MINE04,F,27,27,5/19/2004,140,113,4,3,390,57.9,12.8,14.8,23.4,34.3,42.8,122,70,175,70
Corvus brachyrhynchos,Ithaca,nestling,2004,96 MINE04,96,MINE04,F,27,27,5/19/2004,140,113,4,4,363,56.5,13.3,13.7,22.7,35.9,39.6,113,66,175,73
Corvus brachyrhynchos,Ithaca,nestling,2004,08 HAWA04,8,HAWA04,M,23,23,5/19/2004,140,117,5,1,385,60.8,13.3,13.8,22.1,33.5,42.8,92,47,152,41
