name,id,nestName,sex,Field Sex
I4,I4 SEPG11,SEPG11,F,
J5,J5 SEPG11,SEPG11,M,
K6,K6 SEPG11,SEPG11,F,
L7,L7 SEPG11,SEPG11,M,
M8,M8 SEPG11,SEPG11,M,
N9,N9 SEPG11,SEPG11,M,
O0,O0 FOWA11,FOWA11,F,
P1,P1 FOWA11,FOWA11,F,
Q2,Q2 STAD11,STAD11,F,
R3,R3 STAD11,STAD11,F,
S4,S4 STAD11,STAD11,M,
T5,T5 STAD11,STAD11,M,
U6,U6 SWAH11,SWAH11,F,
V7,V7 SWAH11,SWAH11,M,
W2,W2 SWAH11,SWAH11,M,
X3,X3 SWAH11,SWAH11,M,
Y4,Y4 SWAH11,SWAH11,M,
1055-12773,1055-12773 VRNA11,VRNA11,F,
1055-12774,1055-12774 VRNA11,VRNA11,F,
1055-12775,1055-12775 VRNA11,VRNA11,M,
1055-12776,1055-12776 VRNA11,VRNA11,M,
doa,doa VRNA11,VRNA11,,
Z5,Z5 HORC11,HORC11,PROB MALE,
A7,A7 HORC11,HORC11,M,
B8,B8 HORC11,HORC11,M,
C9,C9 MAWA11,MAWA11,M,
D0,D0 CISH11,CISH11,M,
E1,E1 CISH11,CISH11,M,
F2,F2 YEFE11,YEFE11,M,
G3,G3 YEFE11,YEFE11,F,
FFS-L,FFS-L YEFE11,YEFE11,F,
H4,H4 ITHS11,ITHS11,F,
I5,I5 ECRI11,ECRI11,F,
J6,J6 ECRI11,ECRI11,F,
K7,K7 ECRI11,ECRI11,F,
L8,L8 STEX11,STEX11,M,
M9,M9 STEX11,STEX11,M,
N0,N0 STEX11,STEX11,M,
O1,O1 DOGS11,DOGS11,F,
Q3,Q3 DOGS11,DOGS11,F,
R4,R4 DOGS11,DOGS11,F,
S5,S5 DOGS11,DOGS11,M,
T6,T6 DOGS11,DOGS11,M,
U7,U7 TRAN11,TRAN11,F,
B9,B9 TRAN11,TRAN11,F,
C0,C0 TRAN11,TRAN11,M,
D1,D1 SPRU11,SPRU11,F,
F3,F3 HAWA11,HAWA11,M,
G4,G4 MNDY11,MNDY11,M,
H5,H5 MNDY11,MNDY11,F,
I6,I6 MNDY11,MNDY11,M,
J7,J7 MNDY11,MNDY11,F,
K8,K8 NHAS11,NHAS11,M,
L9,L9 NHAS11,NHAS11,M,
M0,M0 NHAS11,NHAS11,F,
O2,O2 NHAS11,NHAS11,FAILED,
P3,P3 NHAS11,NHAS11,M,
Q4,Q4 CARE11,CARE11,F,
R5,R5 CARE11,CARE11,M,
S6,S6 CARE11,CARE11,M,
U2,U2 CARE11,CARE11,M,
doa,doa CARE11,CARE11,M,
V3,V3 TRAN11,TRAN11,F,
W4,W4 SILI11,SILI11,F,
X5,X5 SILI11,SILI11,M,
Y6,Y6 SILI11,SILI11,M,
Z7,Z7 CARD11,CARD11,F,
B1,B1 CARD11,CARD11,F,
doa,doa CARD11,CARD11,M,
C2,C2 ROWA11,ROWA11,M,
D3,D3 ROWA11,ROWA11,F,
E4,E4 ROTA11,ROTA11,F,
F5,F5 ROTA11,ROTA11,M,
G6,G6 ROTA11,ROTA11,M,
H7,H7 ROTA11,ROTA11,F,
I8,I8 PEAC11,PEAC11,F,
K0,K0 PEAC11,PEAC11,M,
L1,L1 PEAC11,PEAC11,M,
M2,M2 YFER11,YFER11,F,
N3,N3 YFER11,YFER11,M,
O4,O4 YFER11,YFER11,M,
P5,P5 WWC211,WWC211,M,
Q6,Q6 WWC211,WWC211,M,
R7,R7 WWC211,WWC211,F,
T3,T3 WICT11,WICT11,M,
U4,U4 WICT11,WICT11,F,
X7,X7 WOSA11,WOSA11,F,
Y8,Y8 YBAR11,YBAR11,M,
Z9,Z9 YBAR11,YBAR11,F,
A9,A9 HAPA11,HAPA11,F,
B0,B0 HAPA11,HAPA11,F,
C1,C1 HAPA11,HAPA11,F,
D2,D2 HAPA11,HAPA11,M,
M1,M1 PEAC12,PEAC12,,
N2,N2 PEAC12,PEAC12,,
O3,O3 PEAC12,PEAC12,,
P4,P4 PEAC12,PEAC12,,
Q5,Q5 CISH12,CISH12,,
R6,R6 CISH12,CISH12,,
S7,S7 CISH12,CISH12,,
T2,T2 CISH12,CISH12,,
V4,V4 NMUR12,NMUR12,,
W5,W5 NMUR12,NMUR12,,
U3,U3 NMUR12,NMUR12,,
X6,X6 HORC12,HORC12,,
Y7,Y7 HORC12,HORC12,,
Z8,Z8 LRIS12,LRIS12,,
1A,1A LRIS12,LRIS12,,
2B,2B LRIS12,LRIS12,,
3C,3C LRIS12,LRIS12,,
5E,5E MAWA12,MAWA12,,
4D,4D MAWA12,MAWA12,,
6F,6F MAWA12,MAWA12,,
7G,7G MAWA12,MAWA12,,
8H,8H MAWA12,MAWA12,,
0J,0J SIEN12,SIEN12,,
9I,9I SIEN12,SIEN12,,
1K,1K SIEN12,SIEN12,,
2L,2L MINO12,MINO12,,
3M,3M MINO12,MINO12,,
4N,4N MINO12,MINO12,,
5O,5O MINO12,MINO12,,
6P,6P NBUR12,NBUR12,,
7Q,7Q NBUR12,NBUR12,,
8R,8R NBUR12,NBUR12,M,M
9S,9S NBUR12,NBUR12,,
0T,0T BURS12,BURS12,,
1U,1U BURS12,BURS12,,
2V,2V BURS12,BURS12,,
3W,3W LILA12,LILA12,,
4X,4X LILA12,LILA12,,
5Y,5Y LILA12,LILA12,,
6Z,6Z MNDY12,MNDY12,,
5B,5B MNDY12,MNDY12,,
6C,6C MNDY12,MNDY12,,
7D,7D MNDY12,MNDY12,,
5V,5V WWCK12,WWCK12,F,F
7X,7X WWCK12,WWCK12,,
6W,6W WWCK12,WWCK12,,
8Y,8Y WWCK12,WWCK12,,
9Z,9Z WWCK12,WWCK12,,
8E,8E YEFE12,YEFE12,,
9F,9F YEFE12,YEFE12,,
1H,1H YEFE12,YEFE12,,
2I,2I YEFE12,YEFE12,,
4K,4K YEFE12,YEFE12,,
5L,5L YFER12,YFER12,,
6M,6M YFER12,YFER12,,
8O,8O YFER12,YFER12,,
7N,7N YFER12,YFER12,,
0Q,0Q CARD12,CARD12,,
1R,1R CARD12,CARD12,,
2S,2S CARD12,CARD12,,
9P,9P CARD12,CARD12,,
FY-SL,FY-SL WARM12,WARM12,,
9E,9E SWEG12,SWEG12,,
0F,0F BREN12,BREN12,,
3T,3T WAWD12,WAWD12,,
4U,4U WAWD12,WAWD12,,
5A,5A WAWD12,WAWD12,,
6B,6B WAWD12,WAWD12,,
7C,7C BIHA12,BIHA12,,
8D,8D BIHA12,BIHA12,,
1G,1G BREN12,BREN12,,
2H,2H BREN12,BREN12,,
3I,3I BREN12,BREN12,,
4J,4J DOGS12,DOGS12,,
5K,5K DOGS12,DOGS12,,
6L,6L DOGS12,DOGS12,,
