Obs,Year,Name,NestName,ID,BandNumber,BandDate,BandDateJul,MeasurementDate,MeasurementDateJulYear,MeasurementDateJul,AgeField,CalcAge,CalcAgeInteger,HatchDate,HatchDateJul1,HatchDateJul,AllSex,BillNT,TEC,BillWidth,BillDepth,Head,UpperBill,UBillSurface,TotBillSurface,Skull,Tarsus,WingChord,Primary7,TailLength,Weight,Condition,,,
1,1989,WSWG,ALEX89,WSWG ALEX89,695-20402,05/18/1989,138,05/18/1989,1989138,138,26,26.1,26,04/22/1989,112,1989112,,23.6,38.1,12.6,13.9,80.3,14.5,201.55,252.4125,42.2,60.2,170,117,52,410,0.12 ,,,
2,1989,YSWG,ALEX89,YSWG ALEX89,695-20403,05/18/1989,138,05/18/1989,1989138,138,26,25.3,25,04/22/1989,112,1989112,,22,34,12.9,13.2,76.2,12,158.4,221.85,42.2,59,155,93,50,330,0.12 ,,,
3,1989,BSWG,ALEX89,BSWG ALEX89,695-20404,05/18/1989,138,05/18/1989,1989138,138,26,25.7,26,04/22/1989,112,1989112,,23.2,39,12.9,13.8,80.7,15.8,218.04,260.325,41.7,61,160,105,50,400,0.12 ,,,
4,1989,GSWG,ALEX89,GSWG ALEX89,695-20405,05/18/1989,138,05/18/1989,1989138,138,26,25.5,26,04/22/1989,112,1989112,,22.2,34,12.2,13.2,75.5,11.8,155.76,215.9,41.5,59.6,160,100,50,350,0.12 ,,,
5,1989,WSGY,WSAP89,WSGY WSAP89,695-20410,05/31/1989,151,05/31/1989,1989151,151,26,26.0,26,05/05/1989,125,1989125,,23.4,37.7,13.8,13.8,75,14.3,197.34,260.13,37.3,61,171,111,57,403,0.12 ,,,
6,1989,YSGY,WSAP89,YSGY WSAP89,695-20412,05/31/1989,151,05/31/1989,1989151,151,26,26.4,26,05/05/1989,125,1989125,,25.7,40,15.3,14.5,82.8,14.3,207.35,298,42.8,64.8,171,120,60,453,0.12 ,,,
7,1989,BSGY,WSAP89,BSGY WSAP89,695-20413,05/31/1989,151,05/31/1989,1989151,151,26,25.9,26,05/05/1989,125,1989125,,23.5,36.4,12.8,14.9,81.5,12.9,192.21,252.07,45.1,63.9,165,113,52,448,0.12 ,,,
8,1989,GSGY,WSAP89,GSGY WSAP89,695-20414,05/31/1989,151,05/31/1989,1989151,151,26,26.1,26,05/05/1989,125,1989125,,22.2,37.8,13.1,13.8,78.2,15.6,215.28,254.205,40.4,61.8,167,114,57,438,0.12 ,,,
9,1989,GSBW,SSET89,GSBW SSET89,695-20406,06/05/1989,156,06/05/1989,1989156,156,23,23.0,23,05/13/1989,133,1989133,,22.2,34,13.9,12.6,78.3,11.8,148.68,225.25,44.3,57.1,139,78,35,375,0.13 ,,,
10,1989,BSBW,UTIC89,BSBW UTIC89,695-20419,06/27/1989,178,06/27/1989,1989178,178,25,25.2,25,06/02/1989,153,1989153,,22.6,34.7,14.3,13.8,77.8,12.1,166.98,243.7675,43.1,60.8,154,98,40,330,0.11 ,,,
11,1990,AZ,SSAP90,AZ SSAP90,695-20421,05/08/1990,128,05/08/1990,1990128,128,25,24.9,25,04/13/1990,103,1990103,,21.4,33.5,12.9,12.6,73,12.1,152.46,213.5625,39.5,59,0,103,0,365,0.12 ,,,
12,1990,BY,SSAP90,BY SSAP90,695-20422,05/08/1990,128,05/08/1990,1990128,128,25,24.8,25,04/13/1990,103,1990103,,21.2,34.7,14.1,13.2,74.2,13.5,178.2,236.8275,39.5,62,0,99,0,368,0.12 ,,,
