Obs,Year,Month,Day,Name,NestName,ID,BandNumber,BandDate,BandDateJul,MeasurementDate,MeasurementDateJulYear,MeasurementDateJul,AgeField,CalcAge,CalcAgeInteger,HatchDate,HatchDateJul,HatchDateJulYear,AllSex,BillNT,TEC,BillWidth,BillDepth,Head,UpperBill,UBillSurface,TotBillSurface,Skull,Tarsus,WingChord,Primary7,TailLength,Weight,Condition,MaxTempMean1_11,MaxTempMean12_22,MaxTempMeanIncubation,PrecipSum1_11,PrecipSum12_22,PrecipSumIncubation,GDDSum1_11,GDDSum12_22,GDDSumIncubation,CDDSum1_11,CDDSum12_22,CDDSumIncubation
11,1990,4,13,AZ,SSAP90,AZ SSAP90,695-20421,5/8/1990,128,5/8/1990,1990128,128,25,24.9,25,4/13/1990,103,1990103,,21.4,33.5,12.9,12.6,73,12.1,152.46,213.5625,39.5,59,0,103,0,365,0.12,53.45454545,73.90909091,44,0.52,0.28,3.07,5,126,0,0,23,0
12,1990,4,13,BY,SSAP90,BY SSAP90,695-20422,5/8/1990,128,5/8/1990,1990128,128,25,24.8,25,4/13/1990,103,1990103,,21.2,34.7,14.1,13.2,74.2,13.5,178.2,236.8275,39.5,62,0,99,0,368,0.12,53.45454545,73.90909091,44,0.52,0.28,3.07,5,126,0,0,23,0
13,1990,4,13,CX,SSAP90,CX SSAP90,695-20423,5/8/1990,128,5/8/1990,1990128,128,25,24.5,25,4/13/1990,103,1990103,,19.5,30.8,13.1,12.7,71.2,11.3,143.51,198.66,40.4,57.7,0,88,0,300,0.12,53.45454545,73.90909091,44,0.52,0.28,3.07,5,126,0,0,23,0
14,1990,4,13,DW,SSAP90,DW SSAP90,695-20424,5/8/1990,128,5/8/1990,1990128,128,25,24.3,24,4/13/1990,103,1990103,,20.5,32.4,14.7,12.7,72.3,11.9,151.13,221.94,39.9,58.7,0,79,0,340,0.12,53.45454545,73.90909091,44,0.52,0.28,3.07,5,126,0,0,23,0
15,1990,4,17,EV,WAIT90,EV WAIT90,695-20425,5/11/1990,131,5/11/1990,1990131,131,24,24.7,25,4/17/1990,107,1990107,,20.6,34.2,11.9,13.5,70.1,13.6,183.6,217.17,35.9,53.7,0,94,0,348,0.13,64.09090909,66.63636364,47.10526316,0.79,1.08,3.06,59,79,0,7,16,0
16,1990,4,17,FU,WAIT90,FU WAIT90,695-20426,5/11/1990,131,5/11/1990,1990131,131,24,24.2,24,4/17/1990,107,1990107,,19,31.9,13,12,68.1,12.9,154.8,199.375,36.2,47.8,0,74,0,263,0.13,64.09090909,66.63636364,47.10526316,0.79,1.08,3.06,59,79,0,7,16,0
17,1990,4,17,GT,WAIT90,GT WAIT90,695-20427,5/11/1990,131,5/11/1990,1990131,131,24,24.5,25,4/17/1990,107,1990107,,21.5,33,13.1,13.3,73.6,11.5,152.95,217.8,40.6,51.4,0,88,0,328,0.13,64.09090909,66.63636364,47.10526316,0.79,1.08,3.06,59,79,0,7,16,0
18,1990,4,18,HS,ALEX90,HS ALEX90,695-20428,5/14/1990,134,5/14/1990,1990134,134,26,25.2,25,4/18/1990,108,1990108,,21.4,32.5,13.7,13.2,72.1,11.1,146.52,218.5625,39.6,58.6,NA,111,NA,300,0.11,66.63636364,66,47.10526316,0.79,1.08,3.11,79,74,0,12,11,0
19,1990,4,18,IR,ALEX90,IR ALEX90,695-20429,5/14/1990,134,5/14/1990,1990134,134,26,24.7,25,4/18/1990,108,1990108,,22.4,34.6,13.8,13.5,73.8,12.2,164.7,236.145,39.2,57.1,NA,95,NA,353,0.12,66.63636364,66,47.10526316,0.79,1.08,3.11,79,74,0,12,11,0
20,1990,4,18,JQ,ALEX90,JQ ALEX90,695-20430,5/14/1990,134,5/14/1990,1990134,134,26,25.4,25,4/18/1990,108,1990108,,21.2,32.5,13.3,13.1,74.3,11.3,148.03,214.5,41.8,55.8,NA,118,NA,315,0.12,66.63636364,66,47.10526316,0.79,1.08,3.11,79,74,0,12,11,0
21,1990,4,17,KP,STAT90,KP STAT90,695-20431,5/15/1990,135,5/15/1990,1990135,135,28,28,28,4/17/1990,107,1990107,,25.2,38.1,14.5,14.7,82.4,12.9,189.63,278.13,44.3,61.7,NA,125,75,460,0.13,64.09090909,66.63636364,47.10526316,0.79,1.08,3.06,59,79,0,7,16,0
22,1990,4,17,LO,STAT90,LO STAT90,695-20432,5/15/1990,135,5/15/1990,1990135,135,28,28,28,4/17/1990,107,1990107,,25.1,37.3,14.2,14.4,81.2,12.2,175.68,266.695,43.9,59,NA,135,82,415,0.13,64.09090909,66.63636364,47.10526316,0.79,1.08,3.06,59,79,0,7,16,0
23,1990,4,17,MN,STAT90,MN STAT90,695-20433,5/15/1990,135,5/15/1990,1990135,135,28,28,28,4/17/1990,107,1990107,,23.9,36.4,13.8,13.5,78.1,12.5,168.75,248.43,41.7,58.9,NA,129,77,385,0.12,64.09090909,66.63636364,47.10526316,0.79,1.08,3.06,59,79,0,7,16,0
24,1990,4,17,NM,STAT90,NM STAT90,695-20434,5/15/1990,135,5/15/1990,1990135,135,28,28,28,4/17/1990,107,1990107,,23.7,37.6,16.7,13.9,79,13.9,193.21,287.64,41.4,59.4,NA,118,64,430,0.13,64.09090909,66.63636364,47.10526316,0.79,1.08,3.06,59,79,0,7,16,0
25,1990,4,17,OL,HART90,OL HART90,695-20435,5/15/1990,135,5/15/1990,1990135,135,28,28,28,4/17/1990,107,1990107,M,23.5,37.8,12.1,14.4,79.6,14.3,205.92,250.425,41.8,58.9,NA,122,71,423,0.13,64.09090909,66.63636364,47.10526316,0.79,1.08,3.06,59,79,0,7,16,0
26,1990,4,17,PK,HART90,PK HART90,695-20436,5/15/1990,135,5/15/1990,1990135,135,28,28,28,4/17/1990,107,1990107,M,23.3,36.2,13.7,13.3,79.4,12.9,171.57,244.35,43.2,62.8,NA,129,79,430,0.12,64.09090909,66.63636364,47.10526316,0.79,1.08,3.06,59,79,0,7,16,0
27,1990,4,17,QJ,HART90,QJ HART90,695-20437,5/15/1990,135,5/15/1990,1990135,135,28,28,28,4/17/1990,107,1990107,,24.4,37.4,13.1,13.3,79.1,13,172.9,246.84,41.7,59.6,NA,119,65,400,0.12,64.09090909,66.63636364,47.10526316,0.79,1.08,3.06,59,79,0,7,16,0
28,1990,4,17,RI,HART90,RI HART90,695-20438,5/15/1990,135,5/15/1990,1990135,135,28,28,28,4/17/1990,107,1990107,M,22.1,35.1,13,12.7,76.8,13,165.1,225.5175,41.7,58.6,NA,105,52,388,0.12,64.09090909,66.63636364,47.10526316,0.79,1.08,3.06,59,79,0,7,16,0
29,1990,4,21,SH,KNOL90,SH KNOL90,695-20439,5/17/1990,137,5/17/1990,1990137,137,26,26,26,4/21/1990,111,1990111,M,23.9,36.1,13.4,13.9,78.5,12.2,169.58,246.3825,42.4,61.5,172,109,62,390,0.12,73.36363636,62.36363636,48.84210526,0.66,1.49,3.34,127,46,3,23,4,0
30,1990,4,21,TG,KNOL90,TG KNOL90,695-20440,5/17/1990,137,5/17/1990,1990137,137,26,26,26,4/21/1990,111,1990111,,23.1,34,13.1,13.1,75.2,10.9,142.79,222.7,41.2,60.8,166,106,64,360,0.12,73.36363636,62.36363636,48.84210526,0.66,1.49,3.34,127,46,3,23,4,0
31,1990,4,21,UF,KNOL90,UF KNOL90,695-20439,5/17/1990,137,5/17/1990,1990137,137,26,26,26,4/21/1990,111,1990111,,24.2,36.6,14.7,13.5,79,12.4,167.4,258.03,42.4,60.7,175,108,62,420,0.12,73.36363636,62.36363636,48.84210526,0.66,1.49,3.34,127,46,3,23,4,0
