"","Year","Name","NestName","ID","FieldAge","CalcAge","HatchDateJul","HatchDateJulYear","AllSex","BNT","BW","BD","TEC","Head","UB","UBS","TBS","Skull","Tarsus","Weight"
"1",1989,"BSWG","ALEX89","BSWG ALEX89",26,25.7,112,1989112,"",23.2,12.9,13.8,39,80.7,15.8,218.04,260.325,41.7,61,400
"2",1989,"GSWG","ALEX89","GSWG ALEX89",26,25.5,112,1989112,"",22.2,12.2,13.2,34,75.5,11.8,155.76,215.9,41.5,59.6,350
"3",1989,"WSWG","ALEX89","WSWG ALEX89",26,26.1,112,1989112,"",23.6,12.6,13.9,38.1,80.3,14.5,201.55,252.4125,42.2,60.2,410
"4",1989,"YSWG","ALEX89","YSWG ALEX89",26,25.3,112,1989112,"",22,12.9,13.2,34,76.2,12,158.4,221.85,42.2,59,330
"5",1989,"BSBW","UTIC89","BSBW UTIC89",25,25.2,153,1989153,"",22.6,14.3,13.8,34.7,77.8,12.1,166.98,243.7675,43.1,60.8,330
"6",1989,"BSGY","WSAP89","BSGY WSAP89",26,25.9,125,1989125,"",23.5,12.8,14.9,36.4,81.5,12.9,192.21,252.07,45.1,63.9,448
"7",1989,"GSGY","WSAP89","GSGY WSAP89",26,26.1,125,1989125,"",22.2,13.1,13.8,37.8,78.2,15.6,215.28,254.205,40.4,61.8,438
"8",1989,"WSGY","WSAP89","WSGY WSAP89",26,26,125,1989125,"",23.4,13.8,13.8,37.7,75,14.3,197.34,260.13,37.3,61,403
"9",1989,"YSGY","WSAP89","YSGY WSAP89",26,26.4,125,1989125,"",25.7,15.3,14.5,40,82.8,14.3,207.35,298,42.8,64.8,453
"10",1990,"HS","ALEX90","HS ALEX90",26,25.2,108,1990108,"",21.4,13.7,13.2,32.5,72.1,11.1,146.52,218.5625,39.6,58.6,300
"11",1990,"IR","ALEX90","IR ALEX90",26,24.7,108,1990108,"",22.4,13.8,13.5,34.6,73.8,12.2,164.7,236.145,39.2,57.1,353
"12",1990,"JQ","ALEX90","JQ ALEX90",26,25.4,108,1990108,"",21.2,13.3,13.1,32.5,74.3,11.3,148.03,214.5,41.8,55.8,315
"13",1990,"OK","CEME90","OK CEME90",24,24,125,1990125,"",20.3,12.4,12.2,31.6,69.9,11.3,137.86,194.34,38.3,52.2,215
"14",1990,"PJ","CEME90","PJ CEME90",24,24,125,1990125,"",20.4,12,11,30.7,69.3,10.3,113.3,176.525,38.6,53.5,237
"15",1990,"OL","HART90","OL HART90",28,28,107,1990107,"M",23.5,12.1,14.4,37.8,79.6,14.3,205.92,250.425,41.8,58.9,423
