"","Year","Name","NestName","ID","FieldAge","CalcAge","HatchDateJul","HatchDateJulYear","AllSex","BNT","BW","BD","TEC","Head","UB","UBS","TBS","Skull","Tarsus","Weight"
"1",1990,"HS","ALEX90","HS ALEX90",26,25.2,108,1990108,"",21.4,13.7,13.2,32.5,72.1,11.1,146.52,218.5625,39.6,58.6,300
"2",1990,"NL","CEME90","NL CEME90",24,24,125,1990125,"",19,12.3,11,29.1,66.8,10.1,111.1,169.5075,37.7,49.9,200
"3",1990,"OK","CEME90","OK CEME90",24,24,125,1990125,"",20.3,12.4,12.2,31.6,69.9,11.3,137.86,194.34,38.3,52.2,215
"4",1990,"PJ","CEME90","PJ CEME90",24,24,125,1990125,"",20.4,12,11,30.7,69.3,10.3,113.3,176.525,38.6,53.5,237
"5",1990,"CX","SSAP90","CX SSAP90",25,24.5,103,1990103,"",19.5,13.1,12.7,30.8,71.2,11.3,143.51,198.66,40.4,57.7,300
"6",1990,"XC","UPPA90","XC UPPA90",24,24,118,1990118,"F",17.9,12.6,11.7,31.3,68.7,13.4,156.78,190.1475,37.4,53.9,292
"7",1990,"FU","WAIT90","FU WAIT90",24,24.2,107,1990107,"",19,13,12,31.9,68.1,12.9,154.8,199.375,36.2,47.8,263
"8",1991,"GP","CLOV91","GP CLOV91",24,25.6,120,1991120,"",21.1,14.5,12.3,31.9,72.2,10.8,132.84,213.73,40.3,57.5,282
"9",1991,"KN","FRNO91","KN FRNO91",28,25.2,105,1991105,"",21.1,13.2,12.1,31.8,70.9,10.7,129.47,201.135,39.1,52.4,295
"10",1991,"XA","OVRL91","XA OVRL91",28,26.5,112,1991112,"",21.6,16.1,13,34.8,73.2,13.2,171.6,253.17,38.4,55.5,295
"11",1991,"YX","PAHA91","YX PAHA91",26,24.1,128,1991128,"",19.2,12.6,11.2,30.6,68,11.4,127.68,182.07,37.4,51.4,235
"12",1991,"VA","WINT91","VA WINT91",25,25,124,1991124,"M",22,15.1,13.4,34.9,75.2,12.9,172.86,248.6625,40.3,59,277
"13",1991,"WZ","WINT91","WZ WINT91",25,25,124,1991124,"",20.8,13.2,11.7,32.6,71,11.8,138.06,202.935,38.4,55.3,235
"14",1991,"TC","WPAR91","TC WPAR91",25,25,124,1991124,"",21.5,14.6,13.1,33.3,73.9,11.8,154.58,230.6025,40.6,59,275
"15",1992,"LF","PWOD92","LF PWOD92",26,26,129,1992129,"",17.8,13,11.6,29.6,66.3,11.8,136.88,182.04,36.7,49.2,260
"16",1992,"HM","SSET92","HM SSET92",28,28,111,1992111,"",21.9,12.6,12.4,35.1,74.6,13.2,163.68,219.375,39.5,55.7,300
