Date,Year,Name,NestName,ID,FieldAge,HatchDateJul,HatchDateJulYear,AllSex,CalcAge,BNT,BW,BD,TEC,Head,UB,UBS,TBS,Skull,Tarsus,Weight,MaxC1_11,MaxC12_22,MaxCIncubation,MinC1_11,MinC12_22,MinCIncubation,GDD10CSum1_11,GDD10CSum12_22,GDD10CSumIncubation,PrecipSum1_11,PrecipSum12_22,PrecipSumIncubation,MaxC6_19,MinC6_19,GDD10CSum6_19,PrecipSum6_19,MaxC8_22,MinC8_22,GDD10CSum8_22,PrecipSum8_22,UBSWeightRatio
4/22/1999,1999,L5,STAD99,L5 STAD99,26,112,1999112,,26,19.6,12.3,12.1,32.3,69.8,12.7,153.67,197.03,37.5,53.1,205,14.54545455,20.65656566,11.9005848,-0.909090909,7.171717172,-0.321637427,-35,43.05555556,-80,1.8796,0.8382,3.683,20,5.238095238,36.66666667,0.8382,20.14814815,5.222222222,40.27777778,0.8382,0.749609756
4/25/2000,2000,G4,EKAY00,G4 EKAY00,27,116,2000116,,24.4,19.8,11.9,11.6,29.4,68,9.6,111.36,172.725,38.6,52.1,205,16.26262626,24.09090909,10.87719298,2.727272727,10.65656566,1.228070175,-5.555555556,81.11111111,-75,1.4478,6.9596,7.4676,22.73809524,9.761904762,87.5,7.5692,23.11111111,9.481481481,94.44444444,8.3058,0.543219512
5/4/2005,2005,EN,WKAY05,EN WKAY05,26,124,2005124,F,25.6,17,12.4,10.9,29,67.7,12,130.8,168.925,38.7,45.2,205,17.17171717,16.66666667,15.29239766,2.727272727,4.949494949,1.754385965,-0.555555556,8.888888889,-28.05555556,0.3556,1.3462,4.445,19.08730159,4.047619048,21.94444444,0.762,17.66666667,4.777777778,18.33333333,1.524,0.63804878
4/28/2008,2008,FX,MCUN08,FX MCUN08,25,119,2008119,M,24.2,15.6,11.2,9.2,22.3,61.8,6.7,61.64,113.73,39.5,45.5,205,16.11111111,16.66666667,19.70760234,4.292929293,3.636363636,4.385964912,2.222222222,1.666666667,38.88888889,2.1336,1.6002,4.1656,18.21428571,4.722222222,20.55555556,1.4478,17.40740741,3.740740741,8.611111111,1.8542,0.300682927
4/25/1997,1997,SJ,CEME97,SJ CEME97,25,115,1997115,,25,18.1,10.9,10.6,26,64.3,7.9,83.74,139.75,38.3,43.6,210,16.41414141,15.55555556,9.590643275,1.666666667,4.141414141,-1.34502924,-10.55555556,-1.666666667,-111.6666667,2.2098,2.1336,1.1684,16.26984127,3.80952381,0.555555556,2.794,15.85185185,3.777777778,-2.777777778,2.9718,0.398761905
4/16/2010,2010,B-OSW,HORC10,B-OSW HORC10,24,106,2010106,F,24.2,18.7,11.1,10.6,27.2,66.7,8.5,90.1,147.56,39.5,49.5,212,14.94949495,19.6969697,17.57309942,1.464646465,6.767676768,2.98245614,-19.72222222,35.55555556,5.277777778,2.8194,3.7338,3.8608,17.22222222,4.603174603,12.77777778,3.6322,18,5.259259259,24.44444444,5.2578,0.425
4/20/2014,2014,61,SSAP14,61 SSAP14,24,110,2014110,,24.5,21.3,12.7,12.2,33.6,73.3,12.3,150.1,209.2,39.7,54.8,212,13.18181818,17.52525253,12.51461988,0.909090909,5.656565657,-0.350877193,-32.5,17.5,-74.44444444,1.9558,3.429,4.2418,13.57142857,2.658730159,-26.38888889,2.6416,15.96296296,4.703703704,5,3.937,0.708018868
5/5/1990,1990,OK,CEME90,OK CEME90,24,125,1990125,,24,20.3,12.4,12.2,31.6,69.9,11.3,137.86,194.34,38.3,52.2,215,17.07070707,17.27272727,19.35672515,6.161616162,7.97979798,6.081871345,17.77777778,28.88888889,51.66666667,5.5372,4.9022,4.2418,17.02380952,7.698412698,33.05555556,7.6962,16.62962963,6.962962963,26.94444444,6.6548,0.641209302
4/26/1992,1992,M,WAIT92,M WAIT92,26,117,1992117,,24.5,20.4,11.8,11.9,30.8,70.9,10.4,123.76,182.49,40.1,48.6,215,14.39393939,19.8989899,12.83625731,2.373737374,7.424242424,2.16374269,-17.77777778,40.27777778,-47.5,3.2766,1.143,8.0264,18.57142857,5.555555556,28.88888889,3.2258,18.92592593,6.481481481,40.55555556,3.048,0.575627907
4/23/1993,1993,MO,STAD93,MO STAD93,25,113,1993113,,25,18.3,12.8,11,30.3,67.9,12,132,180.285,37.6,50.8,215,16.51515152,23.03030303,12.01754386,2.97979798,7.222222222,1.34502924,-2.777777778,56.38888889,-63.05555556,3.937,1.7272,17.1196,21.86507937,6.746031746,60.27777778,1.7272,22.88888889,6.888888889,73.33333333,1.7272,0.613953488
4/26/1997,1997,XE,SCEM97,XE SCEM97,24,116,1997116,,24,19.3,12.5,11.3,29.6,68,10.3,116.39,176.12,38.4,52,220,16.76767677,14.64646465,9.093567251,2.424242424,3.888888889,-1.695906433,-4.444444444,-8.055555556,-119.7222222,2.2098,2.1336,1.1684,16.19047619,4.007936508,1.388888889,2.794,14.85185185,3.851851852,-9.722222222,2.8448,0.529045455
4/28/1995,1995,PR,WSAP95,PR WSAP95,26,118,1995118,,26,18.6,11.4,11,30.1,68.5,11.5,126.5,168.56,38.4,49.2,222,15.80808081,17.52525253,12.13450292,2.272727273,7.676767677,0.643274854,-10.55555556,28.61111111,-68.61111111,1.0922,3.1496,3.9878,16.74603175,4.920634921,11.66666667,3.048,17.07407407,6.037037037,23.33333333,3.1496,0.56981982
5/3/2008,2008,BA,BART08,BA BART08,24,124,2008124,M,24.3,18.3,11.7,10.4,30.9,66.8,12.6,131.04,170.7225,35.9,55.7,225,17.72727273,15.15151515,19.29824561,4.393939394,4.191919192,4.298245614,11.66666667,-3.611111111,34.16666667,1.1176,1.8034,4.4958,16.58730159,3.73015873,2.222222222,1.8542,15.51851852,3.703703704,-5.833333333,1.8034,0.5824
