Month,ID,CalcAge,HatchDateJulYear,AllSex,BillDepth,BillWidth,BillNT,TEC,UB,UBS,TBS,Skull,Tarsus,Weight,MaxTempMean1_11,MaxTempMean12_22,MeanMaxTempIncubation,MinTempMean1_11,MinTempMean12_22,MeanMinTempIncubation,GDDSum1_11,GDDSum12_22,GDDSumIncubation,PrecipSum1_11,PrecipSum12_22,PrecipSumIncubation
4,ZA WEGO90,25,1990117,F,13.4,14,21.9,33.1,11.2,150.08,226.735,39.9,54.8,380,20.70707071,18.98989899,14.32748538,7.474747475,8.333333333,2.456140351,96,86,59,2.6162,5.1054,4.3434
4,XC UPPA90,24,1990118,F,11.7,12.6,17.9,31.3,13.4,156.78,190.1475,37.4,53.9,292,19.24242424,18.93939394,15.55555556,7.171717172,8.282828283,3.216374269,79,85,79,2.7432,5.1562,4.3434
4,OH WILG91,25.8,1991118,F,14.5,14.4,23.5,37.3,13.8,200.1,269.4925,41.2,60.8,400,18.38383838,23.43434343,13.71345029,5.757575758,8.232323232,2.719298246,66,121,36,2.159,2.5654,7.2898
5,XY WINT91,25,1991124,F,13.7,13.9,21.3,32.8,11.5,157.55,226.32,40.3,56.8,320,18.68686869,26.16161616,15.38011696,5.909090909,10.80808081,4.18128655,66,173,65,1.397,2.1336,5.8674
4,DQ BROT92,24.9,1992109,F,12.7,14,22.2,34.1,11.9,151.13,227.6175,40.7,61.5,405,14.24242424,15.85858586,8.421052632,5.151515152,3.181818182,-1.871345029,38,22,5,5.2324,2.7432,3.3782
4,FN SEWR92,25,1992117,F,13.1,14.1,21.5,32.8,11.3,148.03,223.04,40.9,58.4,375,14.39393939,19.8989899,12.83625731,2.373737374,7.424242424,2.16374269,17,83,43,3.2766,1.143,8.0264
4,QC HART92,27.2,1992118,F,13,13,23.7,35.8,12.1,157.3,232.7,43.7,59.9,405,14.7979798,20.90909091,12.33918129,2.070707071,8.737373737,1.900584795,17,99,41,2.4638,1.651,7.8994
4,VW WEGO92,27.3,1992119,F,12.4,13.4,24.8,38.8,14,173.6,250.26,40.6,59.1,350,15.65656566,20.75757576,12.57309942,2.525252525,8.484848485,2.105263158,19,97,41,2.4638,1.7018,7.8994
4,PC GENR92,29,1992119,F,13,12.7,23.4,35.2,11.8,153.4,226.16,41.4,57.9,400,15.65656566,20.75757576,12.57309942,2.525252525,8.484848485,2.105263158,19,97,41,2.4638,1.7018,7.8994
5,OC REIS92,26.9,1992127,F,12.8,13,23.9,36.9,13,166.4,238.005,43,59.6,398,19.14141414,20.80808081,15,6.616161616,5.808080808,4.269005848,73,92,55,1.4986,1.5494,7.6962
4,SI KAYS93,27,1993111,F,12.8,12.5,24.6,37.2,12.6,161.28,235.29,42.2,60.5,395,15.70707071,23.28282828,11.8128655,3.282828283,7.373737374,1.228070175,50,112,31,6.7818,1.7272,14.9352
4,TH SWEG93,24,1993116,F,12.1,13.1,21.2,31.8,10.6,128.26,200.34,39.2,56.9,340,19.8989899,22.32323232,13.4502924,6.212121212,5,2.426900585,89,90,41,3.4798,0.3302,19.2532
4,ZB PARP93,25.1,1993117,F,13.1,12.7,19.5,30.7,11.2,146.72,198.015,38.8,55.9,350,19.74747475,21.91919192,12.98245614,6.111111111,4.949494949,2.280701754,86,86,41,1.8796,0.3302,19.4056
5,OA WILG93,26,1993121,F,13.2,13.1,25.1,36,10.9,143.88,236.7,44.4,60,410,22.72727273,18.68686869,14.29824561,7.171717172,4.595959596,2.894736842,105,51,65,1.7272,1.6764,13.6652
5,DK LISH93,26,1993126,F,13.4,12.4,22.4,33.7,11.3,151.42,217.365,40.9,59.2,345,23.08080808,17.67676768,17.01754386,6.212121212,5.353535354,4.795321637,104,47,106,1.5748,1.651,9.271
5,LC LIBE93,26,1993133,F,12.5,12.8,21.4,34.1,12.7,158.75,215.6825,40.6,58.3,335,17.57575758,19.39393939,21.43274854,3.98989899,6.919191919,5.906432749,37,70,161,1.6764,1.524,3.683
5,KD LIBE93,26.8,1993133,F,12,12.7,21.6,32.7,11.1,133.2,201.9225,42.7,61.5,375,17.57575758,19.39393939,21.43274854,3.98989899,6.919191919,5.906432749,37,70,161,1.6764,1.524,3.683
4,BK SPRU94,24.9,1994110,F,12.2,11.7,20.3,31.6,11.3,137.86,188.81,39,59.2,330,17.82828283,14.8989899,12.86549708,3.535353535,2.828282828,1.052631579,60,8,16,1.4986,4.0894,6.858
4,QV HART94,28,1994112,F,11,11.4,22.7,32.2,9.5,104.5,180.32,44.2,60.2,372,17.82828283,15.15151515,12.30994152,4.292929293,2.474747475,0.614035088,60,9,15,3.3782,2.3622,6.858
4,ST HART94,28,1994112,F,12.1,11.9,22.6,33.6,11,133.1,201.6,43.9,60.7,380,17.82828283,15.15151515,12.30994152,4.292929293,2.474747475,0.614035088,60,9,15,3.3782,2.3622,6.858
4,ZM MART94,25.8,1994114,F,13.1,12.8,22.8,35,12.2,159.82,226.625,41.3,60.6,367,18.63636364,15.75757576,12.48538012,5.101010101,2.676767677,0.614035088,60,12,15,3.3782,2.3622,6.2738
4,WO WEGO94,28.7,1994116,F,12.9,12.6,24,34.9,10.9,140.61,222.4875,43.7,61,350,18.28282828,15.3030303,13.88888889,4.696969697,3.686868687,1.666666667,50,18,39,2.9718,3.175,5.2578
5,RS BURL94,25.3,1994128,F,12.2,11.1,21.7,32.2,10.5,128.1,187.565,41,56.3,353,15.15151515,19.39393939,16.66666667,3.535353535,6.060606061,3.421052632,18,75,67,3.6068,1.6002,4.7498
4,VL DART95,27,1995115,F,14.8,14.5,25.2,36.5,11.3,167.24,267.3625,45.8,65,422,15.45454545,16.66666667,9.970760234,2.97979798,5.151515152,-1.052631579,17,43,10,1.1176,3.048,3.2512
4,CE WAHA95,25.1,1995117,F,12.6,13.5,20.9,31.6,10.7,134.82,206.19,43.1,59.8,395,15.85858586,17.52525253,11.08187135,3.131313131,6.767676768,0.116959064,17,61,11,1.0922,3.0988,2.9972
5,IX MUDD95,26.7,1995125,F,14.1,12.9,25,37.2,12.2,172.02,251.1,42.5,61.1,390,16.66666667,20.35353535,14.70760234,5.555555556,7.424242424,2.339181287,47,80,26,3.048,1.397,1.5748
4,MP JSUP97,25.6,1997110,F,13.3,13.1,22.3,35.6,13.3,176.89,234.96,42.4,60.4,390,13.08080808,15.80808081,9.619883041,0.101010101,3.383838384,-1.228070175,1,26,14,1.397,2.5908,1.27
4,J0 JSUP98,26.7,1998106,F,12.8,12.9,23.3,34,10.7,136.96,218.45,41.4,59.1,345,15.50505051,17.12121212,15.20467836,3.333333333,6.818181818,3.625730994,18,78,84,4.6736,2.667,5.2832
4,G7 JSUP98,27.8,1998106,F,13,12.3,24.9,38,13.1,170.3,240.35,41.2,58,358,15.50505051,17.12121212,15.20467836,3.333333333,6.818181818,3.625730994,18,78,84,4.6736,2.667,5.2832
4,H8 JSUP98,27.8,1998106,F,12.7,10.9,24.7,37.6,12.9,163.83,221.84,43,60,370,15.50505051,17.12121212,15.20467836,3.333333333,6.818181818,3.625730994,18,78,84,4.6736,2.667,5.2832
4,K1 JSUP98,27.6,1998106,F,13.3,11.9,25.9,39.5,13.6,180.88,248.85,42.2,58.8,405,15.50505051,17.12121212,15.20467836,3.333333333,6.818181818,3.625730994,18,78,84,4.6736,2.667,5.2832
