Year,Name,NestName,ID,MeasurementDate,MeasurementDateJulYear,FieldAge,CalcAge,CalcAgeInteger,HatchDateJulYear,Sex,BNT,TEC,BW,BD,Head,UB,UBS,TBS,Skull,Tarsus,WingChord,Primary7,TailLength,Weight,Condition
1989,BSWG,ALEX89,BSWG ALEX89,5/18/1989,1989138,26,25.7,26,1989112,,23.2,39,12.9,13.8,80.7,15.8,218.04,260.325,41.7,61,160,105,50,400,0.12
1989,GSWG,ALEX89,GSWG ALEX89,5/18/1989,1989138,26,25.5,26,1989112,,22.2,34,12.2,13.2,75.5,11.8,155.76,215.9,41.5,59.6,160,100,50,350,0.12
1989,WSWG,ALEX89,WSWG ALEX89,5/18/1989,1989138,26,26.1,26,1989112,,23.6,38.1,12.6,13.9,80.3,14.5,201.55,252.4125,42.2,60.2,170,117,52,410,0.12
1989,YSWG,ALEX89,YSWG ALEX89,5/18/1989,1989138,26,25.3,25,1989113,,22,34,12.9,13.2,76.2,12,158.4,221.85,42.2,59,155,93,50,330,0.12
1989,BSBW,UTIC89,BSBW UTIC89,6/27/1989,1989178,25,25.2,25,1989153,,22.6,34.7,14.3,13.8,77.8,12.1,166.98,243.7675,43.1,60.8,154,98,40,330,0.11
1989,BSGY,WSAP89,BSGY WSAP89,5/31/1989,1989151,26,25.9,26,1989125,,23.5,36.4,12.8,14.9,81.5,12.9,192.21,252.07,45.1,63.9,165,113,52,448,0.12
1989,GSGY,WSAP89,GSGY WSAP89,5/31/1989,1989151,26,26.1,26,1989125,,22.2,37.8,13.1,13.8,78.2,15.6,215.28,254.205,40.4,61.8,167,114,57,438,0.12
1989,WSGY,WSAP89,WSGY WSAP89,5/31/1989,1989151,26,26,26,1989125,,23.4,37.7,13.8,13.8,75,14.3,197.34,260.13,37.3,61,171,111,57,403,0.12
1989,YSGY,WSAP89,YSGY WSAP89,5/31/1989,1989151,26,26.4,26,1989125,,25.7,40,15.3,14.5,82.8,14.3,207.35,298,42.8,64.8,171,120,60,453,0.12
1990,HS,ALEX90,HS ALEX90,5/14/1990,1990134,26,26,26,1990108,,21.4,32.5,13.7,13.2,72.1,11.1,146.52,218.5625,39.6,58.6,NA,111,NA,300,0.11
1990,IR,ALEX90,IR ALEX90,5/14/1990,1990134,26,26,26,1990108,,22.4,34.6,13.8,13.5,73.8,12.2,164.7,236.145,39.2,57.1,NA,95,NA,353,0.12
1990,JQ,ALEX90,JQ ALEX90,5/14/1990,1990134,26,26,26,1990108,,21.2,32.5,13.3,13.1,74.3,11.3,148.03,214.5,41.8,55.8,NA,118,NA,315,0.12
1990,NL,CEME90,NL CEME90,6/2/1990,1990153,28,24.7,25,1990128,,19.4,30.5,11.8,11,70.2,11.1,122.1,173.85,39.7,51,131,82,34,230,0.12
1990,OK,CEME90,OK CEME90,6/2/1990,1990153,28,25.1,25,1990128,,21.3,33.8,12,12.3,72,12.5,153.75,205.335,38.2,53.8,150,92,42,235,0.11
1990,PJ,CEME90,PJ CEME90,6/2/1990,1990153,28,25,25,1990128,,21.9,33.7,12.1,11.6,72.5,11.8,136.88,199.6725,38.8,53,143,92,35,280,0.12
1990,OL,HART90,OL HART90,5/15/1990,1990135,28,26.9,27,1990108,M,23.5,37.8,12.1,14.4,79.6,14.3,205.92,250.425,41.8,58.9,NA,122,71,423,0.13
1990,PK,HART90,PK HART90,5/15/1990,1990135,28,27.4,27,1990108,M,23.3,36.2,13.7,13.3,79.4,12.9,171.57,244.35,43.2,62.8,NA,129,79,430,0.12
1990,QJ,HART90,QJ HART90,5/15/1990,1990135,28,26.5,27,1990108,,24.4,37.4,13.1,13.3,79.1,13,172.9,246.84,41.7,59.6,NA,119,65,400,0.12
