"Date","HatchDateJulYear","Year","NestName","ID","FieldAge","AllSex","CalcAge","BNT","BW","BD","TEC","UB","UBS","TBS","Skull","Tarsus","Weight","Head","WingChord","Primary7","TailLength","MaxC1_11","MaxC12_22","MaxCIncubation","MinC1_11","MinC12_22","MinCIncubation","GDD10CSum1_11","GDD10CSum12_22","GDD10CSumIncubation","PrecipSum1_11","PrecipSum12_22","PrecipSumIncubation","MaxC6_19","MinC6_19","GDD10CSum6_19","PrecipSum6_19","MaxC8_22","MinC8_22","GDD10CSum8_22","PrecipSum8_22"
"4/22/1989",1989112,1989,"ALEX89","BSWG ALEX89",26,"",25.7,23.2,12.9,13.8,39,15.8,218.04,260.325,41.7,61,400,80.7,160,105,50,13.08080808,11.81818182,10.52631579,0.303030303,4.949494949,-0.292397661,-36.38888889,-17.77777778,-92.77777778,3.048,9.0932,2.2606,13.69047619,3.928571429,-16.66666667,6.9596,12.85185185,5.185185185,-14.72222222,12.1412
"4/22/1989",1989112,1989,"ALEX89","GSWG ALEX89",26,"",25.5,22.2,12.2,13.2,34,11.8,155.76,215.9,41.5,59.6,350,75.5,160,100,50,13.08080808,11.81818182,10.52631579,0.303030303,4.949494949,-0.292397661,-36.38888889,-17.77777778,-92.77777778,3.048,9.0932,2.2606,13.69047619,3.928571429,-16.66666667,6.9596,12.85185185,5.185185185,-14.72222222,12.1412
"4/22/1989",1989112,1989,"ALEX89","WSWG ALEX89",26,"",26.1,23.6,12.6,13.9,38.1,14.5,201.55,252.4125,42.2,60.2,410,80.3,170,117,52,13.08080808,11.81818182,10.52631579,0.303030303,4.949494949,-0.292397661,-36.38888889,-17.77777778,-92.77777778,3.048,9.0932,2.2606,13.69047619,3.928571429,-16.66666667,6.9596,12.85185185,5.185185185,-14.72222222,12.1412
"4/22/1989",1989112,1989,"ALEX89","YSWG ALEX89",26,"",25.3,22,12.9,13.2,34,12,158.4,221.85,42.2,59,330,76.2,155,93,50,13.08080808,11.81818182,10.52631579,0.303030303,4.949494949,-0.292397661,-36.38888889,-17.77777778,-92.77777778,3.048,9.0932,2.2606,13.69047619,3.928571429,-16.66666667,6.9596,12.85185185,5.185185185,-14.72222222,12.1412
"5/5/1989",1989125,1989,"WSAP89","BSGY WSAP89",26,"",25.9,23.5,12.8,14.9,36.4,12.9,192.21,252.07,45.1,63.9,448,81.5,165,113,52,13.23232323,23.43434343,13.07017544,5.505050505,10.15151515,0.935672515,-6.944444444,74.72222222,-56.94444444,9.0678,3.8862,3.6322,20.03968254,8.571428571,60.27777778,7.9248,20.92592593,9.074074074,75,4.5212
"5/5/1989",1989125,1989,"WSAP89","GSGY WSAP89",26,"",26.1,22.2,13.1,13.8,37.8,15.6,215.28,254.205,40.4,61.8,438,78.2,167,114,57,13.23232323,23.43434343,13.07017544,5.505050505,10.15151515,0.935672515,-6.944444444,74.72222222,-56.94444444,9.0678,3.8862,3.6322,20.03968254,8.571428571,60.27777778,7.9248,20.92592593,9.074074074,75,4.5212
"5/5/1989",1989125,1989,"WSAP89","WSGY WSAP89",26,"",26,23.4,13.8,13.8,37.7,14.3,197.34,260.13,37.3,61,403,75,171,111,57,13.23232323,23.43434343,13.07017544,5.505050505,10.15151515,0.935672515,-6.944444444,74.72222222,-56.94444444,9.0678,3.8862,3.6322,20.03968254,8.571428571,60.27777778,7.9248,20.92592593,9.074074074,75,4.5212
"5/5/1989",1989125,1989,"WSAP89","YSGY WSAP89",26,"",26.4,25.7,15.3,14.5,40,14.3,207.35,298,42.8,64.8,453,82.8,171,120,60,13.23232323,23.43434343,13.07017544,5.505050505,10.15151515,0.935672515,-6.944444444,74.72222222,-56.94444444,9.0678,3.8862,3.6322,20.03968254,8.571428571,60.27777778,7.9248,20.92592593,9.074074074,75,4.5212
"6/2/1989",1989153,1989,"UTIC89","BSBW UTIC89",25,"",25.2,22.6,14.3,13.8,34.7,12.1,166.98,243.7675,43.1,60.8,330,77.8,154,98,40,23.03030303,22.97979798,23.2748538,12.57575758,15.2020202,10.1754386,85.83333333,100,127.7777778,4.5974,6.2484,6.5786,21.86507937,12.97619048,103.8888889,5.5626,22.74074074,14.2962963,127.7777778,6.6548
"4/13/1990",1990103,1990,"SSAP90","AZ SSAP90",25,"",24.9,21.4,12.9,12.6,33.5,12.1,152.46,213.5625,39.5,59,365,73,0,103,0,11.91919192,23.28282828,6.666666667,1.212121212,8.484848485,-1.783625731,-37.77777778,64.72222222,-143.6111111,1.3208,0.7112,7.7978,20.43650794,6.825396825,50.83333333,2.0066,21.25925926,7.185185185,63.33333333,1.778
"4/13/1990",1990103,1990,"SSAP90","BY SSAP90",25,"",24.8,21.2,14.1,13.2,34.7,13.5,178.2,236.8275,39.5,62,368,74.2,0,99,0,11.91919192,23.28282828,6.666666667,1.212121212,8.484848485,-1.783625731,-37.77777778,64.72222222,-143.6111111,1.3208,0.7112,7.7978,20.43650794,6.825396825,50.83333333,2.0066,21.25925926,7.185185185,63.33333333,1.778
"4/13/1990",1990103,1990,"SSAP90","CX SSAP90",25,"",24.5,19.5,13.1,12.7,30.8,11.3,143.51,198.66,40.4,57.7,300,71.2,0,88,0,11.91919192,23.28282828,6.666666667,1.212121212,8.484848485,-1.783625731,-37.77777778,64.72222222,-143.6111111,1.3208,0.7112,7.7978,20.43650794,6.825396825,50.83333333,2.0066,21.25925926,7.185185185,63.33333333,1.778
"4/13/1990",1990103,1990,"SSAP90","DW SSAP90",25,"",24.3,20.5,14.7,12.7,32.4,11.9,151.13,221.94,39.9,58.7,340,72.3,0,79,0,11.91919192,23.28282828,6.666666667,1.212121212,8.484848485,-1.783625731,-37.77777778,64.72222222,-143.6111111,1.3208,0.7112,7.7978,20.43650794,6.825396825,50.83333333,2.0066,21.25925926,7.185185185,63.33333333,1.778
"4/17/1990",1990107,1990,"WAIT90","EV WAIT90",24,"",24.7,20.6,11.9,13.5,34.2,13.6,183.6,217.17,35.9,53.7,348,70.1,0,94,0,17.82828283,19.24242424,8.391812865,4.595959596,7.171717172,0.233918129,13.33333333,35.27777778,-108.0555556,2.0066,2.7432,7.7724,21.66666667,7.698412698,65.55555556,2.9718,20.96296296,7.703703704,65,3.4544
"4/17/1990",1990107,1990,"WAIT90","GT WAIT90",24,"",24.5,21.5,13.1,13.3,33,11.5,152.95,217.8,40.6,51.4,328,73.6,0,88,0,17.82828283,19.24242424,8.391812865,4.595959596,7.171717172,0.233918129,13.33333333,35.27777778,-108.0555556,2.0066,2.7432,7.7724,21.66666667,7.698412698,65.55555556,2.9718,20.96296296,7.703703704,65,3.4544
"4/17/1990",1990107,1990,"STAT90","KP STAT90",28,"",28,25.2,14.5,14.7,38.1,12.9,189.63,278.13,44.3,61.7,460,82.4,NA,125,75,17.82828283,19.24242424,8.391812865,4.595959596,7.171717172,0.233918129,13.33333333,35.27777778,-108.0555556,2.0066,2.7432,7.7724,21.66666667,7.698412698,65.55555556,2.9718,20.96296296,7.703703704,65,3.4544
"4/17/1990",1990107,1990,"STAT90","LO STAT90",28,"",28,25.1,14.2,14.4,37.3,12.2,175.68,266.695,43.9,59,415,81.2,NA,135,82,17.82828283,19.24242424,8.391812865,4.595959596,7.171717172,0.233918129,13.33333333,35.27777778,-108.0555556,2.0066,2.7432,7.7724,21.66666667,7.698412698,65.55555556,2.9718,20.96296296,7.703703704,65,3.4544
"4/17/1990",1990107,1990,"STAT90","MN STAT90",28,"",28,23.9,13.8,13.5,36.4,12.5,168.75,248.43,41.7,58.9,385,78.1,NA,129,77,17.82828283,19.24242424,8.391812865,4.595959596,7.171717172,0.233918129,13.33333333,35.27777778,-108.0555556,2.0066,2.7432,7.7724,21.66666667,7.698412698,65.55555556,2.9718,20.96296296,7.703703704,65,3.4544
