Year,Name,NestName,ID,Sex,MeasurementDate,MeasurementDateJulYear,HatchDate,HatchDateJulYear,FieldAge,CalcAgeInteger,CalcAge,BNT,TEC,BW,BD,Head,UB,UBS,TBS,Skull,Tarsus,WingChord,Primary7,TailLength,Weight,MaxC1_11,MaxC12_22,MaxCIncubation,MinC1_11,MinC12_22,MinCIncubation,GDD10CSum1_11,GDD10CSum12_22,GDD10CSumIncubation,PrecipSum1_11,PrecipSum12_22,PrecipSumIncubation,MaxC6_19,MinC6_19,GDD10CSum6_19,PrecipSum6_19,MaxC8_22,MinC8_22,GDD10CSum8_22,PrecipSum8_22
1989,BSWG,ALEX89,BSWG ALEX89,U,5/18/1989,1989138,4/22/1989,1989112,26,26,25.7,23.2,39,12.9,13.8,80.7,15.8,218.04,260.325,41.7,61,160,105,50,400,13.08080808,11.81818182,10.52631579,0.303030303,4.949494949,-0.292397661,-36.38888889,-17.77777778,-92.77777778,3.048,9.0932,2.2606,13.69047619,3.928571429,-16.66666667,6.9596,12.85185185,5.185185185,-14.72222222,12.1412
1989,GSWG,ALEX89,GSWG ALEX89,U,5/18/1989,1989138,4/22/1989,1989112,26,26,25.5,22.2,34,12.2,13.2,75.5,11.8,155.76,215.9,41.5,59.6,160,100,50,350,13.08080808,11.81818182,10.52631579,0.303030303,4.949494949,-0.292397661,-36.38888889,-17.77777778,-92.77777778,3.048,9.0932,2.2606,13.69047619,3.928571429,-16.66666667,6.9596,12.85185185,5.185185185,-14.72222222,12.1412
1989,WSWG,ALEX89,WSWG ALEX89,U,5/18/1989,1989138,4/22/1989,1989112,26,26,26.1,23.6,38.1,12.6,13.9,80.3,14.5,201.55,252.4125,42.2,60.2,170,117,52,410,13.08080808,11.81818182,10.52631579,0.303030303,4.949494949,-0.292397661,-36.38888889,-17.77777778,-92.77777778,3.048,9.0932,2.2606,13.69047619,3.928571429,-16.66666667,6.9596,12.85185185,5.185185185,-14.72222222,12.1412
1989,YSWG,ALEX89,YSWG ALEX89,U,5/18/1989,1989138,4/23/1989,1989113,26,25,25.3,22,34,12.9,13.2,76.2,12,158.4,221.85,42.2,59,155,93,50,330,12.67676768,12.57575758,10.20467836,1.262626263,4.898989899,-0.701754386,-33.33333333,-13.88888889,-99.72222222,3.0734,9.0678,1.905,13.25396825,4.365079365,-16.66666667,11.5062,13.14814815,5.296296296,-11.66666667,12.1412
1989,BSBW,UTIC89,BSBW UTIC89,U,6/27/1989,1989178,6/2/1989,1989153,25,25,25.2,22.6,34.7,14.3,13.8,77.8,12.1,166.98,243.7675,43.1,60.8,154,98,40,330,23.03030303,22.97979798,23.2748538,12.57575758,15.2020202,10.1754386,85.83333333,100,127.7777778,4.5974,6.2484,6.5786,21.86507937,12.97619048,103.8888889,5.5626,22.74074074,14.2962963,127.7777778,6.6548
1989,BSGY,WSAP89,BSGY WSAP89,U,5/31/1989,1989151,5/5/1989,1989125,26,26,25.9,23.5,36.4,12.8,14.9,81.5,12.9,192.21,252.07,45.1,63.9,165,113,52,448,13.23232323,23.43434343,13.07017544,5.505050505,10.15151515,0.935672515,-6.944444444,74.72222222,-56.94444444,9.0678,3.8862,3.6322,20.03968254,8.571428571,60.27777778,7.9248,20.92592593,9.074074074,75,4.5212
1989,GSGY,WSAP89,GSGY WSAP89,U,5/31/1989,1989151,5/5/1989,1989125,26,26,26.1,22.2,37.8,13.1,13.8,78.2,15.6,215.28,254.205,40.4,61.8,167,114,57,438,13.23232323,23.43434343,13.07017544,5.505050505,10.15151515,0.935672515,-6.944444444,74.72222222,-56.94444444,9.0678,3.8862,3.6322,20.03968254,8.571428571,60.27777778,7.9248,20.92592593,9.074074074,75,4.5212
1989,WSGY,WSAP89,WSGY WSAP89,U,5/31/1989,1989151,5/5/1989,1989125,26,26,26,23.4,37.7,13.8,13.8,75,14.3,197.34,260.13,37.3,61,171,111,57,403,13.23232323,23.43434343,13.07017544,5.505050505,10.15151515,0.935672515,-6.944444444,74.72222222,-56.94444444,9.0678,3.8862,3.6322,20.03968254,8.571428571,60.27777778,7.9248,20.92592593,9.074074074,75,4.5212
1989,YSGY,WSAP89,YSGY WSAP89,U,5/31/1989,1989151,5/5/1989,1989125,26,26,26.4,25.7,40,15.3,14.5,82.8,14.3,207.35,298,42.8,64.8,171,120,60,453,13.23232323,23.43434343,13.07017544,5.505050505,10.15151515,0.935672515,-6.944444444,74.72222222,-56.94444444,9.0678,3.8862,3.6322,20.03968254,8.571428571,60.27777778,7.9248,20.92592593,9.074074074,75,4.5212
1990,HS,ALEX90,HS ALEX90,U,5/14/1990,1990134,4/18/1990,1990108,26,26,26,21.4,32.5,13.7,13.2,72.1,11.1,146.52,218.5625,39.6,58.6,NA,111,NA,300,19.24242424,18.88888889,8.391812865,5.252525253,7.070707071,0.233918129,24.72222222,32.77777778,-108.0555556,2.0066,2.7432,7.8994,21.9047619,7.777777778,67.77777778,2.9464,21.37037037,8.259259259,72.22222222,3.4544
