,Obs,Year,Name,NestName,ID,BandNumber,BandDate,BandDateJul,MeasurementDate,MeasurementDateJulYear,MeasurementDateJul,AgeField,CalcAge,CalcAgeInteger,HatchDate,HatchDateJul,HatchDateJulYear,AllSex,BillNT,TEC,BillWidth,BillDepth,Head,UpperBill,UBillSurface,TotBillSurface,Skull,Tarsus,WingChord,Primary7,TailLength,Weight,Condition
1,47,1990,NL,CEME90,NL CEME90,695-20460,5/29/1990,149,5/29/1990,1990149,149,24,24,24,5/5/1990,125,1990125,,19,29.1,12.3,11,66.8,10.1,111.1,169.5075,37.7,49.9,109,60,20,200,0.12
2,48,1990,OK,CEME90,OK CEME90,695-20461,5/29/1990,149,5/29/1990,1990149,149,24,24,24,5/5/1990,125,1990125,,20.3,31.6,12.4,12.2,69.9,11.3,137.86,194.34,38.3,52.2,131,74,30,215,0.11
3,49,1990,PJ,CEME90,PJ CEME90,695-20462,5/29/1990,149,5/29/1990,1990149,149,24,24,24,5/5/1990,125,1990125,,20.4,30.7,12,11,69.3,10.3,113.3,176.525,38.6,53.5,117,68,22,237,0.12
4,50,1990,NL,CEME90,NL CEME90,695-20460,6/2/1990,153,6/2/1990,1990153,153,28,28,28,5/5/1990,125,1990125,,19.4,30.5,11.8,11,70.2,11.1,122.1,173.85,39.7,51,131,82,34,230,0.12
5,51,1990,OK,CEME90,OK CEME90,695-20461,6/2/1990,153,6/2/1990,1990153,153,28,28,28,5/5/1990,125,1990125,,21.3,33.8,12,12.3,72,12.5,153.75,205.335,38.2,53.8,150,92,42,235,0.11
6,52,1990,PJ,CEME90,PJ CEME90,695-20462,6/2/1990,153,6/2/1990,1990153,153,28,28,28,5/5/1990,125,1990125,,21.9,33.7,12.1,11.6,72.5,11.8,136.88,199.6725,38.8,53,143,92,35,280,0.12
7,660,1998,C4,NDYC98,C4 NDYC98,925-62399,5/20/1998,140,5/20/1998,1998140,140,25,25.5,26,4/25/1998,115,1998115,,22,31.3,12.1,12.4,70,9.3,115.32,191.7125,38.7,57.2,156,100,50,335,0.12
8,661,1998,D5,NDYC98,D5 NDYC98,925-62400,5/20/1998,140,5/20/1998,1998140,140,25,25.5,26,4/25/1998,115,1998115,,24.5,35.3,12.6,12.3,77,10.8,132.84,219.7425,41.7,59.7,155,100,50,367,0.12
9,662,1998,F7,NDYC98,F7 NDYC98,805-08901,5/20/1998,140,5/20/1998,1998140,140,25,25.1,25,4/25/1998,115,1998115,,21.6,32.6,12.8,12,71.2,11,132,202.12,38.6,57.8,147,91,45,335,0.12
10,663,1998,E6,NDYC98,E6 NDYC98,805-08902,5/20/1998,140,5/20/1998,1998140,140,25,24.5,24,4/25/1998,115,1998115,,21.6,33.3,12.4,12.2,72.4,11.7,142.74,204.795,39.1,58.4,132,74,31,300,0.11
11,664,1998,G8,NDYC98,G8 NDYC98,805-08903,5/20/1998,140,5/20/1998,1998140,140,25,24.3,24,4/25/1998,115,1998115,,20.4,32.3,12,12,69,11.9,142.8,193.8,36.7,55.9,120,69,24,280,0.12
12,675,1998,D5,NDYC98,D5 NDYC98,925-62400,5/25/1998,145,5/25/1998,1998145,145,30,27.4,27,4/25/1998,115,1998115,,25.2,38,12.8,12.8,79.8,12.8,163.84,243.2,41.8,60.2,186,129,78,380,0.12
13,676,1998,C4,NDYC98,C4 NDYC98,925-62399,5/25/1998,145,5/25/1998,1998145,145,30,27.3,27,4/25/1998,115,1998115,,23.1,33.4,11.8,12,73.1,10.3,123.6,198.73,39.7,57.1,194,128,77,345,0.12
14,677,1998,E6,NDYC98,E6 NDYC98,805-08902,5/25/1998,145,5/25/1998,1998145,145,30,25.6,26,4/25/1998,115,1998115,,23.1,35.4,12.2,12,74.9,12.3,147.6,214.17,39.5,59.7,158,103,50,330,0.12
15,678,1998,F7,NDYC98,F7 NDYC98,805-08901,5/25/1998,145,5/25/1998,1998145,145,30,26.9,27,4/25/1998,115,1998115,,23.2,35.1,13.3,12.2,74,11.9,145.18,223.7625,38.9,57.8,183,123,71,345,0.12
16,679,1998,G8,NDYC98,G8 NDYC98,805-08903,5/25/1998,145,5/25/1998,1998145,145,30,25.4,25,4/25/1998,115,1998115,,22.2,32.6,12,12.3,73,10.4,127.92,198.045,40.4,57.4,155,99,46,295,0.12
17,792,2000,T6,YFER00,T6 YFER00,,,136,5/15/2000,2000136,136,24,24,24,4/21/2000,112,2000112,,20.3,33.2,13.8,13.1,70.7,12.9,168.99,223.27,37.5,58.7,116,52,26,350,0.12
18,793,2000,U7,YFER00,U7 YFER00,,,136,5/15/2000,2000136,136,24,24.4,24,4/21/2000,112,2000112,,22.4,35,14,13.9,76.1,12.6,175.14,244.125,41.1,57.4,127,74,24,425,0.13
19,794,2000,V8,YFER00,V8 YFER00,,,136,5/15/2000,2000136,136,24,24.4,24,4/21/2000,112,2000112,,22.6,34,14.2,12.9,73.8,11.4,147.06,230.35,39.8,59.2,122,70,33,385,0.12
20,795,2000,W9,YFER00,W9 YFER00,,,136,5/15/2000,2000136,136,24,25,25,4/21/2000,112,2000112,,23.3,36.2,12.9,12.8,76.2,12.9,165.12,232.585,40,61.9,148,86,45,443,0.12
21,796,2000,X0,YFER00,X0 YFER00,,,136,5/15/2000,2000136,136,24,23.7,24,4/21/2000,112,2000112,,18.6,30.1,13,11.5,66.1,11.5,132.25,184.3625,36,52.4,77,36,6,247,0.12
22,802,2000,T6,YFER00,T6 YFER00,835-99536,5/17/2000,138,5/17/2000,2000138,138,26,24.5,25,4/21/2000,112,2000112,,21.3,34.4,12.8,13.1,73.6,13.1,171.61,222.74,39.2,59.6,131,77,30,385,0.12
23,803,2000,U7,YFER00,U7 YFER00,835-99537,5/17/2000,138,5/17/2000,2000138,138,26,24.9,25,4/21/2000,112,2000112,,22.8,35.9,14.1,13.9,77.7,13.1,182.09,251.3,41.8,60.9,146,90,33,445,0.13
24,804,2000,V8,YFER00,V8 YFER00,835-99538,5/17/2000,138,5/17/2000,2000138,138,26,25,25,4/21/2000,112,2000112,,23.6,34.4,13.1,13.7,74.6,10.8,147.96,230.48,40.2,60.2,144,86,45,393,0.12
25,805,2000,W9,YFER00,W9 YFER00,835-99539,5/17/2000,138,5/17/2000,2000138,138,26,25.7,26,4/21/2000,112,2000112,,24.2,35.6,12.7,13,79.3,11.4,148.2,228.73,43.7,62.6,164,102,55,425,0.12
26,806,2000,X0,YFER00,X0 YFER00,835-99540,5/17/2000,138,5/17/2000,2000138,138,26,23.8,24,4/21/2000,112,2000112,,19.6,30.7,13.3,11.9,68.8,11.1,132.09,193.41,38.1,53.8,103,45,11,280,0.12
27,1091,2004,42,ROWA04,42 ROWA04,915-51317,5/20/2004,141,5/20/2004,2004141,141,24,25.1,25,4/26/2004,117,2004117,F,23.2,34.1,13.5,12.5,74.2,10.9,136.25,221.65,40.1,58.5,152,92,44,358,0.12
28,1092,2004,53,ROWA04,53 ROWA04,915-51318,5/20/2004,141,5/20/2004,2004141,141,24,25.6,26,4/26/2004,117,2004117,F,23.3,34.1,13.4,13.6,74.5,10.8,146.88,230.175,40.4,59.4,159,101,53,357,0.12
29,1093,2004,64,ROWA04,64 ROWA04,915-51319,5/20/2004,141,5/20/2004,2004141,141,24,25.5,25,4/26/2004,117,2004117,F,22.4,32.3,13.3,13,73.5,9.9,128.7,212.3725,41.2,60.1,152,95,53,342,0.12
