"","Obs","Year","Month","Day","Name","NestName","ID","BandNumber","BandDate","BandDateJul","MeasurementDate","MeasurementDateJulYear","MeasurementDateJul","AgeField","CalcAge","CalcAgeInteger","HatchDate","HatchDateJul","HatchDateJulYear","AllSex","BillNT","TEC","BillWidth","BillDepth","Head","UpperBill","UBillSurface","TotBillSurface","Skull","Tarsus","WingChord","Primary7","TailLength","Weight","Condition","MaxTempMean1_11","MaxTempMean12_22","MeanMaxTempIncubation","MinTempMean1_11","MinTempMean12_22","MeanMinTempIncubation","PrecipSum1_11","PrecipSum12_22","PrecipSumIncubation","GDDSum1_11","GDDSum12_22","GDDSumIncubation","CDDSum1_11","CDDSum12_22","CDDSumIncubation"
"1",35,1990,4,27,"ZA","WEGO90","ZA WEGO90","695-20446","5/22/1990",142,"5/22/1990",1990142,142,25,25,25,"4/27/1990",117,1990117,"F",21.9,"33.1",14,13.4,73,"11.2","150.08","226.735","39.9",54.8,139,84,41,380,"0.13",20.70707071,18.98989899,14.32748538,7.474747475,8.333333333,2.456140351,2.6162,5.1054,4.3434,96,86,59,19,4,7
"2",38,1990,4,28,"XC","UPPA90","XC UPPA90","695-20444","5/22/1990",142,"5/22/1990",1990142,142,24,24,24,"4/28/1990",118,1990118,"F",17.9,"31.3",12.6,11.7,68.7,"13.4","156.78","190.1475","37.4",53.9,125,66,19,292,"0.12",19.24242424,18.93939394,15.55555556,7.171717172,8.282828283,3.216374269,2.7432,5.1562,4.3434,79,85,79,16,4,12
"3",64,1991,4,21,"ML","LOWL91","ML LOWL91","695-20478","5/15/1991",135,"5/15/1991",1991135,135,24,25.5,26,"4/21/1991",111,1991111,"F",22.3,"35.6",14.6,15.4,74.8,"13.3","204.82","267","39.2",60.5,153,96,55,367,"0.12",16.26262626,16.81818182,15.02923977,4.898989899,4.797979798,3.713450292,5.6388,1.4224,4.3688,54,41,74,0,0,8
"4",118,1991,4,28,"OH","WILG91","OH WILG91","695-73532","5/28/1991",148,"5/28/1991",1991148,148,30,25.8,26,"4/28/1991",118,1991118,"F",23.5,"37.3",14.4,14.5,78.5,"13.8","200.1","269.4925","41.2",60.8,169,105,57,400,"0.12",18.38383838,23.43434343,13.71345029,5.757575758,8.232323232,2.719298246,2.159,2.5654,7.2898,66,121,36,0,17,0
"5",127,1991,5,4,"XY","WINT91","XY WINT91","695-73540","5/29/1991",149,"5/29/1991",1991149,149,25,25,25,"5/4/1991",124,1991124,"F",21.3,"32.8",13.9,13.7,73.1,"11.5","157.55","226.32","40.3",56.8,156,104,47,320,"0.12",18.68686869,26.16161616,15.38011696,5.909090909,10.80808081,4.18128655,1.397,2.1336,5.8674,66,173,65,6,40,0
"6",143,1992,4,18,"DQ","BROT92","DQ BROT92","695-73561","5/12/1992",133,"5/12/1992",1992133,133,24,24.9,25,"4/18/1992",109,1992109,"F",22.2,"34.1",14,12.7,74.8,"11.9","151.13","227.6175","40.7",61.5,143,87,40,405,"0.12",14.24242424,15.85858586,8.421052632,5.151515152,3.181818182,-1.871345029,5.2324,2.7432,3.3782,38,22,5,1,0,0
"7",171,1992,4,26,"FN","SEWR92","FN SEWR92","695-73582","5/21/1992",142,"5/21/1992",1992142,142,25,25,25,"4/26/1992",117,1992117,"F",21.5,"32.8",14.1,13.1,73.7,"11.3","148.03","223.04","40.9",58.4,156,96,47,375,"0.12",14.39393939,19.8989899,12.83625731,2.373737374,7.424242424,2.16374269,3.2766,1.143,8.0264,17,83,43,0,2,1
"8",183,1992,4,27,"QC","HART92","QC HART92","695-73593","5/25/1992",146,"5/25/1992",1992146,146,28,27.2,27,"4/27/1992",118,1992118,"F",23.7,"35.8",13,13,79.5,"12.1","157.3","232.7","43.7",59.9,181,125,77,405,"0.12",14.7979798,20.90909091,12.33918129,2.070707071,8.737373737,1.900584795,2.4638,1.651,7.8994,17,99,41,0,3,1
"9",214,1992,4,28,"VW","WEGO92","VW WEGO92","685-80324","5/27/1992",148,"5/27/1992",1992148,148,29,27.3,27,"4/28/1992",119,1992119,"F",24.8,"38.8",13.4,12.4,79.4,"14","173.6","250.26","40.6",59.1,193,123,80,350,"0.12",15.65656566,20.75757576,12.57309942,2.525252525,8.484848485,2.105263158,2.4638,1.7018,7.8994,19,97,41,0,3,1
"10",208,1992,4,28,"PC","GENR92","PC GENR92","685-80318","5/27/1992",148,"5/27/1992",1992148,148,29,29,29,"4/28/1992",119,1992119,"F",23.4,"35.2",12.7,13,76.6,"11.8","153.4","226.16","41.4",57.9,198,133,87,400,"0.13",15.65656566,20.75757576,12.57309942,2.525252525,8.484848485,2.105263158,2.4638,1.7018,7.8994,19,97,41,0,3,1
"11",232,1992,5,6,"OC","REIS92","OC REIS92","685-80343","6/3/1992",155,"6/3/1992",1992155,155,28,26.9,27,"5/6/1992",127,1992127,"F",23.9,"36.9",13,12.8,79.9,"13","166.4","238.005","43",59.6,189,125,68,398,"0.12",19.14141414,20.80808081,15,6.616161616,5.808080808,4.269005848,1.4986,1.5494,7.6962,73,92,55,2,4,1
"12",252,1993,4,21,"SI","KAYS93","SI KAYS93","685-80367","5/20/1993",140,"5/20/1993",1993140,140,29,27,27,"4/21/1993",111,1993111,"F",24.6,"37.2",12.5,12.8,79.4,"12.6","161.28","235.29","42.2",60.5,182,124,73,395,"0.12",15.70707071,23.28282828,11.8128655,3.282828283,7.373737374,1.228070175,6.7818,1.7272,14.9352,50,112,31,0,4,0
"13",253,1993,4,26,"TH","SWEG93","TH SWEG93","685-80368","5/20/1993",140,"5/20/1993",1993140,140,24,24,24,"4/26/1993",116,1993116,"F",21.2,"31.8",13.1,12.1,71,"10.6","128.26","200.34","39.2",56.9,146,90,48,340,"0.12",19.8989899,22.32323232,13.4502924,6.212121212,5,2.426900585,3.4798,0.3302,19.2532,89,90,41,0,4,0
"14",258,1993,4,27,"ZB","PARP93","ZB PARP93","685-80374","5/21/1993",141,"5/21/1993",1993141,141,24,25.1,25,"4/27/1993",117,1993117,"F",19.5,"30.7",12.7,13.1,69.5,"11.2","146.72","198.015","38.8",55.9,145,88,45,350,"0.13",19.74747475,21.91919192,12.98245614,6.111111111,4.949494949,2.280701754,1.8796,0.3302,19.4056,86,86,41,0,4,0
"15",289,1993,5,1,"OA","WILG93","OA WILG93","685-80405","5/27/1993",147,"5/27/1993",1993147,147,26,26,26,"5/1/1993",121,1993121,"F",25.1,"36",13.1,13.2,80.4,"10.9","143.88","236.7","44.4",60,187,128,75,410,"0.12",22.72727273,18.68686869,14.29824561,7.171717172,4.595959596,2.894736842,1.7272,1.6764,13.6652,105,51,65,4,0,0
