Obs,Year,Month,Day,Name,NestName,ID,BandNumber,BandDate,BandDateJul,MeasurementDate,MeasurementDateJulYear,MeasurementDateJul,AgeField,CalcAge,CalcAgeInteger,HatchDate,HatchDateJul,HatchDateJulYear,AllSex,BillNT,TEC,BillWidth,BillDepth,Head,UpperBill,UBillSurface,TotBillSurface,Skull,Tarsus,WingChord,Primary7,TailLength,Weight,Condition
35,1990,4,27,ZA,WEGO90,ZA WEGO90,695-20446,5/22/1990,142,5/22/1990,1990142,142,25,25,25,4/27/1990,117,1990117,F,21.9,33.1,14,13.4,73,11.2,150.08,226.735,39.9,54.8,139,84,41,380,0.13
38,1990,4,28,XC,UPPA90,XC UPPA90,695-20444,5/22/1990,142,5/22/1990,1990142,142,24,24,24,4/28/1990,118,1990118,F,17.9,31.3,12.6,11.7,68.7,13.4,156.78,190.1475,37.4,53.9,125,66,19,292,0.12
64,1991,4,21,ML,LOWL91,ML LOWL91,695-20478,5/15/1991,135,5/15/1991,1991135,135,24,25.5,26,4/21/1991,111,1991111,F,22.3,35.6,14.6,15.4,74.8,13.3,204.82,267,39.2,60.5,153,96,55,367,0.12
118,1991,4,28,OH,WILG91,OH WILG91,695-73532,5/28/1991,148,5/28/1991,1991148,148,30,25.8,26,4/28/1991,118,1991118,F,23.5,37.3,14.4,14.5,78.5,13.8,200.1,269.4925,41.2,60.8,169,105,57,400,0.12
127,1991,5,4,XY,WINT91,XY WINT91,695-73540,5/29/1991,149,5/29/1991,1991149,149,25,25,25,5/4/1991,124,1991124,F,21.3,32.8,13.9,13.7,73.1,11.5,157.55,226.32,40.3,56.8,156,104,47,320,0.12
143,1992,4,18,DQ,BROT92,DQ BROT92,695-73561,5/12/1992,133,5/12/1992,1992133,133,24,24.9,25,4/18/1992,109,1992109,F,22.2,34.1,14,12.7,74.8,11.9,151.13,227.6175,40.7,61.5,143,87,40,405,0.12
171,1992,4,26,FN,SEWR92,FN SEWR92,695-73582,5/21/1992,142,5/21/1992,1992142,142,25,25,25,4/26/1992,117,1992117,F,21.5,32.8,14.1,13.1,73.7,11.3,148.03,223.04,40.9,58.4,156,96,47,375,0.12
183,1992,4,27,QC,HART92,QC HART92,695-73593,5/25/1992,146,5/25/1992,1992146,146,28,27.2,27,4/27/1992,118,1992118,F,23.7,35.8,13,13,79.5,12.1,157.3,232.7,43.7,59.9,181,125,77,405,0.12
214,1992,4,28,VW,WEGO92,VW WEGO92,685-80324,5/27/1992,148,5/27/1992,1992148,148,29,27.3,27,4/28/1992,119,1992119,F,24.8,38.8,13.4,12.4,79.4,14,173.6,250.26,40.6,59.1,193,123,80,350,0.12
208,1992,4,28,PC,GENR92,PC GENR92,685-80318,5/27/1992,148,5/27/1992,1992148,148,29,29,29,4/28/1992,119,1992119,F,23.4,35.2,12.7,13,76.6,11.8,153.4,226.16,41.4,57.9,198,133,87,400,0.13
