Date, MaxTemperature, MinTemperature, Precipitation, Snowfall, SnowDepth, HDD, CDD, GDD
1/1/1989,33,20, 0.00, 0.0, 1,38,0,0
1/2/1989,34,23, 0.00, 0.0, 1,36,0,0
1/3/1989,39,22, NA, T, T,34,0,0
1/4/1989,26,0, 0.10, 1.4, 1,52,0,0
1/5/1989,8,-1, 0.06, 1.8, 3,61,0,0
1/6/1989,19,3, 0.04, 0.6, 3,54,0,0
1/7/1989,26,17, 0.03, 0.8, 4,43,0,0
1/8/1989,40,26, 0.07, 0.0, T,32,0,0
1/9/1989,48,25, 0.00, 0.0, 0,28,0,0
1/10/1989,26,7, 0.05, 1.5, 1,48,0,0
1/11/1989,35,16, NA, T, T,39,0,0
1/12/1989,33,16, 0.00, 0.0, T,40,0,0
1/13/1989,41,25, 0.02, 0.0, T,32,0,0
1/14/1989,29,13, 0.00, 0.0, T,44,0,0
1/15/1989,38,17, NA, 0.0, T,37,0,0
1/16/1989,42,27, NA, 0.0, 0,30,0,0
1/17/1989,37,23, 0.00, 0.0, 0,35,0,0
1/18/1989,42,22, 0.00, 0.0, 0,33,0,0
1/19/1989,44,29, NA, 0.0, 0,28,0,0
1/20/1989,40,27, 0.00, 0.0, 0,31,0,0
1/21/1989,41,6, 0.06, 1.8, 2,41,0,0
1/22/1989,20,3, NA, T, 1,53,0,0
1/23/1989,45,20, 0.00, 0.0, 0,32,0,0
1/24/1989,55,23, 0.00, 0.0, 0,26,0,0
1/25/1989,49,20, 0.00, 0.0, 0,30,0,0
1/26/1989,37,21, 0.05, 0.0, 0,36,0,0
1/27/1989,43,31, 0.15, 0.0, 0,28,0,0
1/28/1989,36,23, 0.02, 0.0, 0,35,0,0
1/29/1989,51,27, 0.00, 0.0, 0,26,0,0
1/30/1989,46,29, 0.03, 0.0, 0,27,0,0
1/31/1989,45,31, 0.01, 0.0, 0,27,0,0
2/1/1989,53,33, 0.00, 0.0, 0,22,0,0
2/2/1989,60,23, 0.00, 0.0, 0,23,0,0
2/3/1989,24,18, 0.45, 1.5, 1,44,0,0
2/4/1989,18,7, 0.13, 3.0, 4,52,0,0
2/5/1989,12,8, 0.16, 3.0, 6,55,0,0
2/6/1989,24,12, 0.03, 0.8, 5,47,0,0
2/7/1989,28,17, 0.11, 2.5, 6,42,0,0
2/8/1989,26,-7, NA, T, 6,55,0,0
2/9/1989,27,7, NA, T, 5,48,0,0
2/10/1989,13,0, 0.00, 0.0, 5,58,0,0
2/11/1989,24,12, 0.00, 0.0, 5,47,0,0
2/12/1989,29,14, NA, T, 5,43,0,0
2/13/1989,31,5, NA, T, 4,47,0,0
2/14/1989,39,19, NA, 0.0, 2,36,0,0
2/15/1989,41,27, 0.05, T, 1,31,0,0
2/16/1989,36,26, 0.33, 0.3, 1,34,0,0
2/17/1989,26,22, 0.01, 0.5, 1,41,0,0
2/18/1989,23,-2, 0.05, 1.5, 3,54,0,0
2/19/1989,23,4, 0.00, 0.0, 3,51,0,0
2/20/1989,35,18, 0.00, 0.0, 2,38,0,0
2/21/1989,39,30, 0.33, 0.0, T,30,0,0
2/22/1989,47,30, 0.01, 0.0, T,26,0,0
2/23/1989,33,19, 0.01, 0.3, T,39,0,0
2/24/1989,19,2, 0.01, 0.2, T,54,0,0
2/25/1989,18,1, 0.00, 0.0, T,55,0,0
2/26/1989,24,8, 0.01, 0.4, T,49,0,0
2/27/1989,33,19, 0.13, 1.8, 2,39,0,0
2/28/1989,30,10, NA, T, T,45,0,0
3/1/1989,35,19, 0.02, 0.2, T,38,0,0
3/2/1989,29,13, 0.00, 0.0, T,44,0,0
3/3/1989,27,15, 0.03, 0.5, T,44,0,0
3/4/1989,33,20, 0.01, 0.0, T,38,0,0
3/5/1989,38,32, NA, 0.0, T,30,0,0
3/6/1989,40,13, 0.24, T, T,38,0,0
3/7/1989,17,3, 0.00, 0.0, 0,55,0,0
3/8/1989,17,1, 0.00, 0.0, 0,56,0,0
3/9/1989,35,11, 0.00, 0.0, 0,42,0,0
3/10/1989,38,14, 0.00, 0.0, 0,39,0,0
3/11/1989,40,20, 0.00, 0.0, 0,35,0,0
3/12/1989,51,31, 0.06, 1.3, 1,24,0,0
3/13/1989,31,1, 0.00, 0.0, 1,49,0,0
3/14/1989,42,14, 0.00, 0.0, 0,37,0,0
3/15/1989,55,34, NA, 0.0, 0,20,0,0
3/16/1989,63,26, 0.02, 0.3, T,20,0,0
3/17/1989,47,26, 0.00, 0.0, 0,28,0,0
3/18/1989,45,27, 0.28, 0.0, 0,29,0,0
3/19/1989,46,22, 0.09, 1.5, 1,31,0,0
3/20/1989,30,14, 0.00, 0.0, T,43,0,0
3/21/1989,37,26, 0.12, 1.5, 1,33,0,0
3/22/1989,33,8, NA, T, 1,44,0,0
3/23/1989,31,14, 0.00, 0.0, 0,42,0,0
3/24/1989,46,23, NA, 0.0, 0,30,0,0
3/25/1989,36,32, 0.92, 0.0, 0,31,0,0
3/26/1989,52,36, 0.00, 0.0, 0,21,0,0
3/27/1989,57,37, 0.00, 0.0, 0,18,0,0
3/28/1989,77,53, 0.02, 0.0, 0,0,0,15
3/29/1989,74,48, 0.08, 0.0, 0,4,0,11
3/30/1989,48,34, 0.57, 0.0, 0,24,0,0
3/31/1989,45,35, 0.32, 0.0, 0,25,0,0
4/1/1989,36,33, 0.35, 1.7, 1,30,0,0
4/2/1989,36,23, 0.03, T, T,35,0,0
4/3/1989,55,29, 0.06, 0.0, 0,23,0,0
4/4/1989,50,38, 0.14, 0.0, 0,21,0,0
4/5/1989,68,44, 0.35, 0.0, 0,9,0,6
4/6/1989,60,38, 0.01, 0.0, 0,16,0,0
4/7/1989,43,35, 0.00, 0.0, 0,26,0,0
4/8/1989,47,30, 0.00, 0.0, 0,26,0,0
4/9/1989,44,30, NA, 0.0, 0,28,0,0
4/10/1989,47,26, 0.03, T, T,28,0,0
4/11/1989,35,22, 0.00, 0.0, 0,36,0,0
4/12/1989,39,23, NA, 0.3, T,34,0,0
4/13/1989,51,31, 0.00, 0.0, 0,24,0,0
4/14/1989,44,23, 0.11, T, 0,31,0,0
4/15/1989,53,32, 0.00, 0.0, 0,22,0,0
4/16/1989,51,39, 0.03, 0.0, 0,20,0,0
4/17/1989,55,30, 0.00, 0.0, 0,22,0,0
4/18/1989,68,38, 0.14, 0.0, 0,12,0,3
4/19/1989,48,32, 0.08, 0.0, 0,25,0,0
4/20/1989,51,32, 0.00, 0.0, 0,23,0,0
4/21/1989,58,32, 0.00, 0.0, 0,20,0,0
4/22/1989,56,23, 0.00, 0.0, 0,25,0,0
4/23/1989,39,24, 0.00, 0.0, 0,33,0,0
4/24/1989,44,23, 0.00, 0.0, 0,31,0,0
4/25/1989,53,27, NA, 0.0, 0,25,0,0
4/26/1989,56,33, NA, 0.0, 0,20,0,0
4/27/1989,63,33, 0.00, 0.0, 0,17,0,0
4/28/1989,59,25, 0.00, 0.0, 0,23,0,0
4/29/1989,55,38, 0.00, 0.0, 0,18,0,0
4/30/1989,59,45, 0.13, 0.0, 0,13,0,2
5/1/1989,73,42, 0.00, 0.0, 0,7,0,8
5/2/1989,54,45, 1.07, 0.0, 0,15,0,0
5/3/1989,48,42, 0.01, 0.0, 0,20,0,0
5/4/1989,49,32, NA, 0.0, 0,24,0,0
5/5/1989,67,44, 0.00, 0.0, 0,9,0,6
5/6/1989,56,49, 0.44, 0.0, 0,12,0,3
5/7/1989,58,35, 0.73, 0.0, 0,18,0,0
5/8/1989,42,34, 0.22, 0.0, 0,27,0,0
5/9/1989,47,36, 0.02, 0.0, 0,23,0,0
5/10/1989,63,47, 0.12, 0.0, 0,10,0,5
5/11/1989,52,44, 1.79, 0.0, 0,17,0,0
5/12/1989,48,44, 0.25, 0.0, 0,19,0,0
5/13/1989,56,43, NA, 0.0, 0,15,0,0
5/14/1989,63,41, 0.00, 0.0, 0,13,0,2
5/15/1989,62,44, 0.00, 0.0, 0,12,0,3
5/16/1989,69,53, 0.69, 0.0, 0,4,0,11
5/17/1989,68,52, 0.22, 0.0, 0,5,0,10
5/18/1989,76,45, 0.00, 0.0, 0,4,0,11
5/19/1989,83,51, 0.00, 0.0, 0,0,2,17
5/20/1989,85,54, 0.00, 0.0, 0,0,5,20
5/21/1989,82,60, 0.05, 0.0, 0,0,6,21
5/22/1989,73,43, 0.00, 0.0, 0,7,0,8
5/23/1989,73,43, 0.00, 0.0, 0,7,0,8
5/24/1989,66,49, 0.39, 0.0, 0,7,0,8
5/25/1989,63,44, 0.01, 0.0, 0,11,0,4
5/26/1989,78,59, 0.17, 0.0, 0,0,4,19
5/27/1989,78,49, 0.02, 0.0, 0,1,0,14
5/28/1989,60,37, 0.04, 0.0, 0,16,0,0
5/29/1989,66,36, 0.00, 0.0, 0,14,0,1
5/30/1989,80,51, 0.00, 0.0, 0,0,1,16
5/31/1989,80,57, 0.68, 0.0, 0,0,4,19
6/1/1989,79,65, 0.21, 0.0, 0,0,7,22
6/2/1989,83,64, 0.11, 0.0, 0,0,9,24
6/3/1989,76,53, 0.09, 0.0, 0,0,0,15
6/4/1989,79,62, 0.89, 0.0, 0,0,6,21
6/5/1989,70,47, 0.03, 0.0, 0,6,0,9
6/6/1989,70,53, 0.51, 0.0, 0,3,0,12
6/7/1989,69,52, 0.00, 0.0, 0,4,0,11
6/8/1989,74,57, 0.02, 0.0, 0,0,1,16
6/9/1989,74,57, NA, 0.0, 0,0,1,16
6/10/1989,72,59, 0.16, 0.0, 0,0,1,16
6/11/1989,70,53, 0.00, 0.0, 0,3,0,12
6/12/1989,71,44, 0.00, 0.0, 0,7,0,8
6/13/1989,75,58, 0.26, 0.0, 0,0,2,17
6/14/1989,63,53, 0.05, 0.0, 0,7,0,8
6/15/1989,60,55, 0.33, 0.0, 0,7,0,8
6/16/1989,62,57, 0.37, 0.0, 0,5,0,10
6/17/1989,77,61, 0.99, 0.0, 0,0,4,19
6/18/1989,73,54, 0.01, 0.0, 0,1,0,14
6/19/1989,77,53, 0.00, 0.0, 0,0,0,15
6/20/1989,82,62, NA, 0.0, 0,0,7,22
6/21/1989,74,66, 0.34, 0.0, 0,0,5,20
6/22/1989,82,68, 0.11, 0.0, 0,0,10,25
6/23/1989,82,66, NA, 0.0, 0,0,9,24
6/24/1989,83,65, 0.13, 0.0, 0,0,9,24
6/25/1989,83,60, NA, 0.0, 0,0,7,22
6/26/1989,82,59, 0.00, 0.0, 0,0,6,21
6/27/1989,84,60, 0.00, 0.0, 0,0,7,22
6/28/1989,88,60, 0.34, 0.0, 0,0,9,24
6/29/1989,78,53, NA, 0.0, 0,0,1,16
6/30/1989,69,44, 0.00, 0.0, 0,8,0,7
7/1/1989,75,51, 0.00, 0.0, 0,2,0,13
7/2/1989,83,55, 0.00, 0.0, 0,0,4,19
7/3/1989,85,53, 0.00, 0.0, 0,0,4,19
7/4/1989,86,63, NA, 0.0, 0,0,10,25
7/5/1989,85,65, 0.29, 0.0, 0,0,10,25
7/6/1989,77,61, 0.53, 0.0, 0,0,4,19
7/7/1989,84,61, NA, 0.0, 0,0,8,23
7/8/1989,85,53, 0.45, 0.0, 0,0,4,19
7/9/1989,74,53, NA, 0.0, 0,1,0,14
7/10/1989,84,64, 0.00, 0.0, 0,0,9,24
7/11/1989,89,59, 0.69, 0.0, 0,0,9,24
7/12/1989,79,54, 0.00, 0.0, 0,0,2,17
7/13/1989,72,51, NA, 0.0, 0,3,0,12
7/14/1989,77,52, NA, 0.0, 0,0,0,15
7/15/1989,73,48, 0.00, 0.0, 0,4,0,11
7/16/1989,77,52, 0.00, 0.0, 0,0,0,15
7/17/1989,70,53, 0.04, 0.0, 0,3,0,12
