Date, MaxTemperature, MinTemperature, Precipitation, Snowfall, SnowDepth, HDD, CDD, GDD
1989-01-01, 33, 20, 0.00, 0.0, 1, 38, 0, 0
1989-01-02, 34, 23, 0.00, 0.0, 1, 36, 0, 0
1989-01-03, 39, 22, T, T, T, 34, 0, 0
1989-01-04, 26, -0, 0.10, 1.4, 1, 52, 0, 0
1989-01-05, 8, -1, 0.06, 1.8, 3, 61, 0, 0
1989-01-06, 19, 3, 0.04, 0.6, 3, 54, 0, 0
1989-01-07, 26, 17, 0.03, 0.8, 4, 43, 0, 0
1989-01-08, 40, 26, 0.07, 0.0, T, 32, 0, 0
1989-01-09, 48, 25, 0.00, 0.0, 0, 28, 0, 0
1989-01-10, 26, 7, 0.05, 1.5, 1, 48, 0, 0
1989-01-11, 35, 16, T, T, T, 39, 0, 0
1989-01-12, 33, 16, 0.00, 0.0, T, 40, 0, 0
1989-01-13, 41, 25, 0.02, 0.0, T, 32, 0, 0
1989-01-14, 29, 13, 0.00, 0.0, T, 44, 0, 0
1989-01-15, 38, 17, T, 0.0, T, 37, 0, 0
1989-01-16, 42, 27, T, 0.0, 0, 30, 0, 0
1989-01-17, 37, 23, 0.00, 0.0, 0, 35, 0, 0
1989-01-18, 42, 22, 0.00, 0.0, 0, 33, 0, 0
1989-01-19, 44, 29, T, 0.0, 0, 28, 0, 0
1989-01-20, 40, 27, 0.00, 0.0, 0, 31, 0, 0
1989-01-21, 41, 6, 0.06, 1.8, 2, 41, 0, 0
1989-01-22, 20, 3, T, T, 1, 53, 0, 0
1989-01-23, 45, 20, 0.00, 0.0, 0, 32, 0, 0
1989-01-24, 55, 23, 0.00, 0.0, 0, 26, 0, 0
1989-01-25, 49, 20, 0.00, 0.0, 0, 30, 0, 0
1989-01-26, 37, 21, 0.05, 0.0, 0, 36, 0, 0
1989-01-27, 43, 31, 0.15, 0.0, 0, 28, 0, 0
1989-01-28, 36, 23, 0.02, 0.0, 0, 35, 0, 0
1989-01-29, 51, 27, 0.00, 0.0, 0, 26, 0, 0
1989-01-30, 46, 29, 0.03, 0.0, 0, 27, 0, 0
1989-01-31, 45, 31, 0.01, 0.0, 0, 27, 0, 0
1989-02-01, 53, 33, 0.00, 0.0, 0, 22, 0, 0
1989-02-02, 60, 23, 0.00, 0.0, 0, 23, 0, 0
1989-02-03, 24, 18, 0.45, 1.5, 1, 44, 0, 0
1989-02-04, 18, 7, 0.13, 3.0, 4, 52, 0, 0
1989-02-05, 12, 8, 0.16, 3.0, 6, 55, 0, 0
1989-02-06, 24, 12, 0.03, 0.8, 5, 47, 0, 0
1989-02-07, 28, 17, 0.11, 2.5, 6, 42, 0, 0
1989-02-08, 26, -7, T, T, 6, 55, 0, 0
1989-02-09, 27, 7, T, T, 5, 48, 0, 0
1989-02-10, 13, -0, 0.00, 0.0, 5, 58, 0, 0
1989-02-11, 24, 12, 0.00, 0.0, 5, 47, 0, 0
1989-02-12, 29, 14, T, T, 5, 43, 0, 0
1989-02-13, 31, 5, T, T, 4, 47, 0, 0
1989-02-14, 39, 19, T, 0.0, 2, 36, 0, 0
1989-02-15, 41, 27, 0.05, T, 1, 31, 0, 0
1989-02-16, 36, 26, 0.33, 0.3, 1, 34, 0, 0
1989-02-17, 26, 22, 0.01, 0.5, 1, 41, 0, 0
1989-02-18, 23, -2, 0.05, 1.5, 3, 54, 0, 0
1989-02-19, 23, 4, 0.00, 0.0, 3, 51, 0, 0
1989-02-20, 35, 18, 0.00, 0.0, 2, 38, 0, 0
1989-02-21, 39, 30, 0.33, 0.0, T, 30, 0, 0
1989-02-22, 47, 30, 0.01, 0.0, T, 26, 0, 0
1989-02-23, 33, 19, 0.01, 0.3, T, 39, 0, 0
1989-02-24, 19, 2, 0.01, 0.2, T, 54, 0, 0
1989-02-25, 18, 1, 0.00, 0.0, T, 55, 0, 0
1989-02-26, 24, 8, 0.01, 0.4, T, 49, 0, 0
1989-02-27, 33, 19, 0.13, 1.8, 2, 39, 0, 0
1989-02-28, 30, 10, T, T, T, 45, 0, 0
1989-03-01, 35, 19, 0.02, 0.2, T, 38, 0, 0
1989-03-02, 29, 13, 0.00, 0.0, T, 44, 0, 0
1989-03-03, 27, 15, 0.03, 0.5, T, 44, 0, 0
1989-03-04, 33, 20, 0.01, 0.0, T, 38, 0, 0
1989-03-05, 38, 32, T, 0.0, T, 30, 0, 0
1989-03-06, 40, 13, 0.24, T, T, 38, 0, 0
1989-03-07, 17, 3, 0.00, 0.0, 0, 55, 0, 0
1989-03-08, 17, 1, 0.00, 0.0, 0, 56, 0, 0
1989-03-09, 35, 11, 0.00, 0.0, 0, 42, 0, 0
1989-03-10, 38, 14, 0.00, 0.0, 0, 39, 0, 0
1989-03-11, 40, 20, 0.00, 0.0, 0, 35, 0, 0
1989-03-12, 51, 31, 0.06, 1.3, 1, 24, 0, 0
1989-03-13, 31, 1, 0.00, 0.0, 1, 49, 0, 0
1989-03-14, 42, 14, 0.00, 0.0, 0, 37, 0, 0
1989-03-15, 55, 34, T, 0.0, 0, 20, 0, 0
1989-03-16, 63, 26, 0.02, 0.3, T, 20, 0, 0
1989-03-17, 47, 26, 0.00, 0.0, 0, 28, 0, 0
1989-03-18, 45, 27, 0.28, 0.0, 0, 29, 0, 0
1989-03-19, 46, 22, 0.09, 1.5, 1, 31, 0, 0
1989-03-20, 30, 14, 0.00, 0.0, T, 43, 0, 0
1989-03-21, 37, 26, 0.12, 1.5, 1, 33, 0, 0
1989-03-22, 33, 8, T, T, 1, 44, 0, 0
1989-03-23, 31, 14, 0.00, 0.0, 0, 42, 0, 0
1989-03-24, 46, 23, T, 0.0, 0, 30, 0, 0
1989-03-25, 36, 32, 0.92, 0.0, 0, 31, 0, 0
1989-03-26, 52, 36, 0.00, 0.0, 0, 21, 0, 0
1989-03-27, 57, 37, 0.00, 0.0, 0, 18, 0, 0
1989-03-28, 77, 53, 0.02, 0.0, 0, 0, 0, 15
1989-03-29, 74, 48, 0.08, 0.0, 0, 4, 0, 11
1989-03-30, 48, 34, 0.57, 0.0, 0, 24, 0, 0
1989-03-31, 45, 35, 0.32, 0.0, 0, 25, 0, 0
1989-04-01, 36, 33, 0.35, 1.7, 1, 30, 0, 0
1989-04-02, 36, 23, 0.03, T, T, 35, 0, 0
1989-04-03, 55, 29, 0.06, 0.0, 0, 23, 0, 0
1989-04-04, 50, 38, 0.14, 0.0, 0, 21, 0, 0
1989-04-05, 68, 44, 0.35, 0.0, 0, 9, 0, 6
1989-04-06, 60, 38, 0.01, 0.0, 0, 16, 0, 0
1989-04-07, 43, 35, 0.00, 0.0, 0, 26, 0, 0
1989-04-08, 47, 30, 0.00, 0.0, 0, 26, 0, 0
1989-04-09, 44, 30, T, 0.0, 0, 28, 0, 0
1989-04-10, 47, 26, 0.03, T, T, 28, 0, 0
1989-04-11, 35, 22, 0.00, 0.0, 0, 36, 0, 0
1989-04-12, 39, 23, T, 0.3, T, 34, 0, 0
1989-04-13, 51, 31, 0.00, 0.0, 0, 24, 0, 0
1989-04-14, 44, 23, 0.11, T, 0, 31, 0, 0
1989-04-15, 53, 32, 0.00, 0.0, 0, 22, 0, 0
