Date,Obs,Year,Month,Day,Julian, MaxTemp, MinTemp, AtObsTemp, Precip, Snowfall, SnowDepth, HDD, CDD, GDD
1/1/1990,1,1990,1,1,1,42,30, M,0.07,0,3,29,0,0
1/2/1990,2,1990,1,2,2,30,25, M,0.01,0.3,2,37,0,0
1/3/1990,3,1990,1,3,3,39,20, M,0,0,1,35,0,0
1/4/1990,4,1990,1,4,4,43,26, M,0,0, T,30,0,0
1/5/1990,5,1990,1,5,5,48,30, M,0,0, T,26,0,0
1/6/1990,6,1990,1,6,6,36,18, M,0,0, T,38,0,0
1/7/1990,7,1990,1,7,7,36,18, M, T, T, T,38,0,0
1/8/1990,8,1990,1,8,8,41,20, M,0,0, T,34,0,0
1/9/1990,9,1990,1,9,9,39,23, M,0,0, T,34,0,0
1/10/1990,10,1990,1,10,10,44,33, M,0.01,0, T,26,0,0
1/11/1990,11,1990,1,11,11,37,30, M,0.11,0.1, T,31,0,0
1/12/1990,12,1990,1,12,12,39,29, M,0.01,0.1, T,31,0,0
1/13/1990,13,1990,1,13,13,29,13, M,0.01,0.4, T,44,0,0
1/14/1990,14,1990,1,14,14,23,13, M, T, T, T,47,0,0
1/15/1990,15,1990,1,15,15,33,22, M,0.04,0.5, T,37,0,0
1/16/1990,16,1990,1,16,16,37,30, M,0.04,0.1, T,31,0,0
1/17/1990,17,1990,1,17,17,52,35, M, T,0,0,21,0,0
1/18/1990,18,1990,1,18,18,55,46, M,0.02,0,0,14,0,1
1/19/1990,19,1990,1,19,19,51,24, M, T, T, T,27,0,0
1/20/1990,20,1990,1,20,20,29,19, M,0,0,0,41,0,0
1/21/1990,21,1990,1,21,21,35,28, M,0.53,4,4,33,0,0
1/22/1990,22,1990,1,22,22,41,30, M,0.01,0.1,2,29,0,0
1/23/1990,23,1990,1,23,23,40,23, M,0.03,0.4,3,33,0,0
1/24/1990,24,1990,1,24,24,41,24, M,0.07,0,1,32,0,0
1/25/1990,25,1990,1,25,25,55,27, M, T,0,0,24,0,0
1/26/1990,26,1990,1,26,26,54,32, M,0.11,0.4, T,22,0,0
1/27/1990,27,1990,1,27,27,32,20, M,0.09,1.1,2,39,0,0
1/28/1990,28,1990,1,28,28,40,23, M,0,0, T,33,0,0
1/29/1990,29,1990,1,29,29,38,28, M,0.03,0.4, T,32,0,0
1/30/1990,30,1990,1,30,30,34,28, M,0.87,6.3,5,34,0,0
1/31/1990,31,1990,1,31,31,35,14, M,0,0,5,40,0,0
2/1/1990,32,1990,2,1,32,43,15, M,0,0,4,36,0,0
2/2/1990,33,1990,2,2,33,47,35, M,0.41,0,3,24,0,0
2/3/1990,34,1990,2,3,34,35,15, M,0.35,2.4,6,40,0,0
2/4/1990,35,1990,2,4,35,35,15, M,0.35,0.5,5,40,0,0
2/5/1990,36,1990,2,5,36,26,15, M,0.18,3.2,7,44,0,0
2/6/1990,37,1990,2,6,37,35,20, M,0,0,6,37,0,0
2/7/1990,38,1990,2,7,38,42,27, M,0,0,5,30,0,0
2/8/1990,39,1990,2,8,39,45,20, M,0,0,4,32,0,0
2/9/1990,40,1990,2,9,40,49,23, M,0,0,2,29,0,0
2/10/1990,41,1990,2,10,41,53,34, M,0.35,0,0,21,0,0
2/11/1990,42,1990,2,11,42,39,20, M,0,0,0,35,0,0
2/12/1990,43,1990,2,12,43,36,19, M,0,0,0,37,0,0
2/13/1990,44,1990,2,13,44,34,21, M,0,0,0,37,0,0
2/14/1990,45,1990,2,14,45,53,32, M,0,0,0,22,0,0
2/15/1990,46,1990,2,15,46,34,22, M,0.35,1.6,2,37,0,0
2/16/1990,47,1990,2,16,47,45,29, M,0.81,0,0,28,0,0
2/17/1990,48,1990,2,17,48,59,26, M,0.16,0,0,22,0,0
2/18/1990,49,1990,2,18,49,26,7, M, T,0.2, T,48,0,0
2/19/1990,50,1990,2,19,50,37,12, M,0,0,0,40,0,0
2/20/1990,51,1990,2,20,51,44,17, M, T, T, T,34,0,0
2/21/1990,52,1990,2,21,52,24,13, M,0,0,0,46,0,0
2/22/1990,53,1990,2,22,53,53,22, M,0,0,0,27,0,0
2/23/1990,54,1990,2,23,54,56,40, M,0.01,0,0,17,0,0
2/24/1990,55,1990,2,24,55,55,16, M,0.22,3,3,29,0,0
2/25/1990,56,1990,2,25,56,27,11, M,0.2,4.1,8,46,0,0
2/26/1990,57,1990,2,26,57,11,-2, M,0.05,0.6,8,60,0,0
2/27/1990,58,1990,2,27,58,20,0, M,0,0,7,55,0,0
2/28/1990,59,1990,2,28,59,34,19, M, T, T,6,38,0,0
3/1/1990,60,1990,3,1,60,24,8, M,0,0,6,49,0,0
3/2/1990,61,1990,3,2,61,41,18, M,0,0,5,35,0,0
3/3/1990,62,1990,3,3,62,55,28, M,0,0,3,23,0,0
3/4/1990,63,1990,3,4,63,35,13, M, T, T,2,41,0,0
3/5/1990,64,1990,3,5,64,24,11, M, T, T,1,47,0,0
3/6/1990,65,1990,3,6,65,28,14, M,0.04,1.2,2,44,0,0
3/7/1990,66,1990,3,7,66,22,-2, M,0,0,1,55,0,0
3/8/1990,67,1990,3,8,67,30,6, M,0,0, T,47,0,0
3/9/1990,68,1990,3,9,68,47,15, M,0,0, T,34,0,0
3/10/1990,69,1990,3,10,69,42,33, M,0.06,0,0,27,0,0
3/11/1990,70,1990,3,11,70,58,38, M, T,0,0,17,0,0
3/12/1990,71,1990,3,12,71,60,40, M,0.13,0,0,15,0,0
3/13/1990,72,1990,3,13,72,71,44, M, T,0,0,7,0,8
3/14/1990,73,1990,3,14,73,74,47, M,0,0,0,4,0,11
3/15/1990,74,1990,3,15,74,79,50, M,0,0,0,0,0,15
3/16/1990,75,1990,3,16,75,79,60, M,0,0,0,0,5,20
3/17/1990,76,1990,3,17,76,75,61, M,0.01,0,0,0,3,18
3/18/1990,77,1990,3,18,77,65,37, M,0.47,0,0,14,0,1
3/19/1990,78,1990,3,19,78,43,29, M, T,0,0,29,0,0
3/20/1990,79,1990,3,20,79,44,26, M,0.36,5.6,6,30,0,0
3/21/1990,80,1990,3,21,80,32,24, M,0.19,1.2,6,37,0,0
3/22/1990,81,1990,3,22,81,44,27, M,0,0,1,29,0,0
3/23/1990,82,1990,3,23,82,62,40, M,0.01,0,0,14,0,1
3/24/1990,83,1990,3,24,83,44,21, M,0.02, T, T,32,0,0
3/25/1990,84,1990,3,25,84,33,18, M,0,0,0,39,0,0
3/26/1990,85,1990,3,26,85,44,22, M,0,0,0,32,0,0
3/27/1990,86,1990,3,27,86,38,18, M,0.02,0.4, T,37,0,0
3/28/1990,87,1990,3,28,87,32,16, M, T, T,0,41,0,0
3/29/1990,88,1990,3,29,88,45,20, M,0,0,0,32,0,0
3/30/1990,89,1990,3,30,89,49,30, M,0.04,0,0,25,0,0
3/31/1990,90,1990,3,31,90,38,35, M, T,0,0,28,0,0
4/1/1990,91,1990,4,1,91,51,38, M,0.02,0,0,20,0,0
4/2/1990,92,1990,4,2,92,47,42, M,0.16,0,0,20,0,0
4/3/1990,93,1990,4,3,93,57,36, M,0.36,0,0,18,0,0
4/4/1990,94,1990,4,4,94,39,32, M,0.94,4.9,5,29,0,0
4/5/1990,95,1990,4,5,95,37,33, M,0.58,1.8,4,30,0,0
4/6/1990,96,1990,4,6,96,46,29, M,0.02,0,2,27,0,0
4/7/1990,97,1990,4,7,97,40,27, M, T, T, T,31,0,0
4/8/1990,98,1990,4,8,98,40,25, M,0.02,0.5,1,32,0,0
4/9/1990,99,1990,4,9,99,44,27, M,0,0,0,29,0,0
4/10/1990,100,1990,4,10,100,60,37, M, T,0,0,16,0,0
4/11/1990,101,1990,4,11,101,53,33, M,0.88, T,0,22,0,0
4/12/1990,102,1990,4,12,102,40,25, M,0.03,0.5, T,32,0,0
4/13/1990,103,1990,4,13,103,36,22, M, T, T,0,36,0,0
4/14/1990,104,1990,4,14,104,49,30, M,0,0,0,25,0,0
4/15/1990,105,1990,4,15,105,53,38, M,0.01,0,0,19,0,0
4/16/1990,106,1990,4,16,106,58,37, M,0,0,0,17,0,0
4/17/1990,107,1990,4,17,107,58,40, M, T,0,0,16,0,0
4/18/1990,108,1990,4,18,108,49,30, M,0.09, T,0,25,0,0
4/19/1990,109,1990,4,19,109,44,25, M, T,0,0,30,0,0
4/20/1990,110,1990,4,20,110,63,35, M,0.04,0,0,16,0,0
4/21/1990,111,1990,4,21,111,62,44, M,0.37,0,0,12,0,3
4/22/1990,112,1990,4,22,112,50,38, M,0.01,0,0,21,0,0
4/23/1990,113,1990,4,23,113,66,37, M,0,0,0,13,0,2
4/24/1990,114,1990,4,24,114,68,36, M,0,0,0,13,0,2
4/25/1990,115,1990,4,25,115,78,53, M,0.18,0,0,0,1,16
4/26/1990,116,1990,4,26,116,83,53, M,0.1,0,0,0,3,18
4/27/1990,117,1990,4,27,117,84,52, M,0,0,0,0,3,18
4/28/1990,118,1990,4,28,118,86,53, M,0,0,0,0,5,20
4/29/1990,119,1990,4,29,119,89,62, M,0,0,0,0,11,26
4/30/1990,120,1990,4,30,120,74,54, M, T,0,0,1,0,14
5/1/1990,121,1990,5,1,121,67,48, M,0,0,0,7,0,8
5/2/1990,122,1990,5,2,122,70,38, M,0,0,0,11,0,4
5/3/1990,123,1990,5,3,123,56,29, M,0,0,0,22,0,0
5/4/1990,124,1990,5,4,124,58,42, M,0,0,0,15,0,0
5/5/1990,125,1990,5,5,125,65,47, M,0.88,0,0,9,0,6
5/6/1990,126,1990,5,6,126,56,40, M, T,0,0,17,0,0
5/7/1990,127,1990,5,7,127,57,35, M,0.15,0,0,19,0,0
5/8/1990,128,1990,5,8,128,55,46, M,0.05,0,0,14,0,1
5/9/1990,129,1990,5,9,129,79,51, M, T,0,0,0,0,15
5/10/1990,130,1990,5,10,130,79,59, M, T,0,0,0,4,19
5/11/1990,131,1990,5,11,131,64,38, M,0.41,0,0,14,0,1
5/12/1990,132,1990,5,12,132,47,30, M, T,0,0,26,0,0
5/13/1990,133,1990,5,13,133,58,43, M,0.23,0,0,14,0,1
5/14/1990,134,1990,5,14,134,61,41, M,0.46,0,0,14,0,1
5/15/1990,135,1990,5,15,135,69,44, M, T,0,0,8,0,7
5/16/1990,136,1990,5,16,136,73,57, M,0.11,0,0,0,0,15
5/17/1990,137,1990,5,17,137,67,59, M,0.5,0,0,2,0,13
5/18/1990,138,1990,5,18,138,76,49, M,0.25,0,0,2,0,13
5/19/1990,139,1990,5,19,139,54,45, M,0.07,0,0,15,0,0
5/20/1990,140,1990,5,20,140,59,46, M,0.09,0,0,12,0,3
5/21/1990,141,1990,5,21,141,62,46, M,0.85,0,0,11,0,4
5/22/1990,142,1990,5,22,142,49,41, M,0.06,0,0,20,0,0
5/23/1990,143,1990,5,23,143,59,44, M,0,0,0,13,0,2
5/24/1990,144,1990,5,24,144,60,39, M,0,0,0,15,0,0
5/25/1990,145,1990,5,25,145,63,37, M,0,0,0,15,0,0
5/26/1990,146,1990,5,26,146,72,47, M,0,0,0,5,0,10
5/27/1990,147,1990,5,27,147,68,47, M,0,0,0,7,0,8
5/28/1990,148,1990,5,28,148,73,43, M,0,0,0,7,0,8
5/29/1990,149,1990,5,29,149,77,54, M,0.2,0,0,0,1,16
5/30/1990,150,1990,5,30,150,58,43, M,0.46,0,0,14,0,1
5/31/1990,151,1990,5,31,151,58,38, M,0,0,0,17,0,0
6/1/1990,152,1990,6,1,152,71,39, M,0,0,0,10,0,5
6/2/1990,153,1990,6,2,153,78,54, M,0,0,0,0,1,16
6/3/1990,154,1990,6,3,154,83,65, M,0.04,0,0,0,9,24
6/4/1990,155,1990,6,4,155,82,52, M,0.04,0,0,0,2,17
6/5/1990,156,1990,6,5,156,54,35, M, T,0,0,20,0,0
6/6/1990,157,1990,6,6,157,65,45, M, T,0,0,10,0,5
6/7/1990,158,1990,6,7,158,77,54, M,0,0,0,0,1,16
6/8/1990,159,1990,6,8,159,74,45, M,0,0,0,5,0,10
6/9/1990,160,1990,6,9,160,72,53, M,0.15,0,0,2,0,13
6/10/1990,161,1990,6,10,161,79,53, M, T,0,0,0,1,16
6/11/1990,162,1990,6,11,162,67,54, M,0.07,0,0,4,0,11
6/12/1990,163,1990,6,12,163,64,40, M,0,0,0,13,0,2
6/13/1990,164,1990,6,13,164,77,49, M,0,0,0,2,0,13
6/14/1990,165,1990,6,14,165,82,60, M,0,0,0,0,6,21
6/15/1990,166,1990,6,15,166,85,66, M,0.97,0,0,0,11,26
6/16/1990,167,1990,6,16,167,83,65, M,0,0,0,0,9,24
6/17/1990,168,1990,6,17,168,85,66, M,0,0,0,0,11,26
6/18/1990,169,1990,6,18,169,87,69, M,0,0,0,0,13,28
6/19/1990,170,1990,6,19,170,83,58, M,0.46,0,0,0,6,21
6/20/1990,171,1990,6,20,171,70,58, M,0.01,0,0,1,0,14
6/21/1990,172,1990,6,21,172,75,60, M,0,0,0,0,3,18
6/22/1990,173,1990,6,22,173,79,55, M,0.01,0,0,0,2,17
6/23/1990,174,1990,6,23,174,81,64, M,0.13,0,0,0,8,23
6/24/1990,175,1990,6,24,175,76,58, M, T,0,0,0,2,17
6/25/1990,176,1990,6,25,176,70,56, M,0.11,0,0,2,0,13
6/26/1990,177,1990,6,26,177,70,47, M,0,0,0,6,0,9
6/27/1990,178,1990,6,27,178,81,60, M,0,0,0,0,6,21
6/28/1990,179,1990,6,28,179,77,55, M,0,0,0,0,1,16
6/29/1990,180,1990,6,29,180,73,54, M, T,0,0,1,0,14
6/30/1990,181,1990,6,30,181,84,58, M,0.38,0,0,0,6,21
7/1/1990,182,1990,7,1,182,73,54, M,0.15,0,0,1,0,14
7/2/1990,183,1990,7,2,183,72,54, M, T,0,0,2,0,13
7/3/1990,184,1990,7,3,184,78,51, M,0,0,0,0,0,15
7/4/1990,185,1990,7,4,185,82,61, M,0,0,0,0,7,22
7/5/1990,186,1990,7,5,186,97,71, M,0.02,0,0,0,19,34
7/6/1990,187,1990,7,6,187,76,57, M,0.23,0,0,0,2,17
7/7/1990,188,1990,7,7,188,69,44, M,0.12,0,0,8,0,7
7/8/1990,189,1990,7,8,189,73,49, M,0,0,0,4,0,11
7/9/1990,190,1990,7,9,190,76,62, M,0.27,0,0,0,4,19
7/10/1990,191,1990,7,10,191,81,55, M,0,0,0,0,3,18
7/11/1990,192,1990,7,11,192,80,51, M,0,0,0,0,1,16
7/12/1990,193,1990,7,12,193,72,55, M,0.36,0,0,1,0,14
7/13/1990,194,1990,7,13,194,61,55, M,0.26,0,0,7,0,8
7/14/1990,195,1990,7,14,195,75,60, M, T,0,0,0,3,18
7/15/1990,196,1990,7,15,196,77,60, M,0,0,0,0,4,19
7/16/1990,197,1990,7,16,197,81,65, M,0.44,0,0,0,8,23
7/17/1990,198,1990,7,17,198,79,60, M,0,0,0,0,5,20
7/18/1990,199,1990,7,18,199,86,60, M,0,0,0,0,8,23
7/19/1990,200,1990,7,19,200,87,63, M,0,0,0,0,10,25
7/20/1990,201,1990,7,20,201,87,64, M,0,0,0,0,11,26
7/21/1990,202,1990,7,21,202,85,67, M,0.69,0,0,0,11,26
7/22/1990,203,1990,7,22,203,81,59, M,0,0,0,0,5,20
7/23/1990,204,1990,7,23,204,81,64, M,0.32,0,0,0,8,23
7/24/1990,205,1990,7,24,205,75,58, M,0.15,0,0,0,2,17
7/25/1990,206,1990,7,25,206,79,55, M,0,0,0,0,2,17
7/26/1990,207,1990,7,26,207,80,51, M,0,0,0,0,1,16
7/27/1990,208,1990,7,27,208,83,55, M,0,0,0,0,4,19
7/28/1990,209,1990,7,28,209,85,58, M,0,0,0,0,7,22
7/29/1990,210,1990,7,29,210,86,62, M,0.49,0,0,0,9,24
7/30/1990,211,1990,7,30,211,85,62, M,0,0,0,0,9,24
7/31/1990,212,1990,7,31,212,85,66, M,0.4,0,0,0,11,26
8/1/1990,213,1990,8,1,213,66,54, M,0.19,0,0,5,0,10
8/2/1990,214,1990,8,2,214,72,49, M,0,0,0,4,0,11
8/3/1990,215,1990,8,3,215,80,55, M,0,0,0,0,3,18
8/4/1990,216,1990,8,4,216,83,58, M,0,0,0,0,6,21
8/5/1990,217,1990,8,5,217,84,67, M,0.04,0,0,0,11,26
8/6/1990,218,1990,8,6,218,68,65, M,0.84,0,0,0,2,17
8/7/1990,219,1990,8,7,219,74,63, M,0.01,0,0,0,4,19
8/8/1990,220,1990,8,8,220,75,55, M,0.01,0,0,0,0,15
8/9/1990,221,1990,8,9,221,76,51, M,0,0,0,1,0,14
8/10/1990,222,1990,8,10,222,74,59, M, T,0,0,0,2,17
8/11/1990,223,1990,8,11,223,74,60, M, T,0,0,0,2,17
8/12/1990,224,1990,8,12,224,80,57, M,0,0,0,0,4,19
8/13/1990,225,1990,8,13,225,83,62, M,0,0,0,0,8,23
8/14/1990,226,1990,8,14,226,83,60, M,1.05,0,0,0,7,22
8/15/1990,227,1990,8,15,227,76,49, M,0,0,0,2,0,13
8/16/1990,228,1990,8,16,228,79,56, M,0,0,0,0,3,18
8/17/1990,229,1990,8,17,229,80,60, M,0.28,0,0,0,5,20
8/18/1990,230,1990,8,18,230,85,64, M,0,0,0,0,10,25
8/19/1990,231,1990,8,19,231,85,63, M,0.33,0,0,0,9,24
8/20/1990,232,1990,8,20,232,64,56, M,0.07,0,0,5,0,10
8/21/1990,233,1990,8,21,233,61,56, M,0.08,0,0,6,0,9
8/22/1990,234,1990,8,22,234,65,57, M,0.01,0,0,4,0,11
8/23/1990,235,1990,8,23,235,71,60, M,0.01,0,0,0,1,16
8/24/1990,236,1990,8,24,236,70,58, M,0,0,0,1,0,14
8/25/1990,237,1990,8,25,237,80,60, M,0,0,0,0,5,20
8/26/1990,238,1990,8,26,238,80,57, M,0,0,0,0,4,19
8/27/1990,239,1990,8,27,239,83,60, M,0,0,0,0,7,22
8/28/1990,240,1990,8,28,240,83,62, M,0.13,0,0,0,8,23
8/29/1990,241,1990,8,29,241,81,64, M,1.34,0,0,0,8,23
8/30/1990,242,1990,8,30,242,75,50, M,0,0,0,2,0,13
8/31/1990,243,1990,8,31,243,76,48, M,0,0,0,3,0,12
9/1/1990,244,1990,9,1,244,79,52, M,0,0,0,0,1,16
9/2/1990,245,1990,9,2,245,82,60, M,0,0,0,0,6,21
9/3/1990,246,1990,9,3,246,82,51, M,0.03,0,0,0,2,17
9/4/1990,247,1990,9,4,247,69,44, M,0,0,0,8,0,7
9/5/1990,248,1990,9,5,248,76,56, M, T,0,0,0,1,16
9/6/1990,249,1990,9,6,249,72,61, M,0.31,0,0,0,2,17
9/7/1990,250,1990,9,7,250,79,62, M,0.12,0,0,0,6,21
9/8/1990,251,1990,9,8,251,74,39, M,0.02,0,0,8,0,7
9/9/1990,252,1990,9,9,252,68,47, M,0,0,0,7,0,8
9/10/1990,253,1990,9,10,253,58,53, M,0.35,0,0,9,0,6
9/11/1990,254,1990,9,11,254,78,58, M,0,0,0,0,3,18
9/12/1990,255,1990,9,12,255,76,56, M,0,0,0,0,1,16
9/13/1990,256,1990,9,13,256,80,52, M,0,0,0,0,1,16
9/14/1990,257,1990,9,14,257,81,57, M,0,0,0,0,4,19
9/15/1990,258,1990,9,15,258,76,59, M,0.95,0,0,0,3,18
9/16/1990,259,1990,9,16,259,64,50, M, T,0,0,8,0,7
9/17/1990,260,1990,9,17,260,54,42, M,0.12,0,0,17,0,0
9/18/1990,261,1990,9,18,261,53,32, M,0.01,0,0,22,0,0
9/19/1990,262,1990,9,19,262,60,37, M,0,0,0,16,0,0
9/20/1990,263,1990,9,20,263,53,46, M,0.13,0,0,15,0,0
9/21/1990,264,1990,9,21,264,61,40, M,0,0,0,14,0,1
9/22/1990,265,1990,9,22,265,67,44, M,0.15,0,0,9,0,6
9/23/1990,266,1990,9,23,266,66,48, M,0,0,0,8,0,7
9/24/1990,267,1990,9,24,267,54,44, M,0.02,0,0,16,0,0
9/25/1990,268,1990,9,25,268,62,42, M,0,0,0,13,0,2
9/26/1990,269,1990,9,26,269,63,47, M,0.07,0,0,10,0,5
9/27/1990,270,1990,9,27,270,62,48, M,0.65,0,0,10,0,5
9/28/1990,271,1990,9,28,271,67,46, M,0,0,0,8,0,7
9/29/1990,272,1990,9,29,272,76,53, M,0.03,0,0,0,0,15
9/30/1990,273,1990,9,30,273,74,59, M,0.11,0,0,0,2,17
10/1/1990,274,1990,10,1,274,66,43, M,0.15,0,0,10,0,5
10/2/1990,275,1990,10,2,275,61,46, M, T,0,0,11,0,4
10/3/1990,276,1990,10,3,276,59,34, M,0,0,0,18,0,0
10/4/1990,277,1990,10,4,277,67,38, M,0,0,0,12,0,3
