"","Obs","Year","Month","Day","Name","NestName","ID","BandNumber","BandDate","BandDateJul","MeasurementDate","MeasurementDateJulYear","MeasurementDateJul","AgeField","CalcAge","CalcAgeInteger","HatchDate","HatchDateJul","HatchDateJulYear","AllSex","BillNT","TEC","BillWidth","BillDepth","Head","UpperBill","UBillSurface","TotBillSurface","Skull","Tarsus","WingChord","Primary7","TailLength","Weight","Condition","MaxTempMean1_11","MaxTempMean12_22","MeanMaxTempIncubation","MinTempMean1_11","MinTempMean12_22","MeanMinTempIncubation","PrecipSum1_11","PrecipSum12_22","PrecipSumIncubation","GDDSum1_11","GDDSum12_22","GDDSumIncubation","CDDSum1_11","CDDSum12_22","CDDSumIncubation"
"1",25,1990,4,17,"OL","HART90","OL HART90","695-20435","5/15/1990",135,"5/15/1990",1990135,135,28,28,28,"4/17/1990",107,1990107,"M",23.5,37.8,12.1,14.4,79.6,14.3,205.92,250.425,41.8,58.9,NA,122,71,423,0.13,17.82828283,19.24242424,8.391812865,4.595959596,7.171717172,0.233918129,2.0066,2.7432,7.7724,59,79,0,7,16,0
"2",26,1990,4,17,"PK","HART90","PK HART90","695-20436","5/15/1990",135,"5/15/1990",1990135,135,28,28,28,"4/17/1990",107,1990107,"M",23.3,36.2,13.7,13.3,79.4,12.9,171.57,244.35,43.2,62.8,NA,129,79,430,0.12,17.82828283,19.24242424,8.391812865,4.595959596,7.171717172,0.233918129,2.0066,2.7432,7.7724,59,79,0,7,16,0
"3",28,1990,4,17,"RI","HART90","RI HART90","695-20438","5/15/1990",135,"5/15/1990",1990135,135,28,28,28,"4/17/1990",107,1990107,"M",22.1,35.1,13,12.7,76.8,13,165.1,225.5175,41.7,58.6,NA,105,52,388,0.12,17.82828283,19.24242424,8.391812865,4.595959596,7.171717172,0.233918129,2.0066,2.7432,7.7724,59,79,0,7,16,0
"4",29,1990,4,21,"SH","KNOL90","SH KNOL90","695-20439","5/17/1990",137,"5/17/1990",1990137,137,26,26,26,"4/21/1990",111,1990111,"M",23.9,36.1,13.4,13.9,78.5,12.2,169.58,246.3825,42.4,61.5,172,109,62,390,0.12,22.97979798,16.86868687,9.356725146,8.98989899,5.202020202,-0.087719298,1.6764,3.7846,8.4836,127,46,3,23,4,0
"5",44,1990,4,30,"HR","HOGS90","HR HOGS90","695-20454","5/24/1990",144,"5/24/1990",1990144,144,24,24,24,"4/30/1990",120,1990120,"M",22,34.6,13.4,13,74.8,12.6,163.8,228.36,40.2,59.1,156,87,40,415,0.13,18.38383838,17.07070707,17.01754386,6.919191919,7.373737374,4.561403509,2.7432,7.5438,2.1082,67,58,119,4,0,23
"6",56,1991,4,16,"DU","HART91","DU HART91","695-20469","5/13/1991",133,"5/13/1991",1991133,133,27,26.3,26,"4/16/1991",106,1991106,"M",21.1,33,12.2,12.5,75.1,11.9,148.75,203.775,42.1,56,167,116,60,335,0.12,12.32323232,19.24242424,13.56725146,2.171717172,6.111111111,2.30994152,4.6736,2.159,4.1148,3,76,74,0,0,8
"7",57,1991,4,16,"ET","HART91","ET HART91","695-20470","5/13/1991",133,"5/13/1991",1991133,133,27,26.3,26,"4/16/1991",106,1991106,"M",20.9,35.1,14.4,14.7,75,14.2,208.74,255.3525,39.9,57.8,163,119,57,385,0.13,12.32323232,19.24242424,13.56725146,2.171717172,6.111111111,2.30994152,4.6736,2.159,4.1148,3,76,74,0,0,8
"8",58,1991,4,16,"FS","HART91","FS HART91","695-20471","5/13/1991",133,"5/13/1991",1991133,133,27,25.8,26,"4/16/1991",106,1991106,"M",21.9,35.6,14.3,13,75.9,13.7,178.1,242.97,40.3,58,164,111,49,325,0.12,12.32323232,19.24242424,13.56725146,2.171717172,6.111111111,2.30994152,4.6736,2.159,4.1148,3,76,74,0,0,8
"9",71,1991,4,19,"TE","WHIT91","TE WHIT91","695-20485","5/17/1991",137,"5/17/1991",1991137,137,28,28,28,"4/19/1991",109,1991109,"M",24.8,37.7,16.1,14.8,81.3,12.9,190.92,291.2325,43.6,59.1,191,139,84,435,0.13,14.6969697,16.76767677,14.59064327,3.686868687,5.252525253,3.187134503,4.5212,2.5654,4.0894,33,46,74,0,0,8
"10",73,1991,4,23,"WB","HIHI91","WB HIHI91","695-20488","5/20/1991",140,"5/20/1991",1991140,140,27,28.4,28,"4/23/1991",113,1991113,"M",25.8,38.7,13.8,14.6,82,12.9,188.34,274.77,43.3,59,199,141,90,387,0.12,18.53535354,18.68686869,14.88304094,5.555555556,5.909090909,4.093567251,1.4478,1.397,7.9756,65,66,74,0,6,8
"11",72,1991,4,23,"VC","HIHI91","VC HIHI91","695-20487","5/20/1991",140,"5/20/1991",1991140,140,27,28.7,29,"4/23/1991",113,1991113,"M",26.3,39.9,13.5,14.3,86.6,13.6,194.48,277.305,46.7,63,217,143,95,440,0.12,18.53535354,18.68686869,14.88304094,5.555555556,5.909090909,4.093567251,1.4478,1.397,7.9756,65,66,74,0,6,8
"12",93,1991,4,25,"PH","PINW91","PH PINW91","695-73507","5/22/1991",142,"5/22/1991",1991142,142,27,27,27,"4/25/1991",115,1991115,"M",24.3,37.8,15.2,15.2,79.2,13.5,205.2,287.28,41.4,60.5,188,128,67,415,0.12,18.33333333,21.51515152,14.61988304,5.101010101,7.424242424,3.801169591,1.3462,1.397,8.128,62,95,68,0,6,8
