Year,ID,Name,NestName,Sex,LifeStage,Population,Species,CalcAge,Age,BillWidth,BillDepth,Head,Tarsus,Manus,WingChord,SeventhPrimary,Tail Length,Weight,BillNT,TEC,Skull,Remarks
2002,6L EOCR02,6L,EOCR02,M,nestling,Ithaca,Corvus brachyrhynchos,17,17,13.1,12,58.9,45.2,48.8,57,13,4,265,16.1,25.8,33.1,"primaries not broken out at tips, head feathers just breaking out"
2002,4J EOCR02,4J,EOCR02,M,nestling,Ithaca,Corvus brachyrhynchos,17,17,12.6,12.3,63.5,51.4,59.9,72,24,5,312,17.3,26,37.5,"primaries broken at tips, head feathers broken out, yellow tinge to skin"
2002,3I EOCR02,3I,EOCR02,M,nestling,Ithaca,Corvus brachyrhynchos,17,17,12.6,12.3,65.9,52.9,61.7,73,25,9,335,18.2,28,37.9,"primaries broken at tips, head feathers broken out, necrotic tissue on right wing"
2002,2H EOCR02,2H,EOCR02,M,nestling,Ithaca,Corvus brachyrhynchos,17,17,13.6,12.7,67.7,53.7,60.5,80,28,9,350,19.1,28.4,39.3,"primaries broken at tips, head feathers broken out, slight yellow tinge to skin"
2002,5K EOCR02,5K,EOCR02,F,nestling,Ithaca,Corvus brachyrhynchos,17,17,13,12.2,62.7,48.6,52.1,64,21,5,282,17.1,26,36.7,"primaries broken at tips, head feathers broken out, yellow tinge to skin"
2002,1-o HAWA02,1-o,HAWA02,M,nestling,Ithaca,Corvus brachyrhynchos,15,15,12.4,11.5,61.6,46.8,52.5,61,18,4,265,15.8,25.4,36.2,"primaries just breaking at tips, head feathers just breaking out, slight yellow tinge, flacid"
2002,2-b HAWA02,2-b,HAWA02,M,nestling,Ithaca,Corvus brachyrhynchos,15,15,13.2,10.7,61.6,43.8,52.3,57,12,2,240,15.7,24.8,36.8,"primaries not broken out, head feathers just broken out, yellow tinge, flacid"
2002,3-w HAWA02,3-w,HAWA02,F,nestling,Ithaca,Corvus brachyrhynchos,15,15,11.6,11.5,62.2,46.6,52.1,60,21,4,255,15.8,24.5,37.7,"primaries not broken out, head feathers just broken out, yellow tinge, flacid"
2002,4-f HAWA02,4-f,HAWA02,M,nestling,Ithaca,Corvus brachyrhynchos,15,15,14,12.2,64.6,47.8,51.8,59,17,5,275,17.7,27.1,37.5,"primaries not broken out, head feathers just broken out, yellow tinge, flacid, louse running around on body"
2002,5-p HAWA02,5-p,HAWA02,M,nestling,Ithaca,Corvus brachyrhynchos,14,14,10.6,10.8,53.3,40.1,38.9,41,8,1,180,13.5,21.9,31.4,"feathers just breaking out through skin on back, black crud around nostrils"
2002,6-y HAWA02,6-y,HAWA02,M,nestling,Ithaca,Corvus brachyrhynchos,15,15,12.9,11.4,62,48.1,51.1,57,16,5,272,16.2,26.4,35.6,"primaries not broken out, head feathers just broken out, yellow tinge"
2002,7-g HAWA02,7-g,HAWA02,M,nestling,Ithaca,Corvus brachyrhynchos,14,14,11.6,10.4,48.3,30.6,27.8,28,3,0,110,12.1,18.7,29.6,"back feathers visible under skin, slight yellow tinge, flacid"
