nestlingMeasurementID,year,population,species,lifeStage,id,age,nest,nestName,sexSummary,tarsus,sevenPrimary,tailLength,calcAge,billNT,billD,billW,TEC,head,skull,wingChord,exp7Primary,weight,measureNumber,measurmentDate,measurementJulDate,hatchDate,hatchDateJul,bandDate,bandingDate,bandDateJul,deathDate,currentBroodSize,nestlingBroodSize,bandedBroodSize,familyProducedBreeder,remarks,trueAlias,name,conditionRank,climb2x,bandMatch,Measured =<7 days (1) or >7 (2),deathDateBin,recruitmentRankData,Breeding attempt info::Renest?,withinBroodSizeRank,earlyBroodRanking,bandlingBroodRank,Young Rank dataset,flag,Dummy 2,Dummy 3,Breeder paper?,Helper paper?,PCA size,PCA condition,ID_2,Sex (#),Row #,Explosive fledge?,Weight (cube rt),Largest/smallest nestling (1/2; banding),tarsus,Breeder Data 3::Sex,Sexing Information::Sex,Alive_Sum_0,Alive_Fall_0,Alive_Winter_0,Alive_Spring_1,Survived to banding?,Survived to banding dataset,Explosive fledge death?,Alive@2 yrs,Age at last sighting,Breeding attempt info::Nesting Success,Shot?,tailSquared,bandNumber,Radio?,Radio harness-related death?,Radio harness in mouth?,WNV-related/suspected death?,ageDiff,ageAtDeath,colorBands,initialClimbDate,radioFreq,bloodTube,Blood spots on Belly,Nestling hunger bar data::Extreme Hunger bar count,Nestling hunger bar data::Moderate Hunger bar count,Nestling hunger bar data::Strong Hunger bar count,7PrimaryRatio,Nestling hunger bar data::Weak Hunger bar count,Nestling hunger bar data::Total Hunger bar count,manus,mouthColor,condition,Nest_Site_Information::# Nestlings,Nest_Site_Information::# Bandlings,ageGroup,Breeding attempt info::Group Size,Nest_Site_Information::Environment,Date type,Adult measurement data::Nestling data?,Breeding attempt info::Highest (Hist) Age,Nest_Site_Information::Environment_RSH,Nest_Site_Information::Environment Summary,7PrimarySquared,Alive@60,Alive@120,Alive@1 yr,Future breeder?,Tail_Length_exposed,lifeStageID,WtTarsusIndex,jDay,vetReference,location
4453,2011,Hudson Valley,AMCR,nestling,OPSR WOOD11,11,WOOD,WOOD11,NA,31.6,10,1,11,12.7,9.6,9.4,20.7,53.6,32.9,40,0,109,1.5,5/13/2011,133,5/2/2011,122,,,,,,4,4,2,no blood spots; rt eye open; lt eye closed; clipped L3; Size 3FB leg bands,O,OP-SR,,1,1,,,,,,0,,,,,,,,,,,,11,,4.78,,31.6,,,,,,,,,,0,-734259,,,1,,,,,,0,,,5/13/2011,,,,,,,0,,,,,0.15,,,,,,,,,,,100,0,0,0,2,1,nestling OP-SR WOOD11,,,,
4464,2011,Hudson Valley,AMCR,nestling,OPSR WOOD11,,WOOD,WOOD11,NA,48.2,63,15,,18.3,11.6,10.8,28.7,67.9,39.2,117,23,210,2,5/26/2011,146,,,,,,,,4,4,2,"2 extreme, 1 strong, 1 mod; no blood spots on belly; lots of blood spots on wing; broken right tarsus?; tag edges burned",O,OP-SR,,1,1,,,,,,0,,,,,,,,,,,,38,,5.94,,48.2,,,,,,,,,,,,,,225,1065-24943,,,,,,,OP-SR,5/26/2011,,,,,,,0.37,,,,,0.12,,,,,,,,,,,3969,,,,2,7,nestling OP-SR WOOD11,,,,
1008,1989,Ithaca,AMCR,nestling,WSWG ALEX89,26,ALEX,ALEX89,NA,60.2,117,52,26.07,23.6,13.9,12.6,38.1,80.3,42.2,170,,410,5,5/18/1989,138,4/22/1989,112,5/18/1989,5/18/1989,138,,4,,4,2,Middle toe - 37  ,,WSWG,1,2,,,,,0,2,0,2,,ab,,,,,,,WSWG ALEX89,,3,,7.43,,60.2,,,,,,,,,,0,-726214,,,2704,695-20402,,,,,0.07,,,,,,,,,,0,,,65.3,,0.12,,,6,,,1,,,,,13689,0,0,0,2,,nestling WSWG ALEX89,,,,
1009,1989,Ithaca,AMCR,nestling,YSWG ALEX89,26,ALEX,ALEX89,NA,59,93,50,25.32,22,13.2,12.9,34,76.2,42.2,155,,330,5,5/18/1989,138,4/22/1989,112,5/18/1989,5/18/1989,138,,4,,4,2,middle toe - 37  ,,YSWG,4,2,,,,,0,4,0,4,,ab,,,,,,,YSWG ALEX89,,4,,6.91,2,59,,,,,,,,,,0,-726214,,,2500,695-20403,,,,,-0.68,,,,,,,,,,0,,,58.6,,0.12,,,6,,,1,,,,,8649,0,0,0,2,,nestling YSWG ALEX89,,,,
1006,1989,Ithaca,AMCR,nestling,BSWG ALEX89,26,ALEX,ALEX89,NA,61,105,50,25.65,23.2,13.8,12.9,39,80.7,41.7,160,,400,5,5/18/1989,138,4/22/1989,112,5/18/1989,5/18/1989,138,,4,,4,2,middle toe- 38.3,,BSWG,2,2,,,,,0,1,0,1,,ab,,,,,,,BSWG ALEX89,,5,,7.37,1,61,,,,,,,,,,0,-726214,,,2500,695-20404,,,,,-0.35,,,,,,,,,,0,,,70,,0.12,,,6,,,1,,,,,11025,0,0,0,2,,nestling BSWG ALEX89,,,,
1007,1989,Ithaca,AMCR,nestling,GSWG ALEX89,26,ALEX,ALEX89,NA,59.6,100,50,25.51,22.2,13.2,12.2,34,75.5,41.5,160,,350,5,5/18/1989,138,4/22/1989,112,5/18/1989,5/18/1989,138,,4,,4,2,MIDDLE TOE - 357  ,,GSWG,3,2,,,,,0,3,0,3,,ab,,,,,,,GSWG ALEX89,,6,,7.05,,59.6,,,,,,,,,,0,-726214,,,2500,695-20405,,,,,-0.49,,,,,,,,,,0,,,65.3,,0.12,,,6,,,1,,,,,10000,0,0,0,2,,nestling GSWG ALEX89,,,,
1012,1989,Ithaca,AMCR,nestling,WSYO ALPH89,22,ALPH,ALPH89,NA,54.2,92,39,22,21.2,12.1,12.7,33.7,73.9,40.2,144,,310,5,,,,,,5/18/1989,,,4,,4,2,middle toe - 33.5; found on ground below nest;taken prisoner.  ,,WSYO,2,2,,,,,0,3,0,3,,ab,,,,,,,WSYO ALPH89,,7,,6.77,,54.2,,,,,,,,,,0,0,,,1521,695-20406,,,,,0,,,,,,,,,,0,,,57.3,,0.12,,,5,,,1,,,,,8464,0,0,0,2,,nestling WSYO ALPH89,,,,
1013,1989,Ithaca,AMCR,nestling,YSYO ALPH89,22,ALPH,ALPH89,NA,55.8,80,30,22,21.5,13,14.1,35.7,75.1,39.4,136,,322,5,,,,,,5/18/1989,,,4,,4,2,MIDDLE TOE - 29.9  ,,YSYO,4,2,,,,,0,1,0,1,,ab,,,,,,,YSYO ALPH89,,8,,6.85,1,55.8,,,,,,,,,,0,0,,,900,695-20407,,,,,0,,,,,,,,,,0,,,57.4,,0.12,,,5,,,1,,,,,6400,0,0,0,2,,nestling YSYO ALPH89,,,,
1010,1989,Ithaca,AMCR,nestling,BSYO ALPH89,22,ALPH,ALPH89,NA,55.4,91,36,22,20.4,12.6,13.5,32.7,73.6,40.9,140,,322,5,,,,,,5/18/1989,,,4,,4,2,MIDDLE TOE - 35.3  ,,BSYO,3,2,,,,,0,2,0,2,,ab,,,,,,,BSYO ALPH89,,9,,6.85,,55.4,,,,,,,,,,0,0,,,1296,695-20408,,,,,0,,,,,,,,,,0,,,63.5,,0.12,,,5,,,1,,,,,8281,0,0,0,2,,nestling BSYO ALPH89,,,,
1011,1989,Ithaca,AMCR,nestling,GSYO ALPH89,22,ALPH,ALPH89,NA,50.4,75,28,22,20,12.6,13,34.8,72.5,37.7,124,,300,5,,,,,,5/18/1989,,,4,,4,2,MIDDLE TOE- 36.6,,GSYO,1,2,,,,,0,4,0,4,,ab,,,,,,,GSYO ALPH89,,10,,6.69,2,50.4,,,,,,,,,,0,0,,,784,695-20409,,,,,0,,,,,,,,,,0,,,57.6,,0.13,,,5,,,1,,,,,5625,0,0,0,2,,nestling GSYO ALPH89,,,,
