year,id,age,nest,nestName,sex,tarsus,sevenPrimary,tailLength,calcAge,billNT,billD,billW,TEC,head,skull,wingChord,exp7Primary,mass,measurementDate,measurementJulDate,hatchDate,hatchDateJul,Date,Year,Month,Day,MaxTempMean1_11,MaxTempMean12_22,MaxTempMean23_33,leadMax34_44,MeanMaxTempIncubation,PrecipSum1_11,PrecipSum12_22,PrecipSum23_33,PrecipSum34_44,PrecipSumIncubation,GDDSum1_11,GDDSum12_22,GDDSum23_33,GDDSum34_44,GDDSumIncubation,CDDSum1_11,CDDSum12_22,CDDSum23_33,CDDSum34_44,CDDSumIncubation
1990,1 KNOL90,3,KNOL,KNOL90,NA,15.5,0,0,3,0,0,0,0,26.7,26.7,0,NA,0,4/24/1990,1990114,4/21/1990,1990111,4/21/1990,1990,4,21,73.36363636,62.36363636,62.45454545,69.18181818,48.84210526,0.66,1.49,2.62,0.7,3.34,127,46,59,88,3,23,4,0,11,0
1990,2 KNOL90,3,KNOL,KNOL90,NA,13,0,0,3,0,0,0,0,25.5,25.5,0,NA,0,4/24/1990,1990114,4/21/1990,1990111,4/21/1990,1990,4,21,73.36363636,62.36363636,62.45454545,69.18181818,48.84210526,0.66,1.49,2.62,0.7,3.34,127,46,59,88,3,23,4,0,11,0
1990,3 KNOL90,3,KNOL,KNOL90,NA,16,0,0,3,0,0,0,0,30,30,0,NA,0,4/24/1990,1990114,4/21/1990,1990111,4/21/1990,1990,4,21,73.36363636,62.36363636,62.45454545,69.18181818,48.84210526,0.66,1.49,2.62,0.7,3.34,127,46,59,88,3,23,4,0,11,0
1990,4 KNOL90,3,KNOL,KNOL90,NA,16,0,0,3,0,0,0,0,28,28,0,NA,0,4/24/1990,1990114,4/21/1990,1990111,4/21/1990,1990,4,21,73.36363636,62.36363636,62.45454545,69.18181818,48.84210526,0.66,1.49,2.62,0.7,3.34,127,46,59,88,3,23,4,0,11,0
1990,1 SSAP90,13,SSAP,SSAP90,NA,43.5,0,0,13,0,0,0,0,56.5,56.5,0,NA,0,4/26/1990,1990116,4/13/1990,1990103,4/13/1990,1990,4,13,53.45454545,73.90909091,62.72727273,63.09090909,44,0.52,0.28,2.18,1.93,3.07,5,126,51,60,0,0,23,4,0,0
1990,2 SSAP90,13,SSAP,SSAP90,NA,43,0,0,13,0,0,0,0,63.5,63.5,0,NA,0,4/26/1990,1990116,4/13/1990,1990103,4/13/1990,1990,4,13,53.45454545,73.90909091,62.72727273,63.09090909,44,0.52,0.28,2.18,1.93,3.07,5,126,51,60,0,0,23,4,0,0
1990,3 SSAP90,13,SSAP,SSAP90,NA,24,0,0,13,0,0,0,0,44.5,44.5,0,NA,0,4/26/1990,1990116,4/13/1990,1990103,4/13/1990,1990,4,13,53.45454545,73.90909091,62.72727273,63.09090909,44,0.52,0.28,2.18,1.93,3.07,5,126,51,60,0,0,23,4,0,0
1990,4 SSAP90,13,SSAP,SSAP90,NA,44,0,0,13,0,0,0,0,57.5,57.5,0,NA,0,4/26/1990,1990116,4/13/1990,1990103,4/13/1990,1990,4,13,53.45454545,73.90909091,62.72727273,63.09090909,44,0.52,0.28,2.18,1.93,3.07,5,126,51,60,0,0,23,4,0,0
1990,5 SSAP90,13,SSAP,SSAP90,NA,37,0,0,13,0,0,0,0,55.5,55.5,0,NA,0,4/26/1990,1990116,4/13/1990,1990103,4/13/1990,1990,4,13,53.45454545,73.90909091,62.72727273,63.09090909,44,0.52,0.28,2.18,1.93,3.07,5,126,51,60,0,0,23,4,0,0
1990,1 WAIT90,9,WAIT,WAIT90,NA,36.5,0,0,9,0,0,0,0,49,49,0,NA,0,4/26/1990,1990116,4/17/1990,1990107,4/17/1990,1990,4,17,64.09090909,66.63636364,66.09090909,63.63636364,47.10526316,0.79,1.08,2.03,1.66,3.06,59,79,85,52,0,7,16,4,1,0
1990,2 WAIT90,9,WAIT,WAIT90,NA,44,0,0,9,0,0,0,0,53,53,0,NA,0,4/26/1990,1990116,4/17/1990,1990107,4/17/1990,1990,4,17,64.09090909,66.63636364,66.09090909,63.63636364,47.10526316,0.79,1.08,2.03,1.66,3.06,59,79,85,52,0,7,16,4,1,0
1990,3 WAIT90,9,WAIT,WAIT90,NA,42,0,0,9,0,0,0,0,54,54,0,NA,0,4/26/1990,1990116,4/17/1990,1990107,4/17/1990,1990,4,17,64.09090909,66.63636364,66.09090909,63.63636364,47.10526316,0.79,1.08,2.03,1.66,3.06,59,79,85,52,0,7,16,4,1,0
1990,4 WAIT90,9,WAIT,WAIT90,NA,28,0,0,9,0,0,0,0,40,40,0,NA,0,4/26/1990,1990116,4/17/1990,1990107,4/17/1990,1990,4,17,64.09090909,66.63636364,66.09090909,63.63636364,47.10526316,0.79,1.08,2.03,1.66,3.06,59,79,85,52,0,7,16,4,1,0
1990,1 WEGO90,4,WEGO,WEGO90,NA,10.5,0,0,4,0,0,0,0,23,23,0,NA,0,5/1/1990,1990121,4/27/1990,1990117,4/27/1990,1990,4,27,69.27272727,66.18181818,63.27272727,70.18181818,57.78947368,1.03,2.01,1.27,0.69,1.71,96,86,51,107,59,19,4,1,13,7
1990,2 WEGO90,4,WEGO,WEGO90,NA,14,0,0,4,0,0,0,0,27.5,27.5,0,NA,0,5/1/1990,1990121,4/27/1990,1990117,4/27/1990,1990,4,27,69.27272727,66.18181818,63.27272727,70.18181818,57.78947368,1.03,2.01,1.27,0.69,1.71,96,86,51,107,59,19,4,1,13,7
1990,3 WEGO90,4,WEGO,WEGO90,NA,14,0,0,4,0,0,0,0,28,28,0,NA,0,5/1/1990,1990121,4/27/1990,1990117,4/27/1990,1990,4,27,69.27272727,66.18181818,63.27272727,70.18181818,57.78947368,1.03,2.01,1.27,0.69,1.71,96,86,51,107,59,19,4,1,13,7
1990,4 WEGO90,4,WEGO,WEGO90,NA,12.5,0,0,4,0,0,0,0,26.5,26.5,0,NA,0,5/1/1990,1990121,4/27/1990,1990117,4/27/1990,1990,4,27,69.27272727,66.18181818,63.27272727,70.18181818,57.78947368,1.03,2.01,1.27,0.69,1.71,96,86,51,107,59,19,4,1,13,7
1990,1 NWOD90,5,NWOD,NWOD90,NA,12,0,0,5,0,0,0,0,30,30,0,NA,0,5/1/1990,1990121,4/26/1990,1990116,4/26/1990,1990,4,26,71.63636364,64.45454545,63.18181818,70.63636364,55.47368421,0.98,1.91,1.32,0.74,1.73,114,73,48,110,41,22,4,0,14,4
1990,2 NWOD90,5,NWOD,NWOD90,NA,13,0,0,5,0,0,0,0,31,31,0,NA,0,5/1/1990,1990121,4/26/1990,1990116,4/26/1990,1990,4,26,71.63636364,64.45454545,63.18181818,70.63636364,55.47368421,0.98,1.91,1.32,0.74,1.73,114,73,48,110,41,22,4,0,14,4
1990,3 NWOD90,5,NWOD,NWOD90,NA,15,0,0,5,0,0,0,0,33,33,0,NA,0,5/1/1990,1990121,4/26/1990,1990116,4/26/1990,1990,4,26,71.63636364,64.45454545,63.18181818,70.63636364,55.47368421,0.98,1.91,1.32,0.74,1.73,114,73,48,110,41,22,4,0,14,4
1990,4 NWOD90,5,NWOD,NWOD90,NA,11.5,0,0,5,0,0,0,0,29.5,29.5,0,NA,0,5/1/1990,1990121,4/26/1990,1990116,4/26/1990,1990,4,26,71.63636364,64.45454545,63.18181818,70.63636364,55.47368421,0.98,1.91,1.32,0.74,1.73,114,73,48,110,41,22,4,0,14,4
1990,5 NWOD90,5,NWOD,NWOD90,NA,10.5,0,0,5,0,0,0,0,26,26,0,NA,0,5/1/1990,1990121,4/26/1990,1990116,4/26/1990,1990,4,26,71.63636364,64.45454545,63.18181818,70.63636364,55.47368421,0.98,1.91,1.32,0.74,1.73,114,73,48,110,41,22,4,0,14,4
1990,1 UPPA90,5,UPPA,UPPA90,NA,16,0,0,5,0,0,0,0,31.5,31.5,0,NA,0,5/3/1990,1990123,4/28/1990,1990118,4/28/1990,1990,4,28,66.63636364,66.09090909,63.63636364,72.09090909,60,1.08,2.03,1.66,0.23,1.71,79,85,52,122,79,16,4,1,14,12
1990,2 UPPA90,5,UPPA,UPPA90,NA,18,0,0,5,0,0,0,0,32.5,32.5,0,NA,0,5/3/1990,1990123,4/28/1990,1990118,4/28/1990,1990,4,28,66.63636364,66.09090909,63.63636364,72.09090909,60,1.08,2.03,1.66,0.23,1.71,79,85,52,122,79,16,4,1,14,12
1990,3 UPPA90,5,UPPA,UPPA90,NA,24,0,0,5,0,0,0,0,38,38,0,NA,0,5/3/1990,1990123,4/28/1990,1990118,4/28/1990,1990,4,28,66.63636364,66.09090909,63.63636364,72.09090909,60,1.08,2.03,1.66,0.23,1.71,79,85,52,122,79,16,4,1,14,12
1990,HR HOGS90,4,HOGS,HOGS90,M,15.5,0,0,4,6.9,0,0,0,31,31,0,NA,0,5/4/1990,1990124,4/30/1990,1990120,4/30/1990,1990,4,30,65.09090909,62.72727273,64.36363636,72.27272727,62.63157895,1.08,2.97,0.72,0.3,0.83,67,58,50,130,119,4,0,1,14,23
1990,AZ SSAP90,25,SSAP,SSAP90,NA,59,103,0,24.93,21.4,12.6,12.9,33.5,73,39.5,0,NA,365,5/8/1990,1990128,4/13/1990,1990103,4/13/1990,1990,4,13,53.45454545,73.90909091,62.72727273,63.09090909,44,0.52,0.28,2.18,1.93,3.07,5,126,51,60,0,0,23,4,0,0
1990,CX SSAP90,25,SSAP,SSAP90,NA,57.7,88,0,24.54,19.5,12.7,13.1,30.8,71.2,40.4,0,NA,300,5/8/1990,1990128,4/13/1990,1990103,4/13/1990,1990,4,13,53.45454545,73.90909091,62.72727273,63.09090909,44,0.52,0.28,2.18,1.93,3.07,5,126,51,60,0,0,23,4,0,0
1990,DW SSAP90,25,SSAP,SSAP90,NA,58.7,79,0,24.33,20.5,12.7,14.7,32.4,72.3,39.9,0,NA,340,5/8/1990,1990128,4/13/1990,1990103,4/13/1990,1990,4,13,53.45454545,73.90909091,62.72727273,63.09090909,44,0.52,0.28,2.18,1.93,3.07,5,126,51,60,0,0,23,4,0,0
1990,1 CEME90,3,CEME,CEME90,NA,13,0,0,3,0,0,0,0,26.5,26.5,0,NA,0,5/8/1990,1990128,5/5/1990,1990125,5/5/1990,1990,5,5,62.72727273,63.09090909,69.72727273,76.81818182,66.84210526,2.18,1.93,0.74,1.19,1.67,51,60,100,178,137,4,0,13,39,23
1990,2 CEME90,3,CEME,CEME90,NA,14,0,0,3,0,0,0,0,30,30,0,NA,0,5/8/1990,1990128,5/5/1990,1990125,5/5/1990,1990,5,5,62.72727273,63.09090909,69.72727273,76.81818182,66.84210526,2.18,1.93,0.74,1.19,1.67,51,60,100,178,137,4,0,13,39,23
