"","id","lifeStage","billW"
"1"," KELS90","nestling",0
"2","1 CEME90","nestling",0
"3","1 KNOL90","nestling",0
"4","1 NWOD90","nestling",0
"5","1 SCEM90","nestling",0
"6","1 SSAP90","nestling",0
"7","1 UPPA90","nestling",0
"8","1 WAIT90","nestling",0
"9","1 WEGO90","nestling",0
"10","2 CEME90","nestling",0
"11","2 KNOL90","nestling",0
"12","2 NWOD90","nestling",0
"13","2 SCEM90","nestling",0
"14","2 SSAP90","nestling",0
"15","2 UPPA90","nestling",0
"16","2 WAIT90","nestling",0
"17","2 WEGO90","nestling",0
"18","2O WILG97","nestling",0
"19","3 CEME90","nestling",0
"20","3 KNOL90","nestling",0
"21","3 NWOD90","nestling",0
"22","3 SCEM90","nestling",0
"23","3 SSAP90","nestling",0
"24","3 UPPA90","nestling",0
"25","3 WAIT90","nestling",0
"26","3 WEGO90","nestling",0
"27","4 KNOL90","nestling",0
"28","4 NWOD90","nestling",0
"29","4 SSAP90","nestling",0
"30","4 WAIT90","nestling",0
"31","4 WEGO90","nestling",0
"32","5 NWOD90","nestling",0
"33","5 SSAP90","nestling",0
"34","B4 WECE95","nestling",0
"35","FG PAHA94","nestling",0
"36","G-2 STAD98","nestling",0
"37","GF PAHA94","nestling",0
"38","HE PAHA94","nestling",0
"39","HR HOGS90","nestling",0
"40","ID PAHA94","nestling",0
"41","JC PAHA94","nestling",0
"42","JW WECE95","nestling",0
"43","KV WECE95","nestling",0
"44","O3 WECE95","nestling",0
"45","2 NKEN00","nestling",4.7
"46","3 PAKL92","nestling",4.7
"47","4 SAPS92","nestling",4.7
"48","A BYWY92","nestling",4.7
"49","G SSET92","nestling",4.7
"50","JK KAYS92","nestling",4.9
"51","4 HOMT99","nestling",5
"52","5 CUPL92","nestling",5
"53","1 NEEL95","nestling",5.1
"54","1 YORK94","nestling",5.1
"55","3 WINK92","nestling",5.1
"56","4 VETS01","nestling",5.1
"57","4 WWLG99","nestling",5.1
"58","4uknown WCEM01","nestling",5.2
"59","5 HART99","nestling",5.2
"60","A SSET92","nestling",5.2
"61","O0 WDBL99","nestling",5.2
"62","RH MIRO08","nestling",5.2
"63","2 GENR92","nestling",5.3
"64","3 BUFA96","nestling",5.3
"65","5 NKEN00","nestling",5.3
"66","5 WILG99","nestling",5.3
"67","L2 BALL08","nestling",5.3
"68","1 BUFA96","nestling",5.4
"69","1 NKEN00","nestling",5.4
"70","2 NEEL95","nestling",5.4
"71","3 NKEN00","nestling",5.4
"72","4 NKEN00","nestling",5.4
"73","4 STAD99","nestling",5.4
"74","J3 STAD99","nestling",5.4
"75","K4 STAD99","nestling",5.4
"76","1 STAD99","nestling",5.5
"77","3 GENR92","nestling",5.5
"78","5w EPLN99","nestling",5.5
"79","1 VETS01","nestling",5.6
"80","1l CRST01","nestling",5.6
"81","2 BUFA96","nestling",5.6
"82","2 PINW97","nestling",5.6
"83","2 SSAP92","nestling",5.6
"84","3 WILG92","nestling",5.6
"85","4 WILO92","nestling",5.6
"86","AP HART93","nestling",5.6
"87","green TRUM91","nestling",5.6
"88","SLA STAD96","nestling",5.6
"89","2 WDBL99","nestling",5.7
"90","2y KLNE99","nestling",5.7
"91","3 NWOD00","nestling",5.7
"92","3 PWOD92","nestling",5.7
"93","X5 SECE98","nestling",5.7
"94","1 HAYT92","nestling",5.8
"95","2 FRES94","nestling",5.8
"96","4 WINK92","nestling",5.8
"97","5 WILG09","nestling",5.8
"98","5 WILG09","nestling",5.8
"99","blac TRUM91","nestling",5.8
"100","gold TRUM91","nestling",5.8
"101","LZ ALOT94","nestling",5.8
