yearMonth,day,Mean,Max,Min,Stdev,Range,Year,Month,obs
1990_3,1,-2.522222222,5.6,-8.8,5.653167312,14.4,1990,3,1
1990_3,2,5.9,13.3,-1.6,5.627610505,14.9,1990,3,2
1990_3,3,1.147058824,8.3,-3.8,3.043870408,12.1,1990,3,3
1990_3,4,-7.2,-4.3,-11,2.164563081,6.7,1990,3,4
1990_3,5,-6.853846154,-2.1,-11,2.909643559,8.9,1990,3,5
1990_3,6,-7.246153846,-4.9,-11.6,2.0114735,6.7,1990,3,6
1990_3,7,-8.042857143,0.6,-18.8,6.661452173,19.4,1990,3,7
1990_3,8,-1.573333333,10,-13.2,8.704142418,23.2,1990,3,8
1990_3,9,1.15,6.7,-5.5,3.443194481,12.2,1990,3,9
1990_3,10,7.444444444,15.6,2.8,5.137546018,12.8,1990,3,10
1990_3,11,7.777777778,12.2,4.4,2.901836245,7.8,1990,3,11
1990_3,12,13.04666667,21.7,6.1,6.031449324,15.6,1990,3,12
1990_3,13,17.68888889,23.9,7.8,5.013967419,16.1,1990,3,13
1990_3,14,19.24705882,26.7,10.6,6.326345474,16.1,1990,3,14
1990_3,15,19.66666667,26.1,10.6,5.201583469,15.5,1990,3,15
1990_3,16,20.8625,23.9,16.7,2.273286901,7.2,1990,3,16
1990_3,17,13.64117647,20.6,8.9,4.613168491,11.7,1990,3,17
1990_3,18,4.626666667,10,1.7,2.503559371,8.3,1990,3,18
1990_3,19,3.577777778,7.2,-0.5,1.717232916,7.7,1990,3,19
1990_3,20,-1.04375,3.3,-3.2,2.496121992,6.5,1990,3,20
1990_3,21,0.9,7.8,-3.8,3.695625395,11.6,1990,3,21
1990_3,22,8.127777778,16.7,-1,5.791556283,17.7,1990,3,22
1990_3,23,4.370588235,13.9,-1,5.477312834,14.9,1990,3,23
1990_3,24,-2.655555556,-0.5,-6.6,1.911335296,6.1,1990,3,24
1990_3,25,0.56875,7.2,-7.7,5.457315427,14.9,1990,3,25
1990_3,26,-0.458823529,3.9,-2.7,1.703694083,6.6,1990,3,26
1990_3,27,-3.9,-1,-7.7,2.266568625,6.7,1990,3,27
1990_3,28,1.1625,7.2,-7.7,5.512153239,14.9,1990,3,28
1990_3,29,3.36875,10,-6,5.478408376,16,1990,3,29
1990_3,30,3.441176471,7.8,0.6,2.021156483,7.2,1990,3,30
1990_3,31,5.535,10.6,2.2,3.230817886,8.4,1990,3,31
1990_4,1,7.39375,8.9,5.6,1.03631961,3.3,1990,4,32
1990_4,2,9.405555556,13.9,6.7,2.557910963,7.2,1990,4,33
1990_4,3,4.3,10,0,3.041490862,10,1990,4,34
1990_4,4,0.305882353,1.1,0,0.405386526,1.1,1990,4,35
1990_4,5,3.005555556,7.8,0.6,2.302804485,7.2,1990,4,36
1990_4,6,1.976470588,5,-1.6,2.098669046,6.6,1990,4,37
1990_4,7,1.322222222,5.6,-3.2,2.576489987,8.8,1990,4,38
1990_4,8,2.26875,7.2,-1.6,3.350366895,8.8,1990,4,39
1990_4,9,7.911111111,16.1,-1,6.252330285,17.1,1990,4,40
1990_4,10,8.758823529,12.8,5,2.267173026,7.8,1990,4,41
1990_4,11,3.3125,10.6,0.6,3.626361813,10,1990,4,42
1990_4,12,-0.14,2.8,-3.8,1.93494186,6.6,1990,4,43
1990_4,13,2.225,11.1,-4.3,4.949276041,15.4,1990,4,44
1990_4,14,6.725,10.6,3.3,2.797975459,7.3,1990,4,45
1990_4,15,10.64444444,15,7.2,2.470823207,7.8,1990,4,46
1990_4,16,9.944444444,16.7,4.4,3.838385418,12.3,1990,4,47
1990_4,17,6.870588235,14.4,1.1,4.13427211,13.3,1990,4,48
1990_4,18,2.694444444,8.3,-1,2.907692075,9.3,1990,4,49
1990_4,19,8.311111111,17.2,-3.8,7.676387699,21,1990,4,50
1990_4,20,11.50555556,16.7,7.2,3.131147548,9.5,1990,4,51
1990_4,21,10.71764706,14.4,8.9,1.514197516,5.5,1990,4,52
1990_4,22,11.82222222,18.9,3.9,5.183747856,15,1990,4,53
1990_4,23,15.61764706,21.1,7.2,4.745291784,13.9,1990,4,54
