date,year,month,day,hour,lon,lat,alt,t2m,dpt2m,ws,wd,slp,visibility,obs
3/1/2006 0:00,2006,3,1,0,-76.458,42.491,335,-6.6,-12.7,9.3,280,1010.4,16093,1
3/1/2006 1:00,2006,3,1,1,-76.458,42.491,335,-7.2,-11.1,6.7,280,1010.6,9656,2
3/1/2006 2:00,2006,3,1,2,-76.458,42.491,335,-7.7,-13.8,9.8,290,1010.7,12875,3
3/1/2006 3:00,2006,3,1,3,-76.458,42.491,335,-7.7,-14.4,5.1,290,1011,16093,4
3/1/2006 4:00,2006,3,1,4,-76.458,42.491,335,-6.6,-13.3,6.2,290,1010.6,16093,5
3/1/2006 4:00,2006,3,1,4,-76.458,42.491,335,NA,NA,NA,NA,NA,NA,6
3/1/2006 5:00,2006,3,1,5,-76.458,42.491,335,-6.6,-12.7,6.2,280,1010.7,16093,7
3/1/2006 6:00,2006,3,1,6,-76.458,42.491,335,-6.1,-11.6,6.7,270,1010.4,16093,8
3/1/2006 7:00,2006,3,1,7,-76.458,42.491,335,-6,-11,7.7,300,NA,16093,9
3/1/2006 7:00,2006,3,1,7,-76.458,42.491,335,-6.1,-10.5,8.2,280,1010.4,16093,10
3/1/2006 8:00,2006,3,1,8,-76.458,42.491,335,-7,-9,6.2,320,NA,4828,11
3/1/2006 8:00,2006,3,1,8,-76.458,42.491,335,-6.6,-9.4,6.7,310,1011.2,6437,12
3/1/2006 9:00,2006,3,1,9,-76.458,42.491,335,-7,-9,6.2,310,NA,4023,13
3/1/2006 9:00,2006,3,1,9,-76.458,42.491,335,-7,-9,5.7,310,NA,6437,14
3/1/2006 9:00,2006,3,1,9,-76.458,42.491,335,-7.7,-9.4,5.1,310,1011.7,6437,15
3/1/2006 10:00,2006,3,1,10,-76.458,42.491,335,-7.7,-10,6.2,310,1012.3,12875,16
3/1/2006 11:00,2006,3,1,11,-76.458,42.491,335,-8,-10,4.6,330,NA,4828,17
3/1/2006 11:00,2006,3,1,11,-76.458,42.491,335,-8,-10,4.6,350,NA,2816,18
3/1/2006 11:00,2006,3,1,11,-76.458,42.491,335,-8,-10,5.7,320,NA,3219,19
3/1/2006 11:00,2006,3,1,11,-76.458,42.491,335,-8,-10,5.1,340,NA,2414,20
3/1/2006 11:00,2006,3,1,11,-76.458,42.491,335,-8.3,-10.5,5.1,330,1013.1,4828,21
3/1/2006 12:00,2006,3,1,12,-76.458,42.491,335,-8.8,-12.2,5.7,340,1014.2,16093,22
3/1/2006 13:00,2006,3,1,13,-76.458,42.491,335,-7.7,-12.7,5.1,330,1014.4,16093,23
3/1/2006 14:00,2006,3,1,14,-76.458,42.491,335,-7.2,-11.6,5.1,320,1015.2,6437,24
3/1/2006 15:00,2006,3,1,15,-76.458,42.491,335,-6.1,-10.5,5.7,290,1015,11265,25
3/1/2006 15:00,2006,3,1,15,-76.458,42.491,335,-6,-10,5.7,290,NA,16093,26
3/1/2006 16:00,2006,3,1,16,-76.458,42.491,335,-6,-11,5.7,310,NA,11265,27
3/1/2006 16:00,2006,3,1,16,-76.458,42.491,335,-5.5,-11.1,6.2,310,1015.1,16093,28
3/1/2006 17:00,2006,3,1,17,-76.458,42.491,335,-4.4,-10.5,4.6,290,1014.5,16093,29
3/1/2006 18:00,2006,3,1,18,-76.458,42.491,335,-3.8,-10,4.1,320,1014.1,16093,30
3/1/2006 19:00,2006,3,1,19,-76.458,42.491,335,-2.7,-10,5.1,310,1013.7,16093,31
3/1/2006 20:00,2006,3,1,20,-76.458,42.491,335,-2.7,-10.5,4.1,310,1013.6,16093,32
3/1/2006 21:00,2006,3,1,21,-76.458,42.491,335,-3.3,-10.5,2.6,350,1013.6,16093,33
3/1/2006 22:00,2006,3,1,22,-76.458,42.491,335,-5,-11.6,2.1,340,1013.8,16093,34
3/1/2006 23:00,2006,3,1,23,-76.458,42.491,335,-5.5,-11.6,0,NA,1013.9,16093,35
3/2/2006 0:00,2006,3,2,0,-76.458,42.491,335,-7.7,-11.6,1.5,30,1014,16093,36
3/2/2006 1:00,2006,3,2,1,-76.458,42.491,335,-10,-12.2,0,NA,1013.6,16093,37
3/2/2006 2:00,2006,3,2,2,-76.458,42.491,335,-10.5,-12.2,0,NA,1013.6,16093,38
3/2/2006 3:00,2006,3,2,3,-76.458,42.491,335,-11.1,-12.7,2.1,80,1013.3,16093,39
3/2/2006 4:00,2006,3,2,4,-76.458,42.491,335,-12.2,-13.3,1.5,70,1012.5,16093,40
3/2/2006 4:00,2006,3,2,4,-76.458,42.491,335,NA,NA,NA,NA,NA,NA,41
3/2/2006 5:00,2006,3,2,5,-76.458,42.491,335,-12.2,-13.8,1.5,100,1011.9,16093,42
3/2/2006 6:00,2006,3,2,6,-76.458,42.491,335,-12.2,-13.8,0,NA,1011.2,16093,43
3/2/2006 7:00,2006,3,2,7,-76.458,42.491,335,-12.7,-14.4,3.1,70,1010,16093,44
3/2/2006 8:00,2006,3,2,8,-76.458,42.491,335,-12.2,-13.8,3.1,70,1008,16093,45
3/2/2006 9:00,2006,3,2,9,-76.458,42.491,335,-10.5,-12.7,3.1,80,1007.4,16093,46
3/2/2006 10:00,2006,3,2,10,-76.458,42.491,335,-10,-12.2,2.6,80,1007.2,16093,47
3/2/2006 11:00,2006,3,2,11,-76.458,42.491,335,-9,-12,2.1,60,NA,16093,48
3/2/2006 11:00,2006,3,2,11,-76.458,42.491,335,-9.4,-11.6,1.5,90,1007.4,16093,49
3/2/2006 12:00,2006,3,2,12,-76.458,42.491,335,-8.3,-11.1,2.1,150,1006.8,16093,50
3/2/2006 13:00,2006,3,2,13,-76.458,42.491,335,-8,-11,1.5,90,NA,3219,51
3/2/2006 13:00,2006,3,2,13,-76.458,42.491,335,-6.6,-9.4,0,NA,1007.1,9656,52
3/2/2006 14:00,2006,3,2,14,-76.458,42.491,335,-7,-9,2.6,150,NA,4023,53
3/2/2006 14:00,2006,3,2,14,-76.458,42.491,335,-7,-9,2.1,140,NA,1609,54
3/2/2006 14:00,2006,3,2,14,-76.458,42.491,335,-6.6,-8.3,0,NA,1006.2,1207,55
3/2/2006 15:00,2006,3,2,15,-76.458,42.491,335,-6.1,-7.2,0,NA,1004.7,1207,56
3/2/2006 16:00,2006,3,2,16,-76.458,42.491,335,-6,-7,1.5,50,NA,805,57
3/2/2006 16:00,2006,3,2,16,-76.458,42.491,335,-6,-7,0,NA,NA,1207,58
3/2/2006 16:00,2006,3,2,16,-76.458,42.491,335,-5.5,-6.6,2.1,60,1004,402,59
3/2/2006 17:00,2006,3,2,17,-76.458,42.491,335,-6,-7,2.1,50,NA,1207,60
3/2/2006 17:00,2006,3,2,17,-76.458,42.491,335,-5.5,-6.6,2.1,10,1003.4,402,61
3/2/2006 18:00,2006,3,2,18,-76.458,42.491,335,-6,-7,0,NA,NA,402,62
3/2/2006 18:00,2006,3,2,18,-76.458,42.491,335,-5.5,-6.6,0,NA,1002,0,63
3/2/2006 19:00,2006,3,2,19,-76.458,42.491,335,-5.5,-6.6,3.6,340,1003.5,805,64
3/2/2006 20:00,2006,3,2,20,-76.458,42.491,335,-5,-6.6,4.6,320,1005.4,805,65
